design,n_runs,checkpoint_exact_vs_noaux_cells,action_weight_l2_mean,action_weight_l2_population_std,action_weight_delta_l2_vs_noaux_mean,action_weight_delta_l2_vs_noaux_population_std,action_weight_delta_relative_vs_noaux_mean,action_weight_delta_relative_vs_noaux_population_std,action_weight_fast_l2_mean,action_weight_fast_l2_population_std,action_weight_medium_l2_mean,action_weight_medium_l2_population_std,action_weight_fast_delta_l2_vs_noaux_mean,action_weight_fast_delta_l2_vs_noaux_population_std,action_weight_medium_delta_l2_vs_noaux_mean,action_weight_medium_delta_l2_vs_noaux_population_std,nonaction_parameter_delta_l2_vs_noaux_mean,nonaction_parameter_delta_l2_vs_noaux_population_std,active_aux_epochs_mean,active_aux_epochs_population_std,active_weighted_aux_term_mean_mean,active_weighted_aux_term_mean_population_std,val_hier_loss_mean,val_hier_loss_population_std,val_hier_loss_fast_mean,val_hier_loss_fast_population_std,val_hier_loss_medium_mean,val_hier_loss_medium_population_std,val_hier_loss_h1_mean,val_hier_loss_h1_population_std,val_hier_loss_h2_mean,val_hier_loss_h2_population_std,val_hier_loss_h4_mean,val_hier_loss_h4_population_std,val_hier_loss_h8_mean,val_hier_loss_h8_population_std,action_weight_cosine_vs_noaux_mean,active_train_hier_loss_mean,val_hier_loss_reduction_vs_noaux,val_hier_loss_wins_vs_noaux,noaux_val_hier_loss_reduction_vs_design,noaux_val_hier_loss_wins_vs_design,noaux_val_hier_loss_pairs_vs_design,val_hier_loss_fast_reduction_vs_noaux,val_hier_loss_fast_wins_vs_noaux,noaux_val_hier_loss_fast_reduction_vs_design,noaux_val_hier_loss_fast_wins_vs_design,noaux_val_hier_loss_fast_pairs_vs_design,val_hier_loss_medium_reduction_vs_noaux,val_hier_loss_medium_wins_vs_noaux,noaux_val_hier_loss_medium_reduction_vs_design,noaux_val_hier_loss_medium_wins_vs_design,noaux_val_hier_loss_medium_pairs_vs_design
hacssmv6_noaux,25,25,3.814615082859538,0.380041719417261,0.0,0.0,0.0,0.0,3.113638236689302,0.15689589740201257,2.131583870875483,0.6578075316575229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0910870492418607,0.04526885521510612,0.07058032822608948,0.033754830353328595,0.11159377086559931,0.058433932290405576,0.04285779877305031,0.02281616949808357,0.09830285718043645,0.04497737216382067,0.06889723772605261,0.03888740245055356,0.15429030344088873,0.07812612495187854,1.0000000000000009,,0.0,0,0.0,0,25,0.0,0,0.0,0,25,0.0,0,0.0,0,25
hacssmv6_aux_noaction,25,25,3.814615082859538,0.380041719417261,0.0,0.0,0.0,0.0,3.113638236689302,0.15689589740201257,2.131583870875483,0.6578075316575229,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0011617524858719098,0.0004916592450027077,0.08595926916996638,0.04191845047690539,0.0670365318318208,0.03197188394999694,0.1048820066332817,0.05341091536782471,0.04171153578460217,0.022195006333068028,0.09236152776479721,0.041976886732169205,0.06632647717197736,0.03695722796702368,0.14343753605683646,0.06994734679809476,1.0000000000000009,0.08277636265162668,0.051918503208950244,25,-0.05492842552663015,0,25,0.050000302875306,25,-0.05275028945773145,0,25,0.05318417931654032,25,-0.056417025561827906,0,25
hacssmv6_uniform,25,0,3.7076344118209077,0.3997894047489433,0.5305382624446527,0.3466908099151548,0.13520490228929805,0.08126616353216536,2.940263323507394,0.18641994904626366,2.1798221008708913,0.6891003551426659,0.4770326189373707,0.3033737133438781,0.22990294496597155,0.17092183013029766,3.4676307323001057,1.941252628172078,99.0,0.0,0.0013768631610874293,0.0004736747450367324,0.11389852565526962,0.046389740059387306,0.1643012821674347,0.05950947808278838,0.0634957687497139,0.033529157832544634,0.02545457601547241,0.014092699222378852,0.060529413751761116,0.02904777933041143,0.12918422580957412,0.053864781164887486,0.24042588867346446,0.09043604765716913,0.9877599904484098,0.09939541855277169,-0.3104820386420831,0,0.2300754764134792,25,25,-1.4800691325370448,0,0.5881265096796893,25,25,0.43316337876538696,25,-0.7654288104461561,0,25
hacssmv6_sourcegrad,25,0,3.7456566380561056,0.3813186856540663,0.7239891272815899,0.44636471263106453,0.18371215870076496,0.10301473701174095,3.021682006761605,0.18082455536560751,2.1358813438429993,0.6708940344466714,0.6245757031479117,0.379492314652414,0.3608846295380878,0.2430118750686329,4.603100107933897,1.5119118483509337,99.0,0.0,0.0011335073631091495,0.00046515194881288445,0.08889445575277011,0.04317678240183536,0.06843219082156816,0.031527079504605066,0.10935672078132629,0.05622618987723994,0.04164224666754405,0.02140457256196326,0.09522213543454806,0.041916188523673646,0.06811242398619652,0.03821482643679956,0.15060101882616678,0.07435878102256104,0.9776870864520333,0.08123401178504883,0.018209076077032257,25,-0.01873965314244988,0,25,0.022836142624203255,25,-0.023745487353084262,0,25,0.014886734440354257,25,-0.015235817796025026,0,25
hacssmv6_fastonly,25,0,3.7686981986735995,0.3820102143592777,0.3214929672359725,0.22109525778632094,0.0817714640277488,0.052710239442341704,3.0386685530827213,0.17040197199304657,2.1559875844747576,0.6619607575968559,0.2724812078158684,0.19009413853001672,0.16905165463154662,0.11524143763361522,3.02543283962093,1.822647014640053,99.0,0.0,0.0008908087587212818,0.00035429530806314397,0.06925149055918058,0.03245334298238783,0.06925149055918058,0.03245334298238783,0.0,0.0,0.04212212274173895,0.022115816403486463,0.09638085778951645,0.04306659271022217,,,,,0.9952925658340811,0.06372569431234089,0.22562646608667647,25,-0.3084226403577619,0,25,0.013863357921554288,25,-0.014229313833537215,0,25,1.0,25,,0,0
hacssmv6_mediumonly,25,0,3.783705052507732,0.4014233775920808,0.487094210842369,0.4709586587477262,0.12181722418926436,0.11169274623523372,3.0551854134258174,0.1705882826563044,2.156243738669215,0.6818499243310633,0.37465864054681114,0.34245692856781346,0.3080238722239496,0.3264020186293066,3.3961771221431563,1.9659860686852757,99.0,0.0,0.001402885108130263,0.0006120203323074719,0.10925019901792209,0.055572009929258356,0.0,0.0,0.10925019901792209,0.055572009929258356,,,,,0.06771405822634698,0.037502249454248036,0.15078634001413982,0.07374629253577393,0.9865777799755507,0.10055080038078305,-0.19770675326151643,0,0.1620920482105408,25,25,1.0,25,,0,0,0.013700810537368388,25,-0.014217682278197797,0,25
hacssmv6_noaction,25,0,0.0,0.0,3.8146150828595404,0.38004171941726167,1.0000000000000004,2.636633597461006e-16,0.0,0.0,0.0,0.0,3.113638236689302,0.15689589740201257,2.131583870875483,0.6578075316575229,12.144751674034085,5.364639315315369,99.0,0.0,0.0011451400971079393,0.0004682668792110439,0.0791737227121989,0.03761614246063094,0.061273177620768546,0.028328853510228975,0.09707426725228628,0.048045469479208944,0.03791250438888868,0.019777181217589188,0.08463385071357091,0.037102026982024174,0.060941930719216664,0.03300438495788512,0.1332066051721573,0.06315358199378585,,0.08074106845908562,0.12024966036062829,25,-0.13828075223018235,0,25,0.1242002111785136,25,-0.14282833989775556,0,25,0.11737736099850067,25,-0.135110297316976,0,25
hacssmv6_static,25,0,3.745552266011812,0.4895182319768088,1.224317313695647,0.49505483081018725,0.31741212487154774,0.10895404988853129,2.965256272403107,0.23379615465845047,2.185485015274807,0.80314364961329,1.0796609116926956,0.4098361810767349,0.5733177973282471,0.2858417286427053,11.881472321258942,1.7847239857128825,99.0,0.0,0.001188708782279901,0.0004728552800898781,0.09643803193569184,0.04107302877848384,0.07318326400319736,0.02529662771622725,0.11969280001719793,0.05908080915765487,0.045400784212350845,0.017593968412815582,0.10096574340661367,0.03330437587849931,0.07442648967107136,0.039649660857972925,0.16495911004543304,0.07874266892634882,0.9474259825858337,0.08616537265805685,-0.09955613503473705,6,0.08514263637779199,19,25,-0.11102539457233124,10,0.0801007150940267,15,25,-0.0908351354583297,0,0.08209180337890302,25,25
hacssmv6_single,25,0,3.7601435962791565,0.42982572418492215,2.066731847910347,0.6042579106381017,0.5346551905785026,0.12099728196875802,2.8729593102459696,0.23715469168778072,2.3244089416639504,0.7812909468337628,1.766373765375324,0.4028057375969231,1.0450638708548996,0.5118797889370252,11.677351059919307,2.1340093712717385,99.0,0.0,0.0011962745691126314,0.00044408446224617344,0.09791575081149737,0.0390885558719255,0.07430306047598521,0.02221532271199254,0.12152844249010086,0.05829597766334255,0.04578551587263743,0.016212859351838284,0.10282060557802518,0.028573584836202086,0.07338693534533183,0.03766786755311646,0.16966994909445446,0.079011461984571,0.8481265788659369,0.08677477998782354,-0.13004546596256242,6,0.10535667996930054,19,25,-0.1486564835502258,10,0.09716073301163698,15,25,-0.1155895564646221,0,0.10130666691229684,25,25
hacssmv6,25,0,3.777430235396098,0.3951665362472449,0.3524415695451764,0.2625073043239145,0.08899601550930086,0.06224331536736269,3.046313805595784,0.17091393614806907,2.1589411008872155,0.6744403026369934,0.29654819599587134,0.21319740151893565,0.18878457153181388,0.15521457971335395,3.1860013837744043,1.8554868511350604,99.0,0.0,0.0011488131361159651,0.0004768988947365142,0.08940546843806903,0.04348408703475944,0.06908093628684679,0.03232753899633131,0.10972999943494798,0.0562589457660324,0.04204284859895706,0.022069874454143,0.09611902366479239,0.04285160817666016,0.06776118657986323,0.03758406546072788,0.15169881374835967,0.07507074894280723,0.9941980946957892,0.08232110489916587,0.013019132532244114,25,-0.013378332499396677,0,25,0.015697450153021684,25,-0.016197383346317325,0,25,0.011332499304662829,25,-0.011626236641393346,0,25
