run,env,design,seed,trainable_parameters,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16,tau_fast,tau_slow,tau_fast_min,tau_fast_max,tau_medium_min,tau_medium_max
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s0,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,0,851076,0.8268086218833923,0.6124406456947327,0.8173432350158691,1.08318293094635,0.9540796875953674,0.780109167098999,0.7144599556922913,0.7514117956161499,2.1163387298583984,0.6969016194343567,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3923646608988445,1.2073322931925456,1.5773969093958538,,1.1569530661900838,1.2577115535736083,1.4771433544158936,1.6776504643758139,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s1,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,1,851076,0.8231356994311014,0.6182016730308533,0.7775700688362122,1.0745311975479126,0.9409660696983337,0.786705493927002,0.7215563654899597,0.7509766817092896,1.7238967418670654,0.6872950196266174,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3941306988398234,1.2085853322347004,1.579676014582316,,1.1582264280319214,1.2589442539215088,1.479648240407308,1.679703755378723,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s2,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,2,851076,0.8691249513626098,0.618535041809082,0.7594138979911804,1.1558003425598145,1.0331170558929443,0.7844842672348022,0.7143248915672302,0.7573688626289368,1.824904203414917,0.6946072578430176,2.2903213500976562,1.2641915082931519,16.771806716918945,1.4025448703765868,1.2038529411951702,1.601236832936605,,1.153120651245117,1.2545851802825927,1.4942041079203288,1.7082695245742798,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s3,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,3,851076,0.8472352202733358,0.6117957830429077,0.7857232689857483,1.0898009538650513,0.9904065728187561,0.7759139537811279,0.7206663489341736,0.7524151802062988,2.0062389373779297,0.714291512966156,2.2903213500976562,1.2641915082931519,16.771806716918945,1.403590513865153,1.2103243064880371,1.5968566703796387,,1.1604468488693238,1.2602016957600912,1.4903334061304727,1.7033800029754638,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s4,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,4,851076,0.835442553361257,0.6221016049385071,0.8105859756469727,1.103588581085205,0.9690700173377991,0.7775416374206543,0.7125294804573059,0.7546299695968628,1.722853183746338,0.7096614241600037,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3888092533747356,1.2029920800526936,1.5746264266967773,,1.1516159375508626,1.2543681716918946,1.4769626299540202,1.6722902409235636,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_noaux-s0,dmc:ball_in_cup.catch.occ,hacssmv5_noaux,0,851332,0.8775917633374533,0.6245761513710022,0.8745629191398621,1.17982816696167,1.0406196117401123,0.8066438436508179,0.7237716317176819,0.77924644947052,2.002490997314453,0.729327917098999,2.2903213500976562,1.2641915082931519,16.771806716918945,1.5019438870747883,1.28101788520813,1.722869906425476,,1.272729328473409,1.2893064753214518,1.6200233602523804,1.8257164017359415,,3.54874849319458,22.758127212524414,1.2178659439086914,8.279669761657715,6.478394508361816,66.8700942993164
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_noaux-s1,dmc:ball_in_cup.catch.occ,hacssmv5_noaux,1,851332,0.900947953859965,0.626081645488739,0.8359726071357727,1.1885346174240112,1.084199070930481,0.7950742244720459,0.7269311547279358,0.7786394953727722,1.8864749670028687,0.7056248784065247,2.2903213500976562,1.2641915082931519,16.771806716918945,1.493948040008545,1.2751532665888468,1.712742830912272,,1.2683521318435669,1.2819544013341269,1.6082022587458293,1.8172834539413452,,3.6025500297546387,22.841976165771484,1.2385528087615967,8.315677642822266,6.474429130554199,66.91476440429688
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_noaux-s2,dmc:ball_in_cup.catch.occ,hacssmv5_noaux,2,851332,0.8859822845458984,0.6201205849647522,0.7718295454978943,1.1711859703063965,1.0592843294143677,0.7921362519264221,0.7236341238021851,0.7662307024002075,1.7260169982910156,0.7137460112571716,2.2903213500976562,1.2641915082931519,16.771806716918945,1.5103845024108886,1.274762315750122,1.7460067399342856,,1.2682516304651896,1.2812730010350546,1.6348318004608153,1.8571816794077556,,3.578287124633789,22.979862213134766,1.24443781375885,8.479074478149414,6.490725517272949,66.66484069824219
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_noaux-s3,dmc:ball_in_cup.catch.occ,hacssmv5_noaux,3,851332,0.8808592224121093,0.6122742891311646,0.84964519739151,1.180494785308838,1.0470809936523438,0.792789101600647,0.7321603298187256,0.7767961025238037,1.9719699621200562,0.7342472672462463,2.2903213500976562,1.2641915082931519,16.771806716918945,1.5114694595336915,1.2819363943735758,1.741002524693807,,1.2771331294377646,1.286739641825358,1.6271822961171467,1.8548228041330974,,3.572036027908325,23.236469268798828,1.2385989427566528,8.4808349609375,6.544138431549072,67.29837036132812
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_noaux-s4,dmc:ball_in_cup.catch.occ,hacssmv5_noaux,4,851332,0.879698437054952,0.6130258440971375,0.8831427693367004,1.2074633836746216,1.0531864166259766,0.8039223551750183,0.714663565158844,0.7763675451278687,1.5346845388412476,0.7312678694725037,2.2903213500976562,1.2641915082931519,16.771806716918945,1.5054683113098144,1.2803718503316244,1.7305648740132649,,1.2720314868291218,1.2887122138341267,1.6248186333974202,1.8363111146291098,,3.5436627864837646,22.8671817779541,1.2265357971191406,8.327411651611328,6.463084697723389,66.42530059814453
