run,env,design,seed,trainable_parameters,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16,tau_fast,tau_slow,tau_fast_min,tau_fast_max,tau_medium_min,tau_medium_max
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s0,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,0,851076,0.8268086218833923,0.6124406456947327,0.8173432350158691,1.08318293094635,0.9540796875953674,0.780109167098999,0.7144599556922913,0.7514117956161499,2.1163387298583984,0.6969016194343567,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3923646608988445,1.2073322931925456,1.5773969093958538,,1.1569530661900838,1.2577115535736083,1.4771433544158936,1.6776504643758139,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s1,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,1,851076,0.8231356994311014,0.6182016730308533,0.7775700688362122,1.0745311975479126,0.9409660696983337,0.786705493927002,0.7215563654899597,0.7509766817092896,1.7238967418670654,0.6872950196266174,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3941306988398234,1.2085853322347004,1.579676014582316,,1.1582264280319214,1.2589442539215088,1.479648240407308,1.679703755378723,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s2,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,2,851076,0.8691249513626098,0.618535041809082,0.7594138979911804,1.1558003425598145,1.0331170558929443,0.7844842672348022,0.7143248915672302,0.7573688626289368,1.824904203414917,0.6946072578430176,2.2903213500976562,1.2641915082931519,16.771806716918945,1.4025448703765868,1.2038529411951702,1.601236832936605,,1.153120651245117,1.2545851802825927,1.4942041079203288,1.7082695245742798,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_noaux-s0,dmc:ball_in_cup.catch.occ,hacssmv5_noaux,0,851332,0.8775917633374533,0.6245761513710022,0.8745629191398621,1.17982816696167,1.0406196117401123,0.8066438436508179,0.7237716317176819,0.77924644947052,2.002490997314453,0.729327917098999,2.2903213500976562,1.2641915082931519,16.771806716918945,1.5019438870747883,1.28101788520813,1.722869906425476,,1.272729328473409,1.2893064753214518,1.6200233602523804,1.8257164017359415,,3.54874849319458,22.758127212524414,1.2178659439086914,8.279669761657715,6.478394508361816,66.8700942993164
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_noaux-s1,dmc:ball_in_cup.catch.occ,hacssmv5_noaux,1,851332,0.900947953859965,0.626081645488739,0.8359726071357727,1.1885346174240112,1.084199070930481,0.7950742244720459,0.7269311547279358,0.7786394953727722,1.8864749670028687,0.7056248784065247,2.2903213500976562,1.2641915082931519,16.771806716918945,1.493948040008545,1.2751532665888468,1.712742830912272,,1.2683521318435669,1.2819544013341269,1.6082022587458293,1.8172834539413452,,3.6025500297546387,22.841976165771484,1.2385528087615967,8.315677642822266,6.474429130554199,66.91476440429688
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_noaux-s2,dmc:ball_in_cup.catch.occ,hacssmv5_noaux,2,851332,0.8859822845458984,0.6201205849647522,0.7718295454978943,1.1711859703063965,1.0592843294143677,0.7921362519264221,0.7236341238021851,0.7662307024002075,1.7260169982910156,0.7137460112571716,2.2903213500976562,1.2641915082931519,16.771806716918945,1.5103845024108886,1.274762315750122,1.7460067399342856,,1.2682516304651896,1.2812730010350546,1.6348318004608153,1.8571816794077556,,3.578287124633789,22.979862213134766,1.24443781375885,8.479074478149414,6.490725517272949,66.66484069824219
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s0,dmc:ball_in_cup.catch.occ,hacssmv6,0,851076,0.8204397980372111,0.6107873320579529,0.8131021857261658,1.061469554901123,0.9421598315238953,0.7744729518890381,0.7156876921653748,0.7480782270431519,2.0591652393341064,0.6985169649124146,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14488129258155824,0.12053820153077444,0.16922437091668446,,0.07997476637363433,0.16110163668791452,0.1116220048069954,0.22682674547036488,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s1,dmc:ball_in_cup.catch.occ,hacssmv6,1,851076,0.8285790522893269,0.6222785115242004,0.7677770256996155,1.0606211423873901,0.9514794945716858,0.7789548635482788,0.7204052209854126,0.7488207221031189,1.8399591445922852,0.6927414536476135,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14267491817474365,0.1177909117937088,0.16755892554918925,,0.07824757784605026,0.15733424146970112,0.11054084102312724,0.22457700908184053,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s2,dmc:ball_in_cup.catch.occ,hacssmv6,2,851076,0.8499961392084757,0.6163967251777649,0.7571308016777039,1.0960512161254883,0.9958589673042297,0.7882318496704102,0.7159976363182068,0.7501591444015503,1.809068202972412,0.709843099117279,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14209479908148448,0.11647940188646316,0.16771018783251446,,0.0773222945133845,0.15563650925954184,0.1100964700182279,0.2253239130973816,,2.0,8.0,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_aux_noaction-s0,dmc:ball_in_cup.catch.occ,hacssmv6_aux_noaction,0,851076,0.8268086218833923,0.6124406456947327,0.8173432350158691,1.08318293094635,0.9540796875953674,0.780109167098999,0.7144599556922913,0.7514117956161499,2.1163387298583984,0.6969016194343567,2.2903213500976562,1.2641915082931519,16.771806716918945,0.13830395857493083,0.1163716866572698,0.16023623685042063,,0.07870554765065511,0.15403782248497008,0.10765449533859889,0.21281797409057618,,2.0,8.0,,,,
