run,env,design,seed,trainable_parameters,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16,tau_fast,tau_slow,tau_fast_min,tau_fast_max,tau_medium_min,tau_medium_max,val_hier_loss_bridge,val_hier_loss_recovery,val_hier_overlap,rho_fast,rho_medium,action_head_shared_norm,action_head_fast_norm,action_head_medium_norm,action_head_cosine
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s0,dmc:ball_in_cup.catch.occ,hacssmv6,0,851076,0.8204397980372111,0.6107873320579529,0.8131021857261658,1.061469554901123,0.9421598315238953,0.7744729518890381,0.7156876921653748,0.7480782270431519,2.0591652393341064,0.6985169649124146,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14488129258155824,0.12053820153077444,0.16922437091668446,,0.07997476637363433,0.16110163668791452,0.1116220048069954,0.22682674547036488,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s1,dmc:ball_in_cup.catch.occ,hacssmv6,1,851076,0.8285790522893269,0.6222785115242004,0.7677770256996155,1.0606211423873901,0.9514794945716858,0.7789548635482788,0.7204052209854126,0.7488207221031189,1.8399591445922852,0.6927414536476135,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14267491817474365,0.1177909117937088,0.16755892554918925,,0.07824757784605026,0.15733424146970112,0.11054084102312724,0.22457700908184053,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s2,dmc:ball_in_cup.catch.occ,hacssmv6,2,851076,0.8499961392084757,0.6163967251777649,0.7571308016777039,1.0960512161254883,0.9958589673042297,0.7882318496704102,0.7159976363182068,0.7501591444015503,1.809068202972412,0.709843099117279,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14209479908148448,0.11647940188646316,0.16771018783251446,,0.0773222945133845,0.15563650925954184,0.1100964700182279,0.2253239130973816,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s0,dmc:ball_in_cup.catch.occ,hacssmv6_static,0,851076,0.7864038054148356,0.6026777029037476,0.744674026966095,1.0323065519332886,0.8855003714561462,0.7498370409011841,0.7080113291740417,0.7289312481880188,1.8529459238052368,0.7138724327087402,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14708019455273946,0.11510431925455729,0.17905608157316844,,0.0766806028286616,0.15352803568045298,0.11976078927516937,0.23835138340791068,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s1,dmc:ball_in_cup.catch.occ,hacssmv6_static,1,851076,0.7918512646357219,0.603035569190979,0.7260055541992188,0.9643147587776184,0.8903535008430481,0.7700530290603638,0.7150245308876038,0.7247582077980042,1.9473905563354492,0.7062143087387085,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14575471818447114,0.11353299597899119,0.17797644038995106,,0.07583913962046306,0.15122684597969055,0.11931236584981282,0.2366405181090037,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s2,dmc:ball_in_cup.catch.occ,hacssmv6_static,2,851076,0.7973689540227255,0.6017792820930481,0.7038276791572571,1.0356816053390503,0.9052132368087769,0.756208062171936,0.7099218368530273,0.7268136739730835,1.8236031532287598,0.7140571475028992,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14366580764452616,0.11030447026093801,0.17702714920043947,,0.07373454590638479,0.14687439779440561,0.11861880511045456,0.23543549438317618,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s0,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,0,852614,0.8067797549565633,0.6079443693161011,0.7933842539787292,1.0650020837783813,0.9196161031723022,0.7642955183982849,0.712067723274231,0.7426156401634216,2.1301023960113525,0.7083359956741333,2.2903213500976562,1.2641915082931519,16.771806716918945,0.1274462890625,0.084380504488945,0.17051207681496938,,0.05446002021431923,0.11430099248886108,0.10578229824701944,0.23524185220400493,,2.0,8.0,,,,,0.15260824183622995,0.10228433420260748,0.0,0.6059677004814148,0.5515691041946411,,3.6418161392211914,3.46925950050354,0.7320268154144287
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s1,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,1,852614,0.8092456110318502,0.6112030148506165,0.7490612864494324,1.0301367044448853,0.9181687235832214,0.7854728698730469,0.7184523940086365,0.7394829988479614,2.1140761375427246,0.6885921955108643,2.2903213500976562,1.2641915082931519,16.771806716918945,0.12434525728225708,0.08272714008887609,0.16596337020397187,,0.05360438386599223,0.11184989313284556,0.10435800383488338,0.22756873865922292,,2.0,8.0,,,,,0.14962114135424295,0.09906936685244243,0.0,0.6010213494300842,0.5461612343788147,,3.589944362640381,3.420753240585327,0.738648533821106
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s2,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,2,852614,0.8378855339686075,0.6093609929084778,0.7198152542114258,1.0470919609069824,0.9766353368759155,0.7776867151260376,0.7140449285507202,0.7372703552246094,1.8030452728271484,0.7087509632110596,2.2903213500976562,1.2641915082931519,16.771806716918945,0.12311009138822555,0.08129968106746674,0.1649204953511556,,0.05267353187004725,0.10992583185434342,0.10362279991308848,0.22621819933255513,,2.0,8.0,,,,,0.14808193484942117,0.09813825110594432,0.0,0.6018690466880798,0.5452249646186829,,3.6198158264160156,3.3877627849578857,0.7235060334205627
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s0,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,0,852614,0.8037023679415385,0.6057317852973938,0.7892810702323914,1.0413421392440796,0.9163979887962341,0.7642547488212585,0.7083173394203186,0.7374146580696106,2.1915910243988037,0.7012025713920593,2.2903213500976562,1.2641915082931519,16.771806716918945,0.15176846305529276,0.11708455959955852,0.18645235598087312,,0.07571982930103938,0.15844928562641145,0.11623915354410808,0.25666555523872375,,2.0,8.0,,,,,0.15176846305529276,0.0,0.0,0.6083292365074158,0.5532896518707275,,3.7013652324676514,3.421381950378418,0.7309182286262512
