run,env,design,seed,trainable_parameters,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16,tau_fast,tau_slow,tau_fast_min,tau_fast_max,tau_medium_min,tau_medium_max,val_hier_loss_bridge,val_hier_loss_recovery,val_hier_overlap,rho_fast,rho_medium,action_head_shared_norm,action_head_fast_norm,action_head_medium_norm,action_head_cosine
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s0,dmc:ball_in_cup.catch.occ,hacssmv6,0,851076,0.8204397980372111,0.6107873320579529,0.8131021857261658,1.061469554901123,0.9421598315238953,0.7744729518890381,0.7156876921653748,0.7480782270431519,2.0591652393341064,0.6985169649124146,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14488129258155824,0.12053820153077444,0.16922437091668446,,0.07997476637363433,0.16110163668791452,0.1116220048069954,0.22682674547036488,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s1,dmc:ball_in_cup.catch.occ,hacssmv6,1,851076,0.8285790522893269,0.6222785115242004,0.7677770256996155,1.0606211423873901,0.9514794945716858,0.7789548635482788,0.7204052209854126,0.7488207221031189,1.8399591445922852,0.6927414536476135,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14267491817474365,0.1177909117937088,0.16755892554918925,,0.07824757784605026,0.15733424146970112,0.11054084102312724,0.22457700908184053,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s2,dmc:ball_in_cup.catch.occ,hacssmv6,2,851076,0.8499961392084757,0.6163967251777649,0.7571308016777039,1.0960512161254883,0.9958589673042297,0.7882318496704102,0.7159976363182068,0.7501591444015503,1.809068202972412,0.709843099117279,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14209479908148448,0.11647940188646316,0.16771018783251446,,0.0773222945133845,0.15563650925954184,0.1100964700182279,0.2253239130973816,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s3,dmc:ball_in_cup.catch.occ,hacssmv6,3,851076,0.8442095867792765,0.6115612387657166,0.7852001786231995,1.0699894428253174,0.9856672883033752,0.7774954438209534,0.7185925841331482,0.7492709755897522,1.7094550132751465,0.715668261051178,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14076943834622702,0.11587419052918752,0.16566468397776285,,0.07695327361424764,0.1547951074441274,0.10932559311389924,0.22200378755728403,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s4,dmc:ball_in_cup.catch.occ,hacssmv6,4,851076,0.8204035139083863,0.6199753880500793,0.7964106202125549,1.070325255393982,0.9412087202072144,0.7823020219802856,0.7111631631851196,0.7479644417762756,1.8926031589508057,0.707800030708313,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14290727416674295,0.12010097702344259,0.16571356276671093,,0.07972413271665574,0.16047782023747761,0.11034467816352844,0.22108245372772217,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s0,dmc:ball_in_cup.catch.occ,hacssmv6_static,0,851076,0.7864038054148356,0.6026777029037476,0.744674026966095,1.0323065519332886,0.8855003714561462,0.7498370409011841,0.7080113291740417,0.7289312481880188,1.8529459238052368,0.7138724327087402,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14708019455273946,0.11510431925455729,0.17905608157316844,,0.0766806028286616,0.15352803568045298,0.11976078927516937,0.23835138340791068,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s1,dmc:ball_in_cup.catch.occ,hacssmv6_static,1,851076,0.7918512646357219,0.603035569190979,0.7260055541992188,0.9643147587776184,0.8903535008430481,0.7700530290603638,0.7150245308876038,0.7247582077980042,1.9473905563354492,0.7062143087387085,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14575471818447114,0.11353299597899119,0.17797644038995106,,0.07583913962046306,0.15122684597969055,0.11931236584981282,0.2366405181090037,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s2,dmc:ball_in_cup.catch.occ,hacssmv6_static,2,851076,0.7973689540227255,0.6017792820930481,0.7038276791572571,1.0356816053390503,0.9052132368087769,0.756208062171936,0.7099218368530273,0.7268136739730835,1.8236031532287598,0.7140571475028992,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14366580764452616,0.11030447026093801,0.17702714920043947,,0.07373454590638479,0.14687439779440561,0.11861880511045456,0.23543549438317618,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s3,dmc:ball_in_cup.catch.occ,hacssmv6_static,3,851076,0.8027147761980693,0.5977083444595337,0.7080118060112,0.9883115887641907,0.9162638187408447,0.7630993723869324,0.7095686197280884,0.7220613956451416,1.8283921480178833,0.7355301976203918,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14332999050617218,0.11043083310127258,0.1762291447321574,,0.07378902147213617,0.14707264045874277,0.11797507623831431,0.2344832217693329,,2.0,8.0,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6_static-s4,dmc:ball_in_cup.catch.occ,hacssmv6_static,4,851076,0.7782709217071533,0.6064109802246094,0.7389347553253174,1.0017753839492798,0.8702439665794373,0.7597132921218872,0.7038694620132446,0.7243785858154297,2.028203010559082,0.7200562357902527,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14582782745361328,0.11492364863554637,0.1767320136229197,,0.07654186795155207,0.1533054314057032,0.11877763658761978,0.23468638956546783,,2.0,8.0,,,,,,,,,,,,,
