run,env,design,seed,previous_window_mean,recent_window_mean,relative_improvement
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_static-s0,dmc:ball_in_cup.catch.occ,hacssmv8_static,0,0.7907124568621318,0.7817603718439738,0.011321542920524393
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_static-s1,dmc:ball_in_cup.catch.occ,hacssmv8_static,1,0.7883190766970316,0.7971675306161244,-0.011224457431839483
lewm-dmc:ball_in_cup.catch.occ-hacssmv8_static-s2,dmc:ball_in_cup.catch.occ,hacssmv8_static,2,0.7903780459562937,0.7981800719102223,-0.00987125843619407
lewm-dmc:ball_in_cup.catch.occ-ssm-s0,dmc:ball_in_cup.catch.occ,ssm,0,0.8116670494874318,0.8187352165381114,-0.008708209918270227
lewm-dmc:ball_in_cup.catch.occ-ssm-s1,dmc:ball_in_cup.catch.occ,ssm,1,0.8196197616259256,0.831820500532786,-0.014885852535640507
lewm-dmc:ball_in_cup.catch.occ-ssm-s2,dmc:ball_in_cup.catch.occ,ssm,2,0.8131603331565856,0.8168048435846964,-0.0044819087694098775
lewm-dmc:cheetah.run.occ-hacssmv6-s0,dmc:cheetah.run.occ,hacssmv6,0,0.36838068075974784,0.3705122209787369,-0.005786243226960085
lewm-dmc:cheetah.run.occ-hacssmv6-s1,dmc:cheetah.run.occ,hacssmv6,1,0.37167390692234037,0.3702235386371613,0.003902260175294281
lewm-dmc:cheetah.run.occ-hacssmv6-s2,dmc:cheetah.run.occ,hacssmv6,2,0.3738562130133311,0.3711620051463445,0.007206534954363662
lewm-dmc:cheetah.run.occ-hacssmv6_static-s0,dmc:cheetah.run.occ,hacssmv6_static,0,0.3612287952105204,0.3555321790774663,0.015770105286690064
lewm-dmc:cheetah.run.occ-hacssmv6_static-s1,dmc:cheetah.run.occ,hacssmv6_static,1,0.36025480246543884,0.36523589821656544,-0.013826590838034586
lewm-dmc:cheetah.run.occ-hacssmv6_static-s2,dmc:cheetah.run.occ,hacssmv6_static,2,0.36959538904825845,0.37224910751978557,-0.007180063794520509
lewm-dmc:cheetah.run.occ-hacssmv7_noaux-s0,dmc:cheetah.run.occ,hacssmv7_noaux,0,0.3759348303476969,0.3811258492469788,-0.013808294630430389
lewm-dmc:cheetah.run.occ-hacssmv7_noaux-s1,dmc:cheetah.run.occ,hacssmv7_noaux,1,0.3737433865865072,0.37055440704027814,0.0085325377269008
lewm-dmc:cheetah.run.occ-hacssmv7_noaux-s2,dmc:cheetah.run.occ,hacssmv7_noaux,2,0.37631648166974385,0.37386856202284496,0.006504949334234018
lewm-dmc:cheetah.run.occ-hacssmv7_norecovery-s0,dmc:cheetah.run.occ,hacssmv7_norecovery,0,0.37127366626262664,0.3741048454840978,-0.007625585864924915
lewm-dmc:cheetah.run.occ-hacssmv7_norecovery-s1,dmc:cheetah.run.occ,hacssmv7_norecovery,1,0.372739133755366,0.3707771388689677,0.005263721216044881
lewm-dmc:cheetah.run.occ-hacssmv7_norecovery-s2,dmc:cheetah.run.occ,hacssmv7_norecovery,2,0.3697685970465342,0.3725190420150757,-0.007438287054417856
lewm-dmc:cheetah.run.occ-hacssmv7_sharedaction-s0,dmc:cheetah.run.occ,hacssmv7_sharedaction,0,0.3693586723804474,0.37234944208463033,-0.008097196378002955
lewm-dmc:cheetah.run.occ-hacssmv7_sharedaction-s1,dmc:cheetah.run.occ,hacssmv7_sharedaction,1,0.37241662593682606,0.3714588177204132,0.0025718728695407703
lewm-dmc:cheetah.run.occ-hacssmv7_sharedaction-s2,dmc:cheetah.run.occ,hacssmv7_sharedaction,2,0.36946383066972094,0.3740575779676437,-0.012433550774363405
lewm-dmc:cheetah.run.occ-hacssmv8-s0,dmc:cheetah.run.occ,hacssmv8,0,0.3706063691775004,0.37067639382680256,-0.00018894615723301678
lewm-dmc:cheetah.run.occ-hacssmv8-s1,dmc:cheetah.run.occ,hacssmv8,1,0.37226970156033834,0.3699068015019099,0.006347280072819586
lewm-dmc:cheetah.run.occ-hacssmv8-s2,dmc:cheetah.run.occ,hacssmv8,2,0.37194470675786334,0.3716856239239375,0.0006965627665041682
lewm-dmc:cheetah.run.occ-hacssmv8_dynamic-s0,dmc:cheetah.run.occ,hacssmv8_dynamic,0,0.3740649257898331,0.37458245344956714,-0.001383523618637353
lewm-dmc:cheetah.run.occ-hacssmv8_dynamic-s1,dmc:cheetah.run.occ,hacssmv8_dynamic,1,0.3748908902009328,0.373479506333669,0.0037647857127372066
lewm-dmc:cheetah.run.occ-hacssmv8_dynamic-s2,dmc:cheetah.run.occ,hacssmv8_dynamic,2,0.3744589074055354,0.3699694707393646,0.011989130388902144
lewm-dmc:cheetah.run.occ-hacssmv8_levelaction-s0,dmc:cheetah.run.occ,hacssmv8_levelaction,0,0.3759348303476969,0.3811258492469788,-0.013808294630430389
lewm-dmc:cheetah.run.occ-hacssmv8_levelaction-s1,dmc:cheetah.run.occ,hacssmv8_levelaction,1,0.3737433865865072,0.37055440704027814,0.0085325377269008
lewm-dmc:cheetah.run.occ-hacssmv8_levelaction-s2,dmc:cheetah.run.occ,hacssmv8_levelaction,2,0.37631648166974385,0.37386856202284496,0.006504949334234018
lewm-dmc:cheetah.run.occ-hacssmv8_noaction-s0,dmc:cheetah.run.occ,hacssmv8_noaction,0,0.48982032720247903,0.4903292344411214,-0.0010389671689391066
lewm-dmc:cheetah.run.occ-hacssmv8_noaction-s1,dmc:cheetah.run.occ,hacssmv8_noaction,1,0.4797720529238383,0.4837964828014374,-0.00838821238768145
lewm-dmc:cheetah.run.occ-hacssmv8_noaction-s2,dmc:cheetah.run.occ,hacssmv8_noaction,2,0.4963258275190989,0.5041750218073527,-0.015814599710614035
lewm-dmc:cheetah.run.occ-hacssmv8_redundant-s0,dmc:cheetah.run.occ,hacssmv8_redundant,0,0.3715728007555008,0.37338143249352773,-0.004867503042067449
lewm-dmc:cheetah.run.occ-hacssmv8_redundant-s1,dmc:cheetah.run.occ,hacssmv8_redundant,1,0.3740340678691864,0.3739894914229711,0.00011917750291905323
lewm-dmc:cheetah.run.occ-hacssmv8_redundant-s2,dmc:cheetah.run.occ,hacssmv8_redundant,2,0.3703874370654424,0.37109389436244966,-0.001907346811232219
lewm-dmc:cheetah.run.occ-hacssmv8_single-s0,dmc:cheetah.run.occ,hacssmv8_single,0,0.3904073464075724,0.38978705994288126,0.0015888186285398064
lewm-dmc:cheetah.run.occ-hacssmv8_single-s1,dmc:cheetah.run.occ,hacssmv8_single,1,0.3972134712934494,0.39488717790444694,0.005856531958564618
lewm-dmc:cheetah.run.occ-hacssmv8_single-s2,dmc:cheetah.run.occ,hacssmv8_single,2,0.3965625373919805,0.3978485442399979,-0.0032428853629868646
