env,design,n_seeds,trainable_parameters_mean,trainable_parameters_std,val_pred_loss_mean,val_pred_loss_std,clean_mse_pre_mean,clean_mse_pre_std,clean_mse_blackout_transition_mean,clean_mse_blackout_transition_std,clean_mse_deep_blackout_mean,clean_mse_deep_blackout_std,clean_mse_first_post_mean,clean_mse_first_post_std,clean_mse_recovery_mean,clean_mse_recovery_std,clean_mse_late_post_mean,clean_mse_late_post_std,clean_mse_all_mean,clean_mse_all_std,clean_mse_first_post_ablated_mean,clean_mse_first_post_ablated_std,clean_input_mse_first_post_mean,clean_input_mse_first_post_std,last_visible_mse_first_post_mean,last_visible_mse_first_post_std,constant_mse_first_post_mean,constant_mse_first_post_std,persistence_mse_first_post_mean,persistence_mse_first_post_std,val_hier_loss_mean,val_hier_loss_std,val_hier_loss_fast_mean,val_hier_loss_fast_std,val_hier_loss_medium_mean,val_hier_loss_medium_std,val_hier_loss_slow_mean,val_hier_loss_slow_std,val_hier_loss_h1_mean,val_hier_loss_h1_std,val_hier_loss_h2_mean,val_hier_loss_h2_std,val_hier_loss_h4_mean,val_hier_loss_h4_std,val_hier_loss_h8_mean,val_hier_loss_h8_std,val_hier_loss_h16_mean,val_hier_loss_h16_std,tau_fast_mean,tau_fast_std,tau_slow_mean,tau_slow_std,tau_fast_min_mean,tau_fast_min_std,tau_fast_max_mean,tau_fast_max_std,tau_medium_min_mean,tau_medium_min_std,tau_medium_max_mean,tau_medium_max_std,val_hier_loss_bridge_mean,val_hier_loss_bridge_std,val_hier_loss_recovery_mean,val_hier_loss_recovery_std,val_hier_overlap_mean,val_hier_overlap_std,rho_fast_mean,rho_fast_std,rho_medium_mean,rho_medium_std,action_head_shared_norm_mean,action_head_shared_norm_std,action_head_fast_norm_mean,action_head_fast_norm_std,action_head_medium_norm_mean,action_head_medium_norm_std,action_head_cosine_mean,action_head_cosine_std
dmc:ball_in_cup.catch.occ,hacssmv6,3,851076.0,0.0,0.8330049965116713,0.01246558094788807,0.6164875229199728,0.004691693692322629,0.779336671034495,0.024268196036187722,1.0727139711380005,0.016505558733406204,0.9631660977999369,0.023428356282499875,0.7805532217025757,0.005729623526411766,0.7173635164896647,0.0021545287224910476,0.7490193645159403,0.000861064600460627,1.9027308622996013,0.11133238015711003,0.7003671725591024,0.007103239669072577,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.14321700327926212,0.0012004245643087933,0.11826950507031547,0.0016912031775189235,0.16816449476612938,0.000751985443332414,,,0.0785148795776897,0.0010992389501096917,0.1580241291390525,0.0022838364213650327,0.11075310528278351,0.0006406279132645553,0.225575889216529,0.0009355737732992494,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv6_static,3,851076.0,0.0,0.7918746746910943,0.004476533779707746,0.6024975180625916,0.0005284658619335325,0.7248357534408569,0.016695954753389353,1.010767638683319,0.03287603265828592,0.8936890363693237,0.008386243220815914,0.758699377377828,0.0084390573290447,0.7109858989715576,0.0029603401508211443,0.7268343766530355,0.0017036994991080044,1.874646544456482,0.05281425309176455,0.7113812963167826,0.0036543900870756006,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.14550024012724558,0.0014054842109753648,0.11298059516482883,0.0019980820111634443,0.17801989038785299,0.0008288777835182378,,,0.07541809611850314,0.0012390240972181238,0.15054309315151637,0.0027590291441239906,0.11923065341181224,0.0004697798420592662,0.23680913196669684,0.001196362591607411,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv7_noaux,3,852614.0,0.0,0.8179702999856737,0.014118133020865049,0.6095027923583984,0.0013341096888693494,0.7540869315465292,0.030243922399625502,1.047410249710083,0.014235510758634046,0.9381400545438131,0.027226687866747357,0.7758183677991232,0.008745974128016159,0.7148550152778625,0.002668730719001414,0.7397896647453308,0.0021929509416507417,2.0157412687937417,0.15054102489640858,0.7018930514653524,0.00940665106385573,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.12496721257766087,0.0018240566255293697,0.08280244188176261,0.0012588674827243745,0.16713198079003228,0.002427712756623102,,,0.0535793119834529,0.0007295462519152823,0.11202557249201668,0.0017904664331559591,0.1045877006649971,0.0008964480795100444,0.22967626339859432,0.003973900114614769,,,2.0,0.0,8.0,0.0,,,,,,,,,0.1501037726799647,0.0018791067881903253,0.09983065072033141,0.001776169306258086,0.0,0.0,0.6029526988665262,0.0021598339000393147,0.5476517677307129,0.002796222928004917,,,3.617192109425863,0.021257676567077197,3.4259251753489175,0.03347128463903997,0.7313937942186991,0.006198083922783181
dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,3,852614.0,0.0,0.8112838999430338,0.006878889025994302,0.6127443114916483,0.004980859426374242,0.7549379070599874,0.026476419820452003,1.0331337849299114,0.009460188098500334,0.9241219361623129,0.010477735635937218,0.7794914444287618,0.010792659303364437,0.7147645950317383,0.004772326181352175,0.73891282081604,0.0012043889713561258,2.0356947580973306,0.11059305518291807,0.6935529112815857,0.006520323526684419,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.14883539888593886,0.0023755205535637806,0.11456758426295387,0.0021917013008421584,0.18310320681995815,0.00258552077524954,,,0.0741709272729026,0.0013031463485196567,0.15496423807409074,0.0030826164698957055,0.1149088661869367,0.001037276019405892,0.25129755205578275,0.004134077069092481,,,2.0,0.0,8.0,0.0,,,,,,,,,0.14883539888593886,0.0023755205535637806,0.0,0.0,0.0,0.0,0.6010709603627523,0.005375166782566,0.5491217573483785,0.0036867512897097096,,,3.6713502407073975,0.04657020051101616,3.4120075702667236,0.06512827859781424,0.718901256720225,0.013147580402432812
dmc:ball_in_cup.catch.occ,hacssmv7_sharedaction,3,852614.0,0.0,0.8102097871568468,0.0022122088566834414,0.6124766866366068,0.0008270418128697008,0.7551119526227316,0.027578696367035888,1.0322699149449666,0.012758318608977243,0.923192044099172,0.0009412464937700428,0.771327555179596,0.010601533355188658,0.7140807112058004,0.004303911637464749,0.7378751238187155,0.0027070098743526665,1.9622260332107544,0.16441731266112342,0.6997437278429667,0.008276162127911591,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.12386122392283545,0.0018142576471872614,0.08169631120231416,0.001274139564115496,0.16602614124615986,0.002358475617682293,,,0.05264186062746578,0.0007854282738081555,0.11075075894594193,0.0017630428288694072,0.1041481164097786,0.0010815933508645727,0.22790415936046177,0.0036550257496985824,,,2.0,0.0,8.0,0.0,,,,,,,,,0.14831434905529023,0.0018763619216495577,0.09940809736649195,0.0017568968142872864,0.0,0.0,0.6031194726626078,0.0048221463397579755,0.547691802183787,0.0038330494334003805,,,3.6752646764119468,0.03422014835168416,3.6752646764119468,0.03422014835168416,0.9999999403953552,4.8666988666518094e-08
dmc:ball_in_cup.catch.occ,hacssmv8,3,851078.0,0.0,0.8159813279575772,0.006589343487739908,0.6121538281440735,0.0023231471526259013,0.7571903268496195,0.029874827394466983,1.052081863085429,0.03435367247495377,0.9339040120442709,0.012272430436085629,0.7757548093795776,0.008782391553608467,0.7142196893692017,0.004127399493974409,0.7407987515131632,0.008037141801095738,2.033177137374878,0.2440948817080258,0.6994600892066956,0.009736949591331132,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,0.6051287849744161,0.002021771598043385,0.5463513135910034,0.002120918049234507,3.7415331999460855,0.044405510809071076,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv8_dynamic,3,851078.0,0.0,0.8395358016755846,0.02247059803949939,0.6162145535151163,0.002894180237630604,0.7799302538235983,0.024962860597670826,1.0926241079966228,0.02751781433446939,0.9747844338417053,0.04228014711712987,0.7831018368403116,0.005072691613949309,0.718778113524119,0.0020381078026473283,0.752285103003184,0.003565819435984395,1.9178308248519897,0.11174276183351808,0.6942191322644552,0.0028602238047847383,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,3.79254142443339,0.01027697284465721,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv8_levelaction,3,852614.0,0.0,0.8179702999856737,0.014118133020865049,0.6095027923583984,0.0013341096888693494,0.7540869315465292,0.030243922399625502,1.047410249710083,0.014235510758634046,0.9381400545438131,0.027226687866747357,0.7758183677991232,0.008745974128016159,0.7148550152778625,0.002668730719001414,0.7397896647453308,0.0021929509416507417,2.0157412687937417,0.15054102489640858,0.7018930514653524,0.00940665106385573,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,0.6029526988665262,0.0021598339000393147,0.5476517677307129,0.002796222928004917,,,3.617192109425863,0.021257676567077197,3.4259251753489175,0.03347128463903997,0.7313937942186991,0.006198083922783181
dmc:ball_in_cup.catch.occ,hacssmv8_noaction,3,851078.0,0.0,0.89315093782213,0.017616667088205,0.6158225536346436,0.005452830793572724,0.7837637066841125,0.05001031939823413,1.1011440356572468,0.01479555395608875,1.078823447227478,0.0313911483549784,0.7778526941935221,0.00663125607764608,0.717439870039622,0.0024216741798694973,0.7560940782229105,0.001879751952445182,1.8839435974756877,0.04696995127277936,0.7120645642280579,0.008649375405675576,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,0.5997619231541952,0.004396356235365129,0.5599944988886515,0.002932179116588045,0.0,0.0,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv8_redundant,3,852614.0,0.0,0.8170550118552314,0.010433905232218377,0.6108030478159586,0.005594088669769511,0.7567070921262106,0.02511384950684009,1.0538833538691204,0.033866846334366894,0.9367467959721884,0.016469966784956488,0.776703675587972,0.009041477796598233,0.7133521437644958,0.004188342794315033,0.7403836250305176,0.0025791635719270172,1.9092004299163818,0.15116853745395517,0.6940800746281942,0.0038257069180804024,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,0.6055407921473185,0.0004971278015565123,0.546964148680369,0.0015526764102098917,,,3.7598787943522134,0.02389511840440697,3.7598787943522134,0.02389511840440697,1.0,0.0
