env,seed,rank,design,clean_mse_first_post
dmc:ball_in_cup.catch.occ,1,7,hacssmv7_uniform,0.9270510673522949
dmc:ball_in_cup.catch.occ,1,8,hacsmv4_two_noaux,0.9409660696983337
dmc:ball_in_cup.catch.occ,1,9,hacssmv7_single,0.9446540474891663
dmc:ball_in_cup.catch.occ,1,10,hacssmv6,0.9514794945716858
dmc:ball_in_cup.catch.occ,1,11,hacssmv7_noshrink,0.9600748419761658
dmc:ball_in_cup.catch.occ,1,12,ssm,1.0210813283920288
dmc:ball_in_cup.catch.occ,1,13,hacssmv7_noaction,1.097882866859436
dmc:ball_in_cup.catch.occ,2,1,hacssmv6_static,0.9052132368087769
dmc:ball_in_cup.catch.occ,2,2,hacssmv7_sharedaction,0.9223896265029907
dmc:ball_in_cup.catch.occ,2,3,hacssmv7_norecovery,0.9389351606369019
dmc:ball_in_cup.catch.occ,2,4,hacssmv7,0.9499720335006714
dmc:ball_in_cup.catch.occ,2,5,ssm,0.9510732293128967
dmc:ball_in_cup.catch.occ,2,6,hacssmv7_uniform,0.9562536478042603
dmc:ball_in_cup.catch.occ,2,7,hacssmv7_actiononly,0.974007785320282
dmc:ball_in_cup.catch.occ,2,8,hacssmv7_noaux,0.9766353368759155
dmc:ball_in_cup.catch.occ,2,9,hacssmv6,0.9958589673042297
dmc:ball_in_cup.catch.occ,2,10,hacssmv7_single,0.9979290962219238
dmc:ball_in_cup.catch.occ,2,11,hacssmv7_noshrink,1.025647521018982
dmc:ball_in_cup.catch.occ,2,12,hacsmv4_two_noaux,1.0331170558929443
dmc:ball_in_cup.catch.occ,2,13,hacssmv7_noaction,1.1163333654403687
dmc:ball_in_cup.catch.occ,3,1,hacssmv6_static,0.9162638187408447
dmc:ball_in_cup.catch.occ,3,2,hacssmv7_sharedaction,0.9189218282699585
dmc:ball_in_cup.catch.occ,3,3,hacssmv7_actiononly,0.9296296238899231
dmc:ball_in_cup.catch.occ,3,4,hacssmv7_noaux,0.9353548288345337
dmc:ball_in_cup.catch.occ,3,5,hacssmv7,0.95334392786026
dmc:ball_in_cup.catch.occ,3,6,hacssmv7_norecovery,0.9579787254333496
dmc:ball_in_cup.catch.occ,3,7,hacssmv7_uniform,0.9597376585006714
dmc:ball_in_cup.catch.occ,3,8,ssm,0.9609342217445374
dmc:ball_in_cup.catch.occ,3,9,hacssmv6,0.9856672883033752
dmc:ball_in_cup.catch.occ,3,10,hacssmv7_noshrink,0.9866676926612854
dmc:ball_in_cup.catch.occ,3,11,hacsmv4_two_noaux,0.9904065728187561
dmc:ball_in_cup.catch.occ,3,12,hacssmv7_single,0.9943604469299316
dmc:ball_in_cup.catch.occ,3,13,hacssmv7_noaction,1.0400125980377197
dmc:ball_in_cup.catch.occ,4,1,hacssmv6_static,0.8702439665794373
dmc:ball_in_cup.catch.occ,4,2,hacssmv7_sharedaction,0.8912162184715271
dmc:ball_in_cup.catch.occ,4,3,hacssmv7_uniform,0.8949887156486511
dmc:ball_in_cup.catch.occ,4,4,hacssmv7_norecovery,0.9165414571762085
dmc:ball_in_cup.catch.occ,4,5,hacssmv7,0.9219491481781006
dmc:ball_in_cup.catch.occ,4,6,ssm,0.9286673069000244
dmc:ball_in_cup.catch.occ,4,7,hacssmv7_noaux,0.9364471435546875
dmc:ball_in_cup.catch.occ,4,8,hacssmv7_actiononly,0.9411397576332092
dmc:ball_in_cup.catch.occ,4,9,hacssmv6,0.9412087202072144
dmc:ball_in_cup.catch.occ,4,10,hacsmv4_two_noaux,0.9690700173377991
dmc:ball_in_cup.catch.occ,4,11,hacssmv7_noshrink,0.975511908531189
