candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
ssm,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.8172305583953857,0.8308597564697265,0.016004754197054424,0.021518385960857107,3,0,
ssm,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.9775278806686402,0.011795815028593403,0.02975783065568586,3,0,
ssm,hacsmv4_two_noaux,dmc:finger.spin.occ,5,1.2112032890319824,1.1288960218429565,-0.07316608181135034,-0.06232321152096647,0,0,
ssm,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.6528962612152099,0.5639344334602356,-0.15785200582574058,-0.160001748282761,0,0,
ssm,hacsmv4_two_noaux,ogbench:cube-single.occ,5,1.4677053689956665,1.368989682197571,-0.07218278194381322,-0.07156202761297258,0,0,
ssm,hacsmv4_two_noaux,__overall__,25,,,-0.05508006007105126,-0.06232321152096647,6,0,2
ssm,hacssmv6,dmc:reacher.hard.occ,5,0.8172305583953857,0.8306938886642456,0.01583976729670008,0.020648596005355804,3,0,
ssm,hacssmv6,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.9632748603820801,-0.001848403104246481,0.013324795061852862,3,0,
ssm,hacssmv6,dmc:finger.spin.occ,5,1.2112032890319824,1.1288799047470093,-0.07323043980860616,-0.05894671660820777,0,0,
ssm,hacssmv6,dmc:cheetah.run.occ,5,0.6528962612152099,0.5612707734107971,-0.16327618885547282,-0.16555151062858708,0,0,
ssm,hacssmv6,ogbench:cube-single.occ,5,1.4677053689956665,1.3681094646453857,-0.07285003523714136,-0.07267283713086684,0,0,
ssm,hacssmv6,__overall__,25,,,-0.05907305994175335,-0.0640000047606211,6,0,1
ssm,hacssmv6_static,dmc:reacher.hard.occ,5,0.8172305583953857,0.8503227710723877,0.03855209197221564,0.03441508023800159,5,0,
ssm,hacssmv6_static,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.8935149788856507,-0.07961775697723006,-0.06713443880596463,0,0,
ssm,hacssmv6_static,dmc:finger.spin.occ,5,1.2112032890319824,1.1956828117370606,-0.013246207552425542,-0.004130777155874656,1,0,
ssm,hacssmv6_static,dmc:cheetah.run.occ,5,0.6528962612152099,0.5297807931900025,-0.2333913239899425,-0.22860634090580614,0,0,
ssm,hacssmv6_static,ogbench:cube-single.occ,5,1.4677053689956665,1.3645100355148316,-0.07569057935559388,-0.07902327984087441,0,0,
ssm,hacssmv6_static,__overall__,25,,,-0.07267875518059527,-0.05438948779851127,6,0,1
ssm,hacssmv7_noaux,dmc:reacher.hard.occ,5,0.8172305583953857,0.8263182163238525,0.01076313668530745,0.012697288676189548,3,0,
ssm,hacssmv7_noaux,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.937244427204132,-0.029884516225426552,-0.0273472612974864,2,0,
ssm,hacssmv7_noaux,dmc:finger.spin.occ,5,1.2112032890319824,1.146846866607666,-0.05654504571632514,-0.04422149199111419,0,0,
ssm,hacssmv7_noaux,dmc:cheetah.run.occ,5,0.6528962612152099,0.5601337790489197,-0.16610817133554992,-0.162047552404769,0,0,
ssm,hacssmv7_noaux,ogbench:cube-single.occ,5,1.4677053689956665,1.3520869016647339,-0.08550303562840876,-0.08367585625535517,0,0,
ssm,hacssmv7_noaux,__overall__,25,,,-0.06545552644408058,-0.0672396808263753,5,0,1
ssm,hacssmv7_sharedaction,dmc:reacher.hard.occ,5,0.8172305583953857,0.8297623991966248,0.014898898523782976,0.020304503466586337,3,0,
ssm,hacssmv7_sharedaction,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.9159428358078003,-0.05286061407257652,-0.04202244938128201,0,0,
ssm,hacssmv7_sharedaction,dmc:finger.spin.occ,5,1.2112032890319824,1.1428596019744872,-0.060161728952613486,-0.04897575489324658,0,0,
ssm,hacssmv7_sharedaction,dmc:cheetah.run.occ,5,0.6528962612152099,0.5548632621765137,-0.17693418972822325,-0.16978785807587507,0,0,
ssm,hacssmv7_sharedaction,ogbench:cube-single.occ,5,1.4677053689956665,1.3487624406814576,-0.08815320770965289,-0.08922496978439705,0,0,
ssm,hacssmv7_sharedaction,__overall__,25,,,-0.07264216838785664,-0.0587129272827857,3,0,1
ssm,hacssmv7_noshrink,dmc:reacher.hard.occ,5,0.8172305583953857,0.8294791579246521,0.014383420700554315,0.022370455177074325,3,0,
ssm,hacssmv7_noshrink,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.977363896369934,0.012053377353899077,0.026081193402956723,3,0,
ssm,hacssmv7_noshrink,dmc:finger.spin.occ,5,1.2112032890319824,1.13171489238739,-0.07046443580662898,-0.05606475453061775,0,0,
ssm,hacssmv7_noshrink,dmc:cheetah.run.occ,5,0.6528962612152099,0.5610401868820191,-0.16382873788878624,-0.1596751696474324,0,0,
ssm,hacssmv7_noshrink,ogbench:cube-single.occ,5,1.4677053689956665,1.3612126588821412,-0.0783560413620381,-0.07535671733776114,0,0,
ssm,hacssmv7_noshrink,__overall__,25,,,-0.05724248340059998,-0.06354346947607814,6,0,2
ssm,hacssmv7_actiononly,dmc:reacher.hard.occ,5,0.8172305583953857,0.8274810791015625,0.01217539265400594,0.012584690047853819,3,0,
ssm,hacssmv7_actiononly,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.9442235827445984,-0.022112077093948346,-0.008295625140508238,2,0,
ssm,hacssmv7_actiononly,dmc:finger.spin.occ,5,1.2112032890319824,1.1488754272460937,-0.05453526681564686,-0.04637059531157778,0,0,
ssm,hacssmv7_actiononly,dmc:cheetah.run.occ,5,0.6528962612152099,0.5534544587135315,-0.18102534970753423,-0.18040574344849672,0,0,
ssm,hacssmv7_actiononly,ogbench:cube-single.occ,5,1.4677053689956665,1.3465669870376586,-0.0899621298221313,-0.08677888424680343,0,0,
ssm,hacssmv7_actiononly,__overall__,25,,,-0.06709188615705096,-0.053201644446248024,5,0,1
ssm,hacssmv7_uniform,dmc:reacher.hard.occ,5,0.8172305583953857,0.826456093788147,0.01090492606279979,0.010013433931349017,3,0,
ssm,hacssmv7_uniform,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.9393751382827759,-0.027325880930000542,-0.0017404393170202322,1,0,
ssm,hacssmv7_uniform,dmc:finger.spin.occ,5,1.2112032890319824,1.1483026504516602,-0.05538556848648277,-0.04022776371062331,0,0,
ssm,hacssmv7_uniform,dmc:cheetah.run.occ,5,0.6528962612152099,0.5602586746215821,-0.16567220299144872,-0.1611469807030157,0,0,
ssm,hacssmv7_uniform,ogbench:cube-single.occ,5,1.4677053689956665,1.3477153778076172,-0.0890313175000218,-0.08610405215253428,0,0,
ssm,hacssmv7_uniform,__overall__,25,,,-0.0653020087690308,-0.05799770961822371,4,0,1
ssm,hacssmv7_norecovery,dmc:reacher.hard.occ,5,0.8172305583953857,0.8270128250122071,0.01161515508197336,0.013109044797406202,3,0,
ssm,hacssmv7_norecovery,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.9293771982192993,-0.03816899859473908,-0.013230006814066763,0,0,
ssm,hacssmv7_norecovery,dmc:finger.spin.occ,5,1.2112032890319824,1.1403366565704345,-0.0623038084515182,-0.05187419872792223,0,0,
ssm,hacssmv7_norecovery,dmc:cheetah.run.occ,5,0.6528962612152099,0.5600851774215698,-0.16626681503264445,-0.1731636022400561,0,0,
ssm,hacssmv7_norecovery,ogbench:cube-single.occ,5,1.4677053689956665,1.3450101137161254,-0.09120122348004582,-0.09034104916895999,0,0,
ssm,hacssmv7_norecovery,__overall__,25,,,-0.06926513809539483,-0.06157592301900518,3,0,1
ssm,hacssmv7_noaction,dmc:reacher.hard.occ,5,0.8172305583953857,0.8277790188789368,0.012399391692186528,0.01800777193321003,3,0,
ssm,hacssmv7_noaction,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,1.0861770868301392,0.11121865383352902,0.0927796484826348,5,0,
ssm,hacssmv7_noaction,dmc:finger.spin.occ,5,1.2112032890319824,1.3313849925994874,0.09018720903043671,0.09873120036323489,5,0,
ssm,hacssmv7_noaction,dmc:cheetah.run.occ,5,0.6528962612152099,0.7777333498001099,0.16036760410719014,0.16078702000339332,5,0,
ssm,hacssmv7_noaction,ogbench:cube-single.occ,5,1.4677053689956665,1.6451925754547119,0.10778806999509744,0.10991627916514998,5,0,
ssm,hacssmv7_noaction,__overall__,25,,,0.09639218573168797,0.09873120036323489,23,0,5
ssm,hacssmv7_single,dmc:reacher.hard.occ,5,0.8172305583953857,0.8839340448379517,0.07534251549425977,0.07749336244778497,5,0,
ssm,hacssmv7_single,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.9857503533363342,0.01924652179386577,0.0336158032920528,3,0,
ssm,hacssmv7_single,dmc:finger.spin.occ,5,1.2112032890319824,1.3303433895111083,0.08938071176237772,0.09227055338217362,5,0,
ssm,hacssmv7_single,dmc:cheetah.run.occ,5,0.6528962612152099,0.5957239747047425,-0.09622883223934732,-0.09365043266945533,0,0,
ssm,hacssmv7_single,ogbench:cube-single.occ,5,1.4677053689956665,1.5798784732818603,0.07095101935907248,0.06835201637460775,5,0,
ssm,hacssmv7_single,__overall__,25,,,0.031738387234045685,0.06005736978529797,18,0,4
ssm,hacssmv7,dmc:reacher.hard.occ,5,0.8172305583953857,0.8258150696754456,0.010173521066366749,0.011237183509092086,3,0,
ssm,hacssmv7,dmc:ball_in_cup.catch.occ,5,0.9644538998603821,0.9343978047370911,-0.032792423871475275,-0.007961758251624297,0,0,
ssm,hacssmv7,dmc:finger.spin.occ,5,1.2112032890319824,1.1452091693878175,-0.05802253492768119,-0.04628959924641124,0,0,
ssm,hacssmv7,dmc:cheetah.run.occ,5,0.6528962612152099,0.5540997624397278,-0.1786866450059539,-0.1708129129726345,0,0,
ssm,hacssmv7,ogbench:cube-single.occ,5,1.4677053689956665,1.3518219232559203,-0.08577611400874861,-0.08440295882635056,0,0,
ssm,hacssmv7,__overall__,25,,,-0.06902083934949844,-0.05415812227069688,3,0,1
hacsmv4_two_noaux,ssm,dmc:reacher.hard.occ,5,0.8308597564697265,0.8172305583953857,-0.016952223238128793,-0.021991609910818714,2,0,
hacsmv4_two_noaux,ssm,dmc:ball_in_cup.catch.occ,5,0.9775278806686402,0.9644538998603821,-0.015056339749630726,-0.03067051875903939,2,0,
