metric,candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_pre,hacssmv7,ssm,dmc:reacher.hard.occ,5,0.23944154679775237,0.2549184262752533,0.06070231649913698,0.06081927195686345,5,0,
clean_mse_pre,hacssmv7,ssm,dmc:ball_in_cup.catch.occ,5,0.6120214939117432,0.6107786893844604,-0.002096379508648175,-0.006097329342921392,2,0,
clean_mse_pre,hacssmv7,ssm,dmc:finger.spin.occ,5,0.3596014678478241,0.3767623543739319,0.045513752301148895,0.04575173434151715,5,0,
clean_mse_pre,hacssmv7,ssm,dmc:cheetah.run.occ,5,0.1493321031332016,0.14498772025108336,-0.029992580365336603,-0.02705513432222131,0,0,
clean_mse_pre,hacssmv7,ssm,ogbench:cube-single.occ,5,0.7330040693283081,0.7609373569488526,0.03670261171427157,0.03710957735445011,5,0,
clean_mse_pre,hacssmv7,ssm,__overall__,25,,,0.022165944128114533,0.03710957735445011,17,0,3
clean_mse_blackout_transition,hacssmv7,ssm,dmc:reacher.hard.occ,5,0.4170936465263367,0.5591705441474915,0.25335330109878723,0.24843847070423972,5,0,
clean_mse_blackout_transition,hacssmv7,ssm,dmc:ball_in_cup.catch.occ,5,0.7567189931869507,0.8595417857170105,0.11887327273748136,0.11878719813692781,5,0,
clean_mse_blackout_transition,hacssmv7,ssm,dmc:finger.spin.occ,5,0.7235350489616394,0.7384622454643249,0.020266577572661634,0.028778263818673266,4,0,
clean_mse_blackout_transition,hacssmv7,ssm,dmc:cheetah.run.occ,5,0.4257108807563782,0.42877655625343325,0.007739169423669246,0.017463648440781198,3,0,
clean_mse_blackout_transition,hacssmv7,ssm,ogbench:cube-single.occ,5,0.9699753522872925,1.123131775856018,0.13548613091064476,0.1242458720090276,5,0,
clean_mse_blackout_transition,hacssmv7,ssm,__overall__,25,,,0.10714369034864885,0.10449054526134063,22,0,5
clean_mse_deep_blackout,hacssmv7,ssm,dmc:reacher.hard.occ,5,0.7779529213905334,0.7315108060836792,-0.06359360791103996,-0.07599299593835626,0,0,
clean_mse_deep_blackout,hacssmv7,ssm,dmc:ball_in_cup.catch.occ,5,1.0453264474868775,1.0455742835998536,-0.0014785111802313984,0.005271831901629321,4,0,
clean_mse_deep_blackout,hacssmv7,ssm,dmc:finger.spin.occ,5,1.1474830150604247,1.0544053554534911,-0.08842705960265511,-0.0952989516966,0,0,
clean_mse_deep_blackout,hacssmv7,ssm,dmc:cheetah.run.occ,5,0.6057169795036316,0.650025236606598,0.06824573527802821,0.08946809001847669,4,0,
clean_mse_deep_blackout,hacssmv7,ssm,ogbench:cube-single.occ,5,1.37190682888031,1.4132798671722413,0.028702070836041416,0.03507496076093305,3,0,
clean_mse_deep_blackout,hacssmv7,ssm,__overall__,25,,,-0.011310274515971365,-0.013323949452246598,11,0,3
clean_mse_first_post,hacssmv7,ssm,dmc:reacher.hard.occ,5,0.8258150696754456,0.8172305583953857,-0.010691840203503765,-0.011364892896127042,2,0,
clean_mse_first_post,hacssmv7,ssm,dmc:ball_in_cup.catch.occ,5,0.9343978047370911,0.9644538998603821,0.02996129154584644,0.0078988693632926,5,0,
clean_mse_first_post,hacssmv7,ssm,dmc:finger.spin.occ,5,1.1452091693878175,1.2112032890319824,0.054203833911862224,0.04424167006892859,5,0,
clean_mse_first_post,hacssmv7,ssm,dmc:cheetah.run.occ,5,0.5540997624397278,0.6528962612152099,0.1513670391773737,0.1458925769267006,5,0,
clean_mse_first_post,hacssmv7,ssm,ogbench:cube-single.occ,5,1.3518219232559203,1.4677053689956665,0.07886574686350374,0.07783357481585987,5,0,
clean_mse_first_post,hacssmv7,ssm,__overall__,25,,,0.06074121425901647,0.05137571027203985,22,0,4
clean_mse_recovery,hacssmv7,ssm,dmc:reacher.hard.occ,5,0.25924264192581176,0.2665550708770752,0.02742198456287078,0.023605440452684708,5,0,
clean_mse_recovery,hacssmv7,ssm,dmc:ball_in_cup.catch.occ,5,0.7736517429351807,0.7658972859382629,-0.01056823905282407,-0.006676544888598019,1,0,
clean_mse_recovery,hacssmv7,ssm,dmc:finger.spin.occ,5,0.37828861474990844,0.3935206294059753,0.038667357534427044,0.03766172529690186,5,0,
clean_mse_recovery,hacssmv7,ssm,dmc:cheetah.run.occ,5,0.18237332999706268,0.18383752405643464,0.0076203165104272285,-0.011830659129316114,2,0,
clean_mse_recovery,hacssmv7,ssm,ogbench:cube-single.occ,5,0.7236898899078369,0.7527808547019958,0.03861155862805199,0.04023016388375242,5,0,
clean_mse_recovery,hacssmv7,ssm,__overall__,25,,,0.020350595636590595,0.028648175252024486,18,0,4
clean_mse_late_post,hacssmv7,ssm,dmc:reacher.hard.occ,5,0.2578652918338776,0.27589906454086305,0.0653623130057213,0.06498224761468306,5,0,
clean_mse_late_post,hacssmv7,ssm,dmc:ball_in_cup.catch.occ,5,0.7138774514198303,0.7195287466049194,0.00785231481404926,0.0042690706643932165,5,0,
clean_mse_late_post,hacssmv7,ssm,dmc:finger.spin.occ,5,0.3607757091522217,0.38162378668785096,0.05458150607599219,0.05370750747902015,5,0,
clean_mse_late_post,hacssmv7,ssm,dmc:cheetah.run.occ,5,0.17210837602615356,0.16949962675571442,-0.01542084115222615,-0.0116226154302384,0,0,
clean_mse_late_post,hacssmv7,ssm,ogbench:cube-single.occ,5,0.6777803063392639,0.7089087724685669,0.043908859864414666,0.04354141314956234,5,0,
clean_mse_late_post,hacssmv7,ssm,__overall__,25,,,0.03125683052159025,0.04354141314956234,20,0,4
clean_mse_all,hacssmv7,ssm,dmc:reacher.hard.occ,5,0.343371719121933,0.3652931571006775,0.05994581886539535,0.058357831099642904,5,0,
clean_mse_all,hacssmv7,ssm,dmc:ball_in_cup.catch.occ,5,0.7397377371788025,0.7531352400779724,0.01769391780765656,0.02232461908372787,4,0,
clean_mse_all,hacssmv7,ssm,dmc:finger.spin.occ,5,0.5076598525047302,0.5163894057273865,0.016843656486432854,0.018082875218195224,5,0,
clean_mse_all,hacssmv7,ssm,dmc:cheetah.run.occ,5,0.25158150792121886,0.2577719271183014,0.024112834474829266,0.030085015084283996,4,0,
clean_mse_all,hacssmv7,ssm,ogbench:cube-single.occ,5,0.8195524454116822,0.8663750767707825,0.053954533770788494,0.053121700339779955,5,0,
clean_mse_all,hacssmv7,ssm,__overall__,25,,,0.03451015228102051,0.03069988465459955,23,0,5
clean_mse_pre,hacssmv7,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.23944154679775237,0.2383594572544098,-0.004542638860189796,-0.004890021615864477,0,0,
clean_mse_pre,hacssmv7,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,0.6120214939117432,0.6166149497032165,0.007437095707419308,0.005141489300262455,4,0,
clean_mse_pre,hacssmv7,hacsmv4_two_noaux,dmc:finger.spin.occ,5,0.3596014678478241,0.3472070813179016,-0.0357057816093344,-0.034720951356250494,0,0,
clean_mse_pre,hacssmv7,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.1493321031332016,0.14730761647224427,-0.013769904091377553,-0.01583613124024231,0,0,
clean_mse_pre,hacssmv7,hacsmv4_two_noaux,ogbench:cube-single.occ,5,0.7330040693283081,0.7215077877044678,-0.01593366884087712,-0.01509206639414081,0,0,
clean_mse_pre,hacssmv7,hacsmv4_two_noaux,__overall__,25,,,-0.012502979538871913,-0.014166281216520195,4,0,1
clean_mse_blackout_transition,hacssmv7,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.4170936465263367,0.4129375159740448,-0.010099422835309287,-0.011129850725230114,0,0,
clean_mse_blackout_transition,hacssmv7,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,0.7567189931869507,0.7901272892951965,0.04227560740323702,0.04196308193312732,5,0,
