run,env,design,seed,rho_fast_learned,rho_medium_learned,rho_fast_functional,rho_medium_functional,static_gate_fast,static_gate_medium,route_fast_learned,route_medium_learned,route_fast_functional,route_medium_functional,action_head_fast_l2,action_head_medium_l2,action_head_fast_d_l2,action_head_fast_v_l2,action_head_medium_d_l2,action_head_medium_v_l2,action_head_cosine,infl_all,infl_fast,infl_slow,student_teacher_memory_total_l2,student_memory_total_delta_l2_vs_noaux,teacher_memory_total_delta_l2_vs_noaux,student_teacher_action_l2,student_action_delta_l2_vs_noaux,teacher_action_delta_l2_vs_noaux,student_teacher_gate_l2,student_gate_delta_l2_vs_noaux,teacher_gate_delta_l2_vs_noaux,student_teacher_shrink_l2,student_shrink_delta_l2_vs_noaux,teacher_shrink_delta_l2_vs_noaux,student_teacher_route_l2,student_route_delta_l2_vs_noaux,teacher_route_delta_l2_vs_noaux,student_teacher_input_l2,student_input_delta_l2_vs_noaux,teacher_input_delta_l2_vs_noaux,student_teacher_output_l2,student_output_delta_l2_vs_noaux,teacher_output_delta_l2_vs_noaux,predictor_delta_l2_vs_noaux,active_aux_epochs,active_train_hier_loss_mean,active_train_hier_loss_fast_mean,active_train_hier_loss_medium_mean,active_train_hier_loss_bridge_mean,active_train_hier_loss_recovery_mean,active_weighted_aux_term_mean,final_val_hier_loss,final_val_bridge,final_val_recovery
lewm-dmc:reacher.hard.occ-hacssmv7_noaux-s0,dmc:reacher.hard.occ,hacssmv7_noaux,0,0.6357157901956929,0.5513167390643251,0.6357157901956929,0.5513167390643251,0.8395445824822231,0.8951256637169028,0.6198171616109415,0.3801828383890585,0.6198171616109415,0.3801828383890585,3.2712473793180226,3.2509637417347803,3.092761362206042,1.0657797958023298,3.1533223635963576,0.7907738749587528,0.7873403064228552,2.211804151535034,0.458255410194397,0.2320951372385025,0.22472479630195,0.0,0.0,0.12360623199481353,0.0,0.0,0.07358739937442275,0.0,0.0,0.011206419543585928,0.0,0.0,0.01226498579776123,0.0,0.0,0.043547774264488276,0.0,0.0,0.16623840043536714,0.0,0.0,0.0,0,,,,,,0.0,0.050489345143238704,0.06326035539309184,0.03771833966175715
lewm-dmc:reacher.hard.occ-hacssmv7_sharedaction-s0,dmc:reacher.hard.occ,hacssmv7_sharedaction,0,0.6407333320688072,0.5479382361249491,0.6407333320688072,0.5479382361249491,0.8332090910254156,0.8972684531202196,0.6316694156307763,0.36833058436922383,0.6316694156307763,0.36833058436922383,3.3170138242650165,3.3170138242650165,3.1938150494946704,0.8956149507386418,3.1938150494946704,0.8956149507386418,1.0,2.2359485626220703,0.45478710532188416,0.22842295467853546,0.22608512756656868,1.8406530648444255,1.8070377579393515,0.1218498046012106,1.647858202998614,1.6190919086474616,0.07685452357941147,0.7376514241140661,0.7231549551888589,0.01180865023115603,0.025661784636151937,0.024680463367965273,0.013042342271696159,0.035788848899055876,0.03501149242512095,0.043523312809619824,0.11502992907042356,0.11244083965726281,0.16779948319551596,0.3365503988345088,0.32633707797287764,2.6456322421226335,99,0.05410109688637634,0.0359046582538137,0.07229753554402511,0.06779146979653876,0.0404107239134986,0.0008486546751859125,0.04681255300839742,0.058977049340804416,0.03464805771907171
lewm-dmc:reacher.hard.occ-hacssmv7_noshrink-s0,dmc:reacher.hard.occ,hacssmv7_noshrink,0,0.5,0.5,1.0,1.0,0.8480995866146814,0.8951563674589104,0.6456048590910466,0.35439514090895347,0.6456048590910466,0.35439514090895347,3.246534253664289,2.891809175598427,3.060186676872463,1.084085865099168,2.801180652573082,0.7182946886379515,0.8064573961768318,2.2262251377105713,0.49345311522483826,0.22960488498210907,0.1855737080645195,1.6373577475789187,1.5815837112055517,0.10004890578794658,0.7048301430510349,0.6850879376618544,0.022206370874899625,1.2415899266192605,1.1909228373081817,0.0,0.5936987886156995,0.5824966002936859,0.012578600497530791,0.07849089784538392,0.07817728314561435,0.047063922728253535,0.2369875126448415,0.2300547555381808,0.14683821251625548,0.4772914867489621,0.46413918311140184,3.7990015753082407,99,0.05659556627173215,0.03610034726610288,0.07709078536307236,0.06955009393235115,0.04364103883897884,0.0008680990025821408,0.04949171091119448,0.05921417315800985,0.03976924866437912
lewm-dmc:reacher.hard.occ-hacssmv7_actiononly-s0,dmc:reacher.hard.occ,hacssmv7_actiononly,0,0.6350923569378567,0.5543568971786452,0.6350923569378567,0.5543568971786452,0.839096314443159,0.8948193563289708,0.6166747535001575,0.38332524649984234,0.6166747535001575,0.38332524649984234,3.26530283506515,3.2232084638344447,3.1036872258615995,1.014558134710884,3.1354697431039273,0.7469285718285164,0.7784141373494409,2.2168686389923096,0.4584187865257263,0.23507177829742432,0.22802072470032378,0.8487488201102468,0.8352067870698866,0.12496104628254073,0.4914267248395303,0.4891464204732422,0.07508789222242795,0.6474903295033424,0.6340458372813853,0.011258847513594966,0.012588996774724642,0.012455840327768886,0.011721249305122184,0.009414657653242231,0.008870921160603187,0.043847526002105106,0.06774855508368693,0.06649492858163318,0.1689770439358971,0.23408037426754214,0.2272369160246178,2.078478131426917,99,0.051470218922453695,0.029701868086785713,0.07323856973721657,0.05147021918167704,0.0,0.0007479810813665058,0.051810986797014874,0.05181099052230517,0.0
lewm-dmc:reacher.hard.occ-hacssmv7_uniform-s0,dmc:reacher.hard.occ,hacssmv7_uniform,0,0.6326207048439686,0.554536723397481,0.6326207048439686,0.554536723397481,0.8388565656611833,0.8941939967306982,0.6142729013108967,0.3857270986891033,0.6142729013108967,0.3857270986891033,3.220181348885855,3.30008043585771,3.0160643749144085,1.1282391617403118,3.211259625545187,0.7604883302682518,0.7594786989811835,2.212759494781494,0.4599984288215637,0.2374807596206665,0.2269709480366967,0.6092698227640686,0.6020201298402068,0.12699212640661334,0.42881033334083823,0.4279421782049902,0.07360887482552003,0.36384029606197377,0.35671419146375666,0.0110682243927164,0.018645579543997846,0.018205086000420468,0.011523854540121413,0.01659089618207088,0.015849764924431065,0.043725601030295866,0.06791234178433059,0.06661533579357598,0.16674325062860726,0.22297231279539287,0.21686048807243086,1.982257663877544,99,0.06824864592198303,0.08922151666381276,0.04727577508817083,0.09689895294431082,0.03959833851918227,0.001052273274525212,0.0645332736770312,0.09266668140888214,0.03639986326297124
lewm-dmc:reacher.hard.occ-hacssmv7_norecovery-s0,dmc:reacher.hard.occ,hacssmv7_norecovery,0,0.6349989181496508,0.5544983452744011,0.6349989181496508,0.5544983452744011,0.8378650181994204,0.8944427231951514,0.6182604426005811,0.381739557399419,0.6182604426005811,0.381739557399419,3.3638206475360204,3.224551698484655,3.1932423908869287,1.0575880019328823,3.1386842972253093,0.7391850502760015,0.7851267650755123,2.219525098800659,0.4577365219593048,0.2328549027442932,0.22857787145055875,0.5864420318041484,0.5791378354789917,0.1256399015245872,0.404448838470928,0.4018988181251118,0.07660811188797292,0.35368995279900844,0.34854327889631387,0.011505669061533273,0.013237305170573603,0.013022537527743934,0.011828344447188367,0.004667637032035981,0.004230995681463119,0.043447009977118756,0.06520784228879703,0.0642945568661464,0.16862301985747172,0.22536578097734342,0.2192584715772782,2.04652572165976,99,0.06872493868607998,0.04904073982904054,0.08840913772081285,0.06872493890349311,0.0,0.001059314794278587,0.06257601966460546,0.06257601966460546,0.0
lewm-dmc:reacher.hard.occ-hacssmv7_noaction-s0,dmc:reacher.hard.occ,hacssmv7_noaction,0,0.6435905306293864,0.575570766198764,0.6435905306293864,0.575570766198764,0.8337288356545041,0.8947046807357306,0.5862212080167524,0.4137787919832476,0.5862212080167524,0.4137787919832476,0.0,0.0,0.0,0.0,0.0,0.0,,2.1771113872528076,0.4124893844127655,0.25127145648002625,0.19697669277112748,4.80953329824245,4.715668059333935,0.0,4.611922014385027,4.525833373566293,0.08631417072558438,1.0482345860200735,1.0279226112727717,0.01337707939050791,0.10437469131028118,0.10198774428774941,0.008408949554075278,0.09928242290456582,0.09542638666087987,0.04625017770435458,0.3117811538203593,0.2983024899792361,0.1701791579591887,0.8031385741224931,0.7676200590045403,4.356409714391896,99,0.05362718429010859,0.03584953092925008,0.07140483787047074,0.06745210714328838,0.03980226152891128,0.000847147843076289,0.042562933216492335,0.05349987283349037,0.03162599623203278
lewm-dmc:reacher.hard.occ-hacssmv7_single-s0,dmc:reacher.hard.occ,hacssmv7_single,0,0.5366642457670366,0.5950429314589447,0.5366642457670366,0.5950429314589447,0.8763638258858054,0.8991476919350173,0.5,0.5,0.0,1.0,1.9901222544161625,3.085949512548035,0.7824363782599297,1.8298578910663947,2.9382252034112315,0.9433541477273918,-0.24522174289778403,2.1688685417175293,0.0,2.1688685417175293,0.18760044471140522,4.855693168495643,4.779560486102544,0.07697905950443382,4.1951472523430695,4.132800675545852,0.06209795555367441,1.8098636780484663,1.787050466458531,0.005943089759753271,0.44722047016128325,0.4365627888814604,0.0,0.3456141676658524,0.33334918186809115,0.04712261813050899,0.6742585922880174,0.6682422291456828,0.15217139584829162,1.3888157521851734,1.3499448967825367,8.359898332701711,99,0.05685494904950947,0.03464564800003228,0.0790642502223268,0.07222269089133651,0.04148720763832765,0.0008665256654369314,0.057880853017171226,0.07353837152322133,0.04222333187858263
lewm-dmc:reacher.hard.occ-hacssmv7-s0,dmc:reacher.hard.occ,hacssmv7,0,0.6364878459916334,0.555624522071505,0.6364878459916334,0.555624522071505,0.8370252341888339,0.8944051251309322,0.6173808900149608,0.38261910998503923,0.6173808900149608,0.38261910998503923,3.334504410411377,3.232250001618762,3.1592034458180294,1.0669363856315033,3.1455872308427515,0.7434521142101275,0.7846516669184794,2.22202205657959,0.45817404985427856,0.23412148654460907,0.22792879267699248,0.5749664528743905,0.5669795979961157,0.1251521250021901,0.38190777107155865,0.37952173071101836,0.07469056342907358,0.3535509626296584,0.3474254919956961,0.011354776414773445,0.017746831363549972,0.017562363998476428,0.01224827457232666,0.007301646476572814,0.007284935251138245,0.04354505575448417,0.06842061128645813,0.0674223658959158,0.1689221028024024,0.233848132419797,0.22763428045807996,2.086290260564687,99,0.05480904345359867,0.0355228441908504,0.07409524276651919,0.06879255016711693,0.04082553717072564,0.0008536051653624528,0.05010627677043279,0.06268767009178798,0.03752488394578298
lewm-dmc:reacher.hard.occ-hacssmv7_noaux-s1,dmc:reacher.hard.occ,hacssmv7_noaux,1,0.6349847025163632,0.5471765693344609,0.6349847025163632,0.5471765693344609,0.8396704100246334,0.8955661226792733,0.6222910045752617,0.37770899542473835,0.6222910045752617,0.37770899542473835,3.3767232535554847,3.431909780065168,3.199772331546947,1.0787571354892442,3.3398078577323638,0.7897393316380464,0.7839690397589838,2.283811569213867,0.47051531076431274,0.2365127056837082,0.23066694728213016,0.0,0.0,0.13163496536132518,0.0,0.0,0.07245559131963973,0.0,0.0,0.01073619138999192,0.0,0.0,0.011637060975221674,0.0,0.0,0.04384405164818614,0.0,0.0,0.1686910664222285,0.0,0.0,0.0,0,,,,,,0.0,0.05254057198762894,0.06558820645014445,0.0394929460187753
