run_name,env,seed,episode,condition,rho_fast,rho_medium,mse_pre,mse_blackout_transition,mse_deep_blackout,mse_first_post,mse_recovery,mse_late_post,mse_all
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,0,learned,0.6077926158905029,0.5542831420898438,0.48598029358046396,0.7549404700597128,1.0461344321568806,1.2481085062026978,0.5509593188762665,0.43817269802093506,0.5810813441358763
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,1,learned,0.6077926158905029,0.5542831420898438,0.6870415891919818,1.1559863686561584,1.3401817480723064,2.325986623764038,0.5431161224842072,0.7445145570314847,0.875472537402449
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,2,learned,0.6077926158905029,0.5542831420898438,0.5059960058757237,0.8214840491612753,0.4599621792634328,0.5417042374610901,0.4715769439935684,0.4690325833283938,0.5161583598317772
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,3,learned,0.6077926158905029,0.5542831420898438,0.7063467247145516,0.9331686496734619,0.3932630717754364,0.3669377267360687,0.9060504734516144,0.8028991543329679,0.7427741350798771
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,4,learned,0.6077926158905029,0.5542831420898438,0.3826184038605009,0.7198545138041178,1.4154436588287354,2.4723334312438965,0.9106538370251656,0.7538507328583643,0.7992387578405183
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,5,learned,0.6077926158905029,0.5542831420898438,0.39598049436296734,0.8971009453137716,0.5257176955540975,0.40148574113845825,1.2465625703334808,0.5609091119124339,0.5940258179245324
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,6,learned,0.6077926158905029,0.5542831420898438,0.42822313734463285,0.4275104304154714,1.0937865575154622,0.34511375427246094,0.5105236917734146,0.7941639125347137,0.6638532733095104
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,7,learned,0.6077926158905029,0.5542831420898438,0.35054671338626314,0.46897387504577637,0.6685111473004023,0.33450716733932495,0.8650987446308136,0.5666841165377543,0.5275131114597978
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,8,learned,0.6077926158905029,0.5542831420898438,0.7537030151912144,0.5205446730057398,1.025246520837148,0.5987418293952942,0.3171500414609909,0.7041575175065261,0.7000132526816993
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,9,learned,0.6077926158905029,0.5542831420898438,0.3144696376153401,0.5929588476816813,1.1030665636062622,0.6556364893913269,1.1796655058860779,0.8461795965066323,0.7346436535489971
