run_name,env,seed,condition,rho_fast,rho_medium,episodes,length,history_len,checkpoint_sha256,val_feature_sha256,native_recurrence_max_abs,static_gate_fast,static_gate_medium,route_fast,route_medium,action_head_fast_norm,action_head_medium_norm,action_head_cosine,mse_pre,mse_blackout_transition,mse_deep_blackout,mse_first_post,mse_recovery,mse_late_post,mse_all
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,learned,0.6077926158905029,0.5542831420898438,150,32,3,a680fed8f00680ae9fd6980d0068bbefc468edcd1b561318154020d00b38a16c,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8425880074501038,0.8657308220863342,0.4862082898616791,0.5137916803359985,3.655268430709839,3.4687917232513428,0.6854745745658875,0.6026038217118809,0.7828424571288957,1.0440865190823874,0.9385449233651161,0.7633006013929844,0.7100568331281344,0.7377551254287533
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,rho00,0.0,0.0,150,32,3,a680fed8f00680ae9fd6980d0068bbefc468edcd1b561318154020d00b38a16c,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8425880074501038,0.8657308220863342,0.4862082898616791,0.5137916803359985,3.655268430709839,3.4687917232513428,0.6854745745658875,0.602588490772815,0.7896579258309471,1.2590885325935153,1.4127443200349807,0.7865635935465495,0.7133464167133355,0.7801287494856736
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,rho11,1.0,1.0,150,32,3,a680fed8f00680ae9fd6980d0068bbefc468edcd1b561318154020d00b38a16c,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8425880074501038,0.8657308220863342,0.4862082898616791,0.5137916803359985,3.655268430709839,3.4687917232513428,0.6854745745658875,0.6026201890479951,0.7817707357141707,1.1024586536486944,1.1909677321712175,0.7797935257852078,0.7145301504394947,0.7555336631337801
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,rho01,0.0,1.0,150,32,3,a680fed8f00680ae9fd6980d0068bbefc468edcd1b561318154020d00b38a16c,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8425880074501038,0.8657308220863342,0.4862082898616791,0.5137916803359985,3.655268430709839,3.4687917232513428,0.6854745745658875,0.6026237830164887,0.7847722585333718,1.0502793665064705,0.9348063581188519,0.7641406412919363,0.7125533471810512,0.7396483624238392
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,rho10,1.0,0.0,150,32,3,a680fed8f00680ae9fd6980d0068bbefc468edcd1b561318154020d00b38a16c,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8425880074501038,0.8657308220863342,0.4862082898616791,0.5137916803359985,3.655268430709839,3.4687917232513428,0.6854745745658875,0.6025803014919872,0.7821995598077774,1.0616251141164037,1.0066196388999622,0.769856007595857,0.7086538716462942,0.7416678661279295
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s1,dmc:ball_in_cup.catch.occ,1,learned,0.6003842949867249,0.550183117389679,150,32,3,2209f40915cdd22a1e42273f1b8579a8593466563cbc99d56bc68c4a0f07ec05,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8443381786346436,0.8664736747741699,0.483975887298584,0.5160240530967712,3.6562092304229736,3.4857141971588135,0.6948409676551819,0.6148821813435782,0.7467073469029533,1.02053378853533,0.9090979705254237,0.7842936470607916,0.7164913288981487,0.7378610764152702
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s1,dmc:ball_in_cup.catch.occ,1,rho00,0.0,0.0,150,32,3,2209f40915cdd22a1e42273f1b8579a8593466563cbc99d56bc68c4a0f07ec05,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8443381786346436,0.8664736747741699,0.483975887298584,0.5160240530967712,3.6562092304229736,3.4857141971588135,0.6948409676551819,0.6148624271438236,0.7584370235933198,1.339280064702034,1.5044246678551039,0.8143127106130124,0.7209587479478273,0.7966448988722659
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s1,dmc:ball_in_cup.catch.occ,1,rho11,1.0,1.0,150,32,3,2209f40915cdd22a1e42273f1b8579a8593466563cbc99d56bc68c4a0f07ec05,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8443381786346436,0.8664736747741699,0.483975887298584,0.5160240530967712,3.6562092304229736,3.4857141971588135,0.6948409676551819,0.614900456681138,0.7435640306605233,1.0283079740405083,1.070735700329145,0.7857936106622219,0.717175477941831,0.7443283912333949
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s1,dmc:ball_in_cup.catch.occ,1,rho01,0.0,1.0,150,32,3,2209f40915cdd22a1e42273f1b8579a8593466563cbc99d56bc68c4a0f07ec05,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8443381786346436,0.8664736747741699,0.483975887298584,0.5160240530967712,3.6562092304229736,3.4857141971588135,0.6948409676551819,0.6148923047099795,0.7514202272891999,1.0701127749681474,0.9503998230894407,0.7827518697082997,0.7179550672265199,0.7454539509031964
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s1,dmc:ball_in_cup.catch.occ,1,rho10,1.0,0.0,150,32,3,2209f40915cdd22a1e42273f1b8579a8593466563cbc99d56bc68c4a0f07ec05,5c2ec44a40de88d7c8e7b434085e803367786348b0e7e6dc0e46445942b267d4,0.0,0.8443381786346436,0.8664736747741699,0.483975887298584,0.5160240530967712,3.6562092304229736,3.4857141971588135,0.6948409676551819,0.6148668864724182,0.7448497032456928,1.0101358142826293,0.9117398261030515,0.787258049249649,0.7154446198466496,0.736415887603472
