task,seed,design,heldout_prior_state_nmse,clean_prior_state_nmse,val_predictive_loss,deep_prior_state_nmse,encoder_mean_channel_variance,encoder_covariance_effective_rank,predictive_loss_convergence_relative_change,initial_encoder_integrator_probe_nmse
acrobot.swingup,18001,vicreg_none,0.6921789125143711,0.4223548413573522,0.07656270662943522,0.684094680722165,0.3073034788673724,72.17791316907129,-0.03257970434627075,0.49622015304593514
acrobot.swingup,18001,vicreg_gru,0.6474238626440796,0.46442688413310373,0.06037806744376818,0.6344890536313492,0.35334738053098697,71.16009956536172,0.014260752698716976,0.44059842660711934
acrobot.swingup,18001,vicreg_ssm,0.4664813770594246,0.38065399879317013,0.06698768188556035,0.4554032007271105,0.3561427492021273,72.84922666394164,-0.0009997655870639562,0.4272227736004875
acrobot.swingup,18001,vicreg_hacssmv8,0.6227442158639367,0.3393753212999809,0.05392310097813606,0.608474705742527,0.3325642688170174,69.60063789181271,0.015416653279577888,0.42296703378584494
acrobot.swingup,18001,vicreg_hacssmv8_static,0.8123130345503583,0.3255960840648637,0.05685543542106946,0.7941057783690114,0.3326631578913866,70.35185023031603,0.02341766649908897,0.42110332049321003
acrobot.swingup,18001,vicreg_hacssmv8_dynamic,0.5917780044534864,0.33721728884461155,0.054205931971470514,0.5780062452115885,0.33876024207237926,70.44534630085997,0.023208394755221382,0.4003376192196486
acrobot.swingup,18001,vicreg_hacssmv8_noaction,0.9272941225362268,0.3371172993006442,0.05374359314640363,0.9108817365318855,0.32878007073694904,70.0714757907484,0.03262855006947512,0.4422524513992322
acrobot.swingup,18001,vicreg_hacssmv8_single,0.5739477890493903,0.31646077176662757,0.05615471849838893,0.551937401969823,0.3338213563303408,70.2815840356486,0.00800025650485653,0.43621263420684375
acrobot.swingup,18002,vicreg_none,0.749614623549366,0.41176526262909435,0.0901763086517652,0.7408770632855718,0.3666477118712748,75.0098825145858,-0.04765464251418976,0.44561723279880705
acrobot.swingup,18002,vicreg_gru,0.7129695465726049,0.4831046226824788,0.06544247766335805,0.7023839894156115,0.3829125289660986,72.47731466620573,0.0011095995263185638,0.40024176495810326
acrobot.swingup,18002,vicreg_ssm,0.4424880879572577,0.34676812778170635,0.07308332671721776,0.4315147571295419,0.3810878143632962,73.62015664730123,-0.00976943702792812,0.43669011589703866
acrobot.swingup,18002,vicreg_hacssmv8,0.5131953942054497,0.3217803858267663,0.06311566730340322,0.4987182527809114,0.37990203332816264,73.0856957253278,0.0012447404298698331,0.3963842448937063
acrobot.swingup,18002,vicreg_hacssmv8_static,0.51947629730336,0.3198626300315649,0.0667112613717715,0.5047378689696391,0.3773461943655792,73.51036780012959,0.004411570418329988,0.39505687028816694
acrobot.swingup,18002,vicreg_hacssmv8_dynamic,0.5060269634643754,0.3161712597753373,0.06113386452198029,0.49279704581170314,0.37887318509014567,73.14009404526483,0.0023708926798982123,0.39439287420524655
acrobot.swingup,18002,vicreg_hacssmv8_noaction,0.5132701265701417,0.30759161879373675,0.06325166101257006,0.49873403276598244,0.3797232141171871,73.29475935714679,0.004070541356861644,0.390072422095221
acrobot.swingup,18002,vicreg_hacssmv8_single,0.4386875434903941,0.29476362418822466,0.0666548063357671,0.42345307149608014,0.38336780103044044,72.97358727770442,-0.007819327490131959,0.3863025462987136
acrobot.swingup,18003,vicreg_none,0.7188887858980324,0.4208656823671018,0.08812631368637085,0.7097048221094194,0.3544073079449383,74.21171917215025,-0.04427709716559198,0.45408472356671525
acrobot.swingup,18003,vicreg_gru,0.6405743638625587,0.46138829868210196,0.07157611300547918,0.6302004550769208,0.3793810978876362,72.6564641612821,-0.024718651697804735,0.4137133533848572
