candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
hacsmv4_two_noaux,hacssmv5_noaux,dmc:cheetah.run.occ,5,0.5639344334602356,0.5908357620239257,0.045003226537994885,5,0,
hacsmv4_two_noaux,hacssmv5_noaux,ogbench:cube-single.occ,5,1.368989682197571,1.5606716871261597,0.1227932519918748,5,0,
hacsmv4_two_noaux,hacssmv5_noaux,__overall__,25,0.974041554927826,1.0580646896362305,0.06643499924844029,20,0,4
hacsmv4_two_noaux,hacssmv5_noaction,dmc:reacher.hard.occ,5,0.8308597564697265,0.8241735935211182,-0.00807026175073694,1,0,
hacsmv4_two_noaux,hacssmv5_noaction,dmc:ball_in_cup.catch.occ,5,0.9775278806686402,1.1978230237960816,0.18347441505910198,5,0,
hacsmv4_two_noaux,hacssmv5_noaction,dmc:finger.spin.occ,5,1.1288960218429565,1.3894088983535766,0.1871858391811746,5,0,
hacsmv4_two_noaux,hacssmv5_noaction,dmc:cheetah.run.occ,5,0.5639344334602356,0.8068104982376099,0.3004486287300545,5,0,
hacsmv4_two_noaux,hacssmv5_noaction,ogbench:cube-single.occ,5,1.368989682197571,1.7675956964492798,0.22550505148018482,5,0,
hacsmv4_two_noaux,hacssmv5_noaction,__overall__,25,0.974041554927826,1.1971623420715332,0.17770873453995578,21,0,4
hacsmv4_two_noaux,hacssmv5_static,dmc:reacher.hard.occ,5,0.8308597564697265,0.8417529821395874,0.01297929376633637,5,0,
hacsmv4_two_noaux,hacssmv5_static,dmc:ball_in_cup.catch.occ,5,0.9775278806686402,1.0475677251815796,0.06629229092656723,4,0,
hacsmv4_two_noaux,hacssmv5_static,dmc:finger.spin.occ,5,1.1288960218429565,1.364289355278015,0.17230339178442863,5,0,
hacsmv4_two_noaux,hacssmv5_static,dmc:cheetah.run.occ,5,0.5639344334602356,0.5981300115585327,0.0570217819248296,5,0,
hacsmv4_two_noaux,hacssmv5_static,ogbench:cube-single.occ,5,1.368989682197571,1.6499193906784058,0.17019214410272357,5,0,
hacsmv4_two_noaux,hacssmv5_static,__overall__,25,0.974041554927826,1.1003318929672241,0.09575778050097708,24,0,5
hacsmv4_two_noaux,hacssmv5_single,dmc:reacher.hard.occ,5,0.8308597564697265,0.8615310430526734,0.035665889490864244,5,0,
hacsmv4_two_noaux,hacssmv5_single,dmc:ball_in_cup.catch.occ,5,0.9775278806686402,1.1727145433425903,0.16584445573856366,5,0,
hacsmv4_two_noaux,hacssmv5_single,dmc:finger.spin.occ,5,1.1288960218429565,1.4943480730056762,0.24443982785458615,5,0,
hacsmv4_two_noaux,hacssmv5_single,dmc:cheetah.run.occ,5,0.5639344334602356,0.6933794975280761,0.18619561255887163,5,0,
hacsmv4_two_noaux,hacssmv5_single,ogbench:cube-single.occ,5,1.368989682197571,1.825635838508606,0.25013461068084974,5,0,
hacsmv4_two_noaux,hacssmv5_single,__overall__,25,0.974041554927826,1.2095217990875244,0.17645607926474707,25,0,5
hacsmv4_two_noaux,hacssmv5,dmc:reacher.hard.occ,5,0.8308597564697265,0.8201306700706482,-0.013091555208159168,1,0,
hacsmv4_two_noaux,hacssmv5,dmc:ball_in_cup.catch.occ,5,0.9775278806686402,1.0575377941131592,0.0752298984480856,5,0,
hacsmv4_two_noaux,hacssmv5,dmc:finger.spin.occ,5,1.1288960218429565,1.274392580986023,0.11389331382210459,5,0,
hacsmv4_two_noaux,hacssmv5,dmc:cheetah.run.occ,5,0.5639344334602356,0.6060668349266052,0.0690983777158071,5,0,
hacsmv4_two_noaux,hacssmv5,ogbench:cube-single.occ,5,1.368989682197571,1.5874472379684448,0.13761762112662546,5,0,
hacsmv4_two_noaux,hacssmv5,__overall__,25,0.974041554927826,1.069115023612976,0.07654953118089272,21,0,4
hacssmv5,ssm,dmc:reacher.hard.occ,5,0.8201306700706482,0.8172305583953857,-0.0038172064096337823,2,0,
hacssmv5,ssm,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,0.9644538998603821,-0.09724230572143833,0,0,
hacssmv5,ssm,dmc:finger.spin.occ,5,1.274392580986023,1.2112032890319824,-0.052502045279434126,1,0,
hacssmv5,ssm,dmc:cheetah.run.occ,5,0.6060668349266052,0.6528962612152099,0.07158723171486257,5,0,
hacssmv5,ssm,ogbench:cube-single.occ,5,1.5874472379684448,1.4677053689956665,-0.08159314157298517,0,0,
hacssmv5,ssm,__overall__,25,1.069115023612976,1.0226978754997254,-0.03271349345372577,8,0,1
hacssmv5,hacsmv4_noaux,dmc:reacher.hard.occ,5,0.8201306700706482,0.8658823490142822,0.052853224493885326,5,0,
hacssmv5,hacsmv4_noaux,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.0402291059494018,-0.016893223752134364,2,0,
hacssmv5,hacsmv4_noaux,dmc:finger.spin.occ,5,1.274392580986023,1.2860682964324952,0.00911410337106468,4,0,
hacssmv5,hacsmv4_noaux,dmc:cheetah.run.occ,5,0.6060668349266052,0.5850329637527466,-0.03634086366530696,1,0,
hacssmv5,hacsmv4_noaux,ogbench:cube-single.occ,5,1.5874472379684448,1.5314651727676392,-0.036535284035331364,0,0,
hacssmv5,hacsmv4_noaux,__overall__,25,1.069115023612976,1.061735577583313,-0.005560408717564537,12,0,2
hacssmv5,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.8201306700706482,0.8308597564697265,0.01282364894190801,4,0,
hacssmv5,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,0.9775278806686402,-0.08317777530896282,0,0,
hacssmv5,hacsmv4_two_noaux,dmc:finger.spin.occ,5,1.274392580986023,1.1288960218429565,-0.12892999951796505,0,0,
hacssmv5,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.6060668349266052,0.5639344334602356,-0.07478077420828508,0,0,
hacssmv5,hacsmv4_two_noaux,ogbench:cube-single.occ,5,1.5874472379684448,1.368989682197571,-0.15964397605857686,0,0,
hacssmv5,hacsmv4_two_noaux,__overall__,25,1.069115023612976,0.974041554927826,-0.08674177523037636,4,0,1
hacssmv5,hacssmv5_noaux,dmc:reacher.hard.occ,5,0.8201306700706482,0.8153834342956543,-0.005791146272006417,1,0,
hacssmv5,hacssmv5_noaux,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.0568740844726563,-0.0006504778354360171,3,0,
hacssmv5,hacssmv5_noaux,dmc:finger.spin.occ,5,1.274392580986023,1.2665584802627563,-0.006116568421270012,2,0,
hacssmv5,hacssmv5_noaux,dmc:cheetah.run.occ,5,0.6060668349266052,0.5908357620239257,-0.026123146191075516,0,0,
hacssmv5,hacssmv5_noaux,ogbench:cube-single.occ,5,1.5874472379684448,1.5606716871261597,-0.01718758710215592,0,0,
hacssmv5,hacssmv5_noaux,__overall__,25,1.069115023612976,1.0580646896362305,-0.011173785164388775,6,0,0
hacssmv5,hacssmv5_noaction,dmc:reacher.hard.occ,5,0.8201306700706482,0.8241735935211182,0.004921201309273048,5,0,
hacssmv5,hacssmv5_noaction,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.1978230237960816,0.11693278752279067,5,0,
hacssmv5,hacssmv5_noaction,dmc:finger.spin.occ,5,1.274392580986023,1.3894088983535766,0.08270987569363956,5,0,
hacssmv5,hacssmv5_noaction,dmc:cheetah.run.occ,5,0.6060668349266052,0.8068104982376099,0.24836482392001397,5,0,
hacssmv5,hacssmv5_noaction,ogbench:cube-single.occ,5,1.5874472379684448,1.7675956964492798,0.10183215351985922,5,0,
hacssmv5,hacssmv5_noaction,__overall__,25,1.069115023612976,1.1971623420715332,0.1109521683931153,25,0,5
hacssmv5,hacssmv5_static,dmc:reacher.hard.occ,5,0.8201306700706482,0.8417529821395874,0.02571774713837706,5,0,
hacssmv5,hacssmv5_static,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.0475677251815796,-0.009664336044192322,1,0,
hacssmv5,hacssmv5_static,dmc:finger.spin.occ,5,1.274392580986023,1.364289355278015,0.06577341181935564,5,0,
hacssmv5,hacssmv5_static,dmc:cheetah.run.occ,5,0.6060668349266052,0.5981300115585327,-0.013293912167406932,1,0,
hacssmv5,hacssmv5_static,ogbench:cube-single.occ,5,1.5874472379684448,1.6499193906784058,0.03779599522111957,5,0,
hacssmv5,hacssmv5_static,__overall__,25,1.069115023612976,1.1003318929672241,0.021265781193450604,17,0,3
hacssmv5,hacssmv5_single,dmc:reacher.hard.occ,5,0.8201306700706482,0.8615310430526734,0.04808824253245504,5,0,
hacssmv5,hacssmv5_single,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.1727145433425903,0.09796951534369223,5,0,
hacssmv5,hacssmv5_single,dmc:finger.spin.occ,5,1.274392580986023,1.4943480730056762,0.1471551985368384,5,0,
hacssmv5,hacssmv5_single,dmc:cheetah.run.occ,5,0.6060668349266052,0.6933794975280761,0.12570919430562963,5,0,
hacssmv5,hacssmv5_single,ogbench:cube-single.occ,5,1.5874472379684448,1.825635838508606,0.13048656636040507,5,0,
hacssmv5,hacssmv5_single,__overall__,25,1.069115023612976,1.2095217990875244,0.10988174341580408,25,0,5
hacssmv5_noaux,ssm,dmc:reacher.hard.occ,5,0.8153834342956543,0.8172305583953857,0.0019952554192823424,3,0,
hacssmv5_noaux,ssm,dmc:ball_in_cup.catch.occ,5,1.0568740844726563,0.9644538998603821,-0.09654489698391265,0,0,
hacssmv5_noaux,ssm,dmc:finger.spin.occ,5,1.2665584802627563,1.2112032890319824,-0.04606349311888106,1,0,
hacssmv5_noaux,ssm,dmc:cheetah.run.occ,5,0.5908357620239257,0.6528962612152099,0.0949856685647346,5,0,
hacssmv5_noaux,ssm,ogbench:cube-single.occ,5,1.5606716871261597,1.4677053689956665,-0.06337371576884612,0,0,
hacssmv5_noaux,ssm,__overall__,25,1.0580646896362305,1.0226978754997254,-0.021800236377524578,9,0,2
hacssmv5_noaux,hacssmv5_fixedbeta_noaux,dmc:reacher.hard.occ,5,0.8153834342956543,0.8187193989753723,0.004080980281923299,5,0,
hacssmv5_noaux,hacssmv5_fixedbeta_noaux,dmc:ball_in_cup.catch.occ,5,1.0568740844726563,1.0548344850540161,-0.0019216699754343839,3,0,
hacssmv5_noaux,hacssmv5_fixedbeta_noaux,dmc:finger.spin.occ,5,1.2665584802627563,1.2632907152175903,-0.0025542727058792637,2,0,
hacssmv5_noaux,hacssmv5_fixedbeta_noaux,dmc:cheetah.run.occ,5,0.5908357620239257,0.5884903550148011,-0.0040833122825030075,2,0,
hacssmv5_noaux,hacssmv5_fixedbeta_noaux,ogbench:cube-single.occ,5,1.5606716871261597,1.5554485082626344,-0.0034275504541885146,1,0,
hacssmv5_noaux,hacssmv5_fixedbeta_noaux,__overall__,25,1.0580646896362305,1.0561566925048829,-0.0015811650272163742,13,0,1
hacssmv5_noaux,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.8153834342956543,0.8308597564697265,0.018465168658809445,5,0,
hacssmv5_noaux,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,1.0568740844726563,0.9775278806686402,-0.0824554481422718,0,0,
hacssmv5_noaux,hacsmv4_two_noaux,dmc:finger.spin.occ,5,1.2665584802627563,1.1288960218429565,-0.12204466930373609,0,0,
hacssmv5_noaux,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.5908357620239257,0.5639344334602356,-0.04762200609352898,0,0,
hacssmv5_noaux,hacsmv4_two_noaux,ogbench:cube-single.occ,5,1.5606716871261597,1.368989682197571,-0.14014286284911096,0,0,
hacssmv5_noaux,hacsmv4_two_noaux,__overall__,25,1.0580646896362305,0.974041554927826,-0.07475996354596767,5,0,1
hacssmv5_fixedbeta_noaux,ssm,dmc:reacher.hard.occ,5,0.8187193989753723,0.8172305583953857,-0.0020848358754269533,3,0,
hacssmv5_fixedbeta_noaux,ssm,dmc:ball_in_cup.catch.occ,5,1.0548344850540161,0.9644538998603821,-0.0946851906197182,0,0,
hacssmv5_fixedbeta_noaux,ssm,dmc:finger.spin.occ,5,1.2632907152175903,1.2112032890319824,-0.04336663607394237,1,0,
hacssmv5_fixedbeta_noaux,ssm,dmc:cheetah.run.occ,5,0.5884903550148011,0.6528962612152099,0.09852364200204577,5,0,
hacssmv5_fixedbeta_noaux,ssm,ogbench:cube-single.occ,5,1.5554485082626344,1.4677053689956665,-0.05977535670148978,0,0,
hacssmv5_fixedbeta_noaux,ssm,__overall__,25,1.0561566925048829,1.0226978754997254,-0.020277675453706307,9,0,1
hacssmv5_fixedbeta_noaux,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.8187193989753723,0.8308597564697265,0.014444385236411901,4,0,
hacssmv5_fixedbeta_noaux,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,1.0548344850540161,0.9775278806686402,-0.08038968290038445,0,0,
hacssmv5_fixedbeta_noaux,hacsmv4_two_noaux,dmc:finger.spin.occ,5,1.2632907152175903,1.1288960218429565,-0.11914533491290374,0,0,
hacssmv5_fixedbeta_noaux,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.5884903550148011,0.5639344334602356,-0.043623561833349755,0,0,
hacssmv5_fixedbeta_noaux,hacsmv4_two_noaux,ogbench:cube-single.occ,5,1.5554485082626344,1.368989682197571,-0.13625466201048758,0,0,
hacssmv5_fixedbeta_noaux,hacsmv4_two_noaux,__overall__,25,1.0561566925048829,0.974041554927826,-0.07299377128414272,4,0,1
