env,design,n_seeds,trainable_parameters_mean,trainable_parameters_std,val_pred_loss_mean,val_pred_loss_std,clean_mse_pre_mean,clean_mse_pre_std,clean_mse_blackout_transition_mean,clean_mse_blackout_transition_std,clean_mse_deep_blackout_mean,clean_mse_deep_blackout_std,clean_mse_first_post_mean,clean_mse_first_post_std,clean_mse_recovery_mean,clean_mse_recovery_std,clean_mse_late_post_mean,clean_mse_late_post_std,clean_mse_all_mean,clean_mse_all_std,clean_mse_first_post_ablated_mean,clean_mse_first_post_ablated_std,clean_input_mse_first_post_mean,clean_input_mse_first_post_std,last_visible_mse_first_post_mean,last_visible_mse_first_post_std,constant_mse_first_post_mean,constant_mse_first_post_std,persistence_mse_first_post_mean,persistence_mse_first_post_std,val_hier_loss_mean,val_hier_loss_std,val_hier_loss_fast_mean,val_hier_loss_fast_std,val_hier_loss_medium_mean,val_hier_loss_medium_std,val_hier_loss_slow_mean,val_hier_loss_slow_std,val_hier_loss_h1_mean,val_hier_loss_h1_std,val_hier_loss_h2_mean,val_hier_loss_h2_std,val_hier_loss_h4_mean,val_hier_loss_h4_std,val_hier_loss_h8_mean,val_hier_loss_h8_std,val_hier_loss_h16_mean,val_hier_loss_h16_std,tau_fast_mean,tau_fast_std,tau_slow_mean,tau_slow_std,tau_fast_min_mean,tau_fast_min_std,tau_fast_max_mean,tau_fast_max_std,tau_medium_min_mean,tau_medium_min_std,tau_medium_max_mean,tau_medium_max_std
dmc:ball_in_cup.catch.occ,hacsmv4,5,851078.0,0.0,0.8702519801457723,0.008266137560132707,0.6207168579101563,0.004096462963417767,0.8060707926750184,0.032719015805684544,1.1583295822143556,0.02657297290741505,1.0253999471664428,0.01923703044962148,0.8027337551116943,0.005812198085516571,0.7285774230957032,0.006816840974202978,0.770365309715271,0.004953115024108411,1.6425519466400147,0.0636104388109014,0.7390588521957397,0.014230047382838791,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.2919732666015624,0.004606445276357513,1.0949466772079468,0.0009647900309060131,1.2683504422505696,0.002086077839933878,1.5126225783030192,0.012720051840378643,1.0566701231002806,0.0010642714250405647,1.1332232141494751,0.0008923790686199186,1.2172326828638713,0.0010814553471388474,1.3194681847890217,0.004294656452806783,1.5126225783030192,0.012720051840378643,2.0,0.0,32.0,0.0,,,,,,,,
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,5,851078.0,0.0,0.8761696445147197,0.0077031601671733434,0.6215620040893555,0.005368449215459403,0.7927771091461182,0.020349661403606355,1.1451062917709351,0.028379961895983918,1.0402291059494018,0.014303249334938201,0.7925972104072571,0.01421720839391488,0.7232442855834961,0.005862497153207726,0.7652477145195007,0.004221837805743623,1.793212080001831,0.05146732484160902,0.7245865941047669,0.012381555094074183,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.6669640884399415,0.01168546252266344,1.2160914878845215,0.008368797360510395,1.5639958359400432,0.007985949231236857,2.2208048731486003,0.022688331328349524,1.1707046276728312,0.009619947605798254,1.2614783414204915,0.007274846064215487,1.451197234471639,0.0036584996721680937,1.6767944068908691,0.013523488834268708,2.2208048731486003,0.022688331328349524,2.0,0.0,32.0,0.0,,,,,,,,
dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,5,851076.0,0.0,0.8403494092623393,0.016608360426444823,0.6166149497032165,0.0039231877737241,0.7901272892951965,0.02135255082956661,1.1013808012008668,0.028818457058550698,0.9775278806686402,0.032292836188755336,0.7809509038925171,0.004081726304003005,0.7167074084281921,0.003670643187223623,0.7533604979515076,0.0023686363990076814,1.8788463592529296,0.15740680161050732,0.7005513668060303,0.00996161221165164,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.3962879994710287,0.005804366024699314,1.2066173906326294,0.0027896294546649993,1.5859585707982382,0.01089388743255912,,,1.1560725863774617,0.003259573306732968,1.257162171045939,0.0023308223788964287,1.4836583477656047,0.007199002678143357,1.6882587976455687,0.01462737385573971,,,2.0,0.0,8.0,0.0,,,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv5,5,851332.0,0.0,0.8849014975229899,0.011514122447307484,0.6175058960914612,0.007238602002853579,0.8488395929336547,0.02301125559124374,1.1995667457580566,0.03180670415732205,1.0575377941131592,0.01852422949895993,0.7993003010749817,0.010384547612320532,0.7233400106430053,0.0059464391228962205,0.7768040418624877,0.003134520933603301,1.9098376750946044,0.07740023175527101,0.7182364583015441,0.014009970900213756,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.3634428641001384,0.0025093054166328782,1.2390358171463012,0.002481285988335945,1.4878499450683593,0.0038283206443565755,,,1.2366419843037924,0.002305810821383302,1.241429639816284,0.0027054095783727167,1.4092871052424114,0.0037955625964575376,1.5664127883911132,0.004585197167669406,,,3.6437704086303713,0.02123874863947789,23.037913513183593,0.39136400622833606,1.3319992065429687,0.012751617015364201,8.690517616271972,0.12540661548387538,6.381351375579834,0.0421232091175547,69.17493438720703,1.0664496189423256
dmc:ball_in_cup.catch.occ,hacssmv5_fixedbeta_noaux,5,851332.0,0.0,0.8840370599428813,0.004923723432864803,0.6188122153282165,0.005437563747470114,0.8367076992988587,0.033811579737761256,1.1799704790115357,0.015872000861553243,1.0548344850540161,0.009960004576283002,0.7972125768661499,0.005292650916091195,0.7248898267745971,0.006434608102624362,0.7742947220802308,0.0025485447324004587,1.8971888303756714,0.16240232746787087,0.724056601524353,0.009868009053125452,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.5101978607177735,0.007012941179724025,1.2764722112019857,0.00319801512214245,1.7439235032399496,0.014065609350552292,,,1.2693823127746582,0.004115528328776207,1.283562123298645,0.0026305459925378815,1.6391167182922364,0.010291306353871255,1.8487303120295207,0.017917434265981597,,,3.4413464069366455,0.0,22.44293975830078,0.0,1.5000001192092896,0.0,7.999999046325684,0.0,7.999999046325684,0.0,63.999908447265625,0.0
dmc:ball_in_cup.catch.occ,hacssmv5_noaction,5,851332.0,0.0,0.9577745649019878,0.008983763871998798,0.6143289685249329,0.0026210342029309797,0.8648047685623169,0.03869085688599365,1.2509336471557617,0.03994302054796239,1.1978230237960816,0.015981049844898176,0.7951687574386597,0.011333949166464857,0.7245566725730896,0.003488327352079606,0.78810054063797,0.008374620934403056,1.609239363670349,0.06420599086207224,0.7280414342880249,0.020542003753423167,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.4083594563802084,0.001410394983994803,1.196229619661967,0.0030723154629354547,1.620489309946696,0.0034091796863591705,,,1.1985020977656047,0.003713848179269297,1.1939571517308554,0.002503840350163661,1.4808867661158245,0.0035740162064539917,1.7600918232599894,0.005171014912808893,,,3.7987966537475586,0.03171122026495106,23.60567436218262,0.26889746198031406,1.3844731807708741,0.013822041374185018,9.15176773071289,0.08041282494173849,6.32180004119873,0.05212054962080095,73.12438354492187,0.9664307836951957
dmc:ball_in_cup.catch.occ,hacssmv5_noaux,5,851332.0,0.0,0.8850159322420756,0.008431315736087455,0.6192157030105591,0.005713002084767578,0.8430306077003479,0.039411753585368484,1.1855013847351075,0.012277723127273807,1.0568740844726563,0.015007835096206833,0.7981131553649903,0.005997057098852129,0.7242321610450745,0.005696809458686155,0.7754560589790345,0.004737827668010267,1.8243274927139281,0.17375893401269735,0.722842788696289,0.011156243113208161,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.5046428400675456,0.006354744969413822,1.2786483424504598,0.003056575094452568,1.730637375195821,0.01203500925812031,,,1.2716995414098105,0.0032798709944599357,1.2855971466700236,0.003368557160440099,1.6230116697947183,0.008816159933692355,1.83826309076945,0.01570676211538699,,,3.5690568923950194,0.021322074846951526,22.93672332763672,0.16578191507649848,1.2331982612609864,0.009629480398640693,8.376533699035644,0.0858981048695913,6.490154457092285,0.028400527350891304,66.83467407226563,0.28952143910449774
dmc:ball_in_cup.catch.occ,hacssmv5_single,5,851332.0,0.0,0.9480600148836772,0.010231612101479635,0.6179593443870545,0.004800413210786536,0.9035999655723572,0.026961550964324905,1.31758553981781,0.03808522162266782,1.1727145433425903,0.02179613334936396,0.8212270140647888,0.013639984425687859,0.7305724143981933,0.004729622222130556,0.8035131573677063,0.0060728819900330265,2.0453099727630617,0.22274071894551928,0.7329396843910218,0.016312608741022822,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.3311058241526286,0.0012746221243929371,1.22314138285319,0.001542717344949747,1.439070245107015,0.003389384693435365,,,1.2251400899887086,0.0014913807851458642,1.221142672220866,0.0016188245186897197,1.3236155087153116,0.002277745255710283,1.55452498849233,0.0046398064486607845,,,3.386036252975464,0.006078866530289284,22.5062198638916,0.11753428192520711,1.537864899635315,0.001713531184083708,7.886381149291992,0.013502922514586471,6.448301124572754,0.0231685598241825,69.21216735839843,0.7994359251760117
dmc:ball_in_cup.catch.occ,hacssmv5_ssmcontrol,5,851332.0,0.0,0.9188137404123943,0.01048123564626573,0.6099094986915589,0.00530912497033078,0.8353621125221252,0.04265118695725937,1.1668490171432495,0.0273258492575302,1.1270870923995973,0.01847320700404959,0.7877508521080017,0.0065368166675919175,0.7208055853843689,0.0033896637818276094,0.7706573128700256,0.0053219386396682585,1.6605963468551637,0.1288832938843514,0.7228904962539673,0.023155594168327274,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.5306794637044272,0.005553651594511974,1.2252234687805175,0.0048149425510534164,1.8361354144414266,0.007203634405477079,,,1.2283942845662434,0.005506704390167374,1.22205269018809,0.004141452431133058,1.583899855295817,0.004957641526340673,2.0883709904352825,0.009638861510191716,,,3.8194711208343506,0.029114137148697938,23.884296798706053,0.1600285367667355,1.3606194972991943,0.007397619302982363,8.855366897583007,0.09304754480795961,6.676034355163575,0.030256409883738157,70.96597442626953,2.1370683054733384
dmc:ball_in_cup.catch.occ,hacssmv5_static,5,851332.0,0.0,0.8787344649632772,0.007461532077175041,0.6124587535858155,0.005436151937938794,0.8649744510650634,0.037273041117933066,1.2124731302261353,0.03864202028726063,1.0475677251815796,0.013791378265173003,0.7996867060661316,0.007693138142029683,0.7225826144218445,0.0039617217533526915,0.7779334187507629,0.005297785727670671,2.0370900630950928,0.18908013753839242,0.7197035312652588,0.018818044060271457,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.3721872539520263,0.0015650868588061495,1.2504237273534138,0.0014398309821323264,1.4939508384068807,0.002167712237144656,,,1.2478718678156535,0.001299549987033166,1.2529755868911743,0.0016046854029978022,1.3793642953236898,0.002099109098428956,1.608537408510844,0.002505286282868869,,,3.6705155849456785,0.02416364049375177,23.20079803466797,0.3951873127606484,1.4067933082580566,0.007555028917527982,8.608047485351562,0.04739827788058144,6.541785526275635,0.016360181477943072,68.74617919921874,0.2598250824062914
dmc:ball_in_cup.catch.occ,none,5,849280.0,0.0,0.9365439222653706,0.001498289911082318,0.6110547065734864,0.0060533296444028155,1.0400253772735595,0.0039275937873170215,1.246519923210144,0.011658313425727639,1.1573077917099,0.0016538660125608945,0.7849104523658752,0.007271619073198647,0.7275716066360474,0.005285445094410078,0.8042268395423889,0.0012343138907048893,1.1573077917099,0.0016538660125608945,0.7374509096145629,0.005584550251192069,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,,,,,,,,,,,,,,,,,,,2.999999761581421,0.0,25.000003814697266,0.0,,,,,,,,
