run,env,design,seed,previous_window_mean,recent_window_mean,relative_improvement
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s0,dmc:ball_in_cup.catch.occ,hacsmv4,0,0.8599969944159189,0.853867295106252,0.007127582246761197
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s1,dmc:ball_in_cup.catch.occ,hacsmv4,1,0.8585329308509827,0.865756228129069,-0.008413535484220245
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s2,dmc:ball_in_cup.catch.occ,hacsmv4,2,0.8485068369706472,0.8587247492472331,-0.012042227394496922
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s3,dmc:ball_in_cup.catch.occ,hacsmv4,3,0.8474402392705281,0.8514797599315643,-0.004766732182216632
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s4,dmc:ball_in_cup.catch.occ,hacsmv4,4,0.863468452612559,0.8657670016288758,-0.0026619953622649957
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s0,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,0.8552428767681122,0.8611230220794678,-0.006875409864360595
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s1,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,0.877625373840332,0.8828168430328369,-0.005915359044130598
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s2,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,0.8618643987973531,0.8708607147534688,-0.010438203467586307
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s3,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,3,0.8460270346005758,0.8525095291137695,-0.007662278211067113
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s4,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,4,0.8621994206905365,0.8714798882007598,-0.010763713460617547
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s0,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,0,0.8115374128818512,0.8241591799259186,-0.015552908397958141
