candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,paired_wins,paired_ties
hacssmv5,hacssmv5_noaux,dmc:finger.spin.occ,3,1.2855438391367595,1.273043195406596,-0.00976677722206213,1,0
hacssmv5,hacssmv5_noaux,dmc:cheetah.run.occ,3,0.6003509163856506,0.5938265919685364,-0.011295593878217233,0,0
hacssmv5,hacssmv5_noaux,ogbench:cube-single.occ,3,1.6030936638514202,1.5762062470118205,-0.01709344358590795,0,0
hacssmv5,hacssmv5_noaux,__overall__,15,,,-0.007331583309853373,5,0
hacssmv5,hacssmv5_noaction,dmc:reacher.hard.occ,3,0.8275307814280192,0.8306220173835754,0.003743264884835561,3,0
hacssmv5,hacssmv5_noaction,dmc:ball_in_cup.catch.occ,3,1.0532998243967693,1.198631723721822,0.12094324904211015,3,0
hacssmv5,hacssmv5_noaction,dmc:finger.spin.occ,3,1.2855438391367595,1.4004227717717488,0.08192269514328948,3,0
hacssmv5,hacssmv5_noaction,dmc:cheetah.run.occ,3,0.6003509163856506,0.8069060643513998,0.2552483158878302,3,0
hacssmv5,hacssmv5_noaction,ogbench:cube-single.occ,3,1.6030936638514202,1.7772310972213745,0.09789547265976242,3,0
hacssmv5,hacssmv5_noaction,__overall__,15,,,0.11195059952356556,15,0
hacssmv5,hacssmv5_static,dmc:reacher.hard.occ,3,0.8275307814280192,0.8461970885594686,0.022062606718840173,3,0
hacssmv5,hacssmv5_static,dmc:ball_in_cup.catch.occ,3,1.0532998243967693,1.0483792622884114,-0.00489824445031647,1,0
hacssmv5,hacssmv5_static,dmc:finger.spin.occ,3,1.2855438391367595,1.3575359185536702,0.05302351979557825,3,0
hacssmv5,hacssmv5_static,dmc:cheetah.run.occ,3,0.6003509163856506,0.5981304049491882,-0.0037656225771210486,1,0
hacssmv5,hacssmv5_static,ogbench:cube-single.occ,3,1.6030936638514202,1.662368933359782,0.03562800581427453,3,0
hacssmv5,hacssmv5_static,__overall__,15,,,0.020410053060251086,11,0
hacssmv5,hacssmv5_single,dmc:reacher.hard.occ,3,0.8275307814280192,0.8635504444440206,0.04175498599609552,3,0
hacssmv5,hacssmv5_single,dmc:ball_in_cup.catch.occ,3,1.0532998243967693,1.1614996592203777,0.09309324343779626,3,0
hacssmv5,hacssmv5_single,dmc:finger.spin.occ,3,1.2855438391367595,1.504652500152588,0.14567117045914707,3,0
hacssmv5,hacssmv5_single,dmc:cheetah.run.occ,3,0.6003509163856506,0.6892900864283243,0.12895122774094933,3,0
hacssmv5,hacssmv5_single,ogbench:cube-single.occ,3,1.6030936638514202,1.8351146380106609,0.12642542362476927,3,0
hacssmv5,hacssmv5_single,__overall__,15,,,0.10717921025175149,15,0
