env,rank,design,n_seeds,clean_mse_first_post_mean,clean_mse_first_post_population_std
dmc:reacher.hard.occ,1,hacssmv5_noaux,5,0.8153834342956543,0.011655871721419974
dmc:reacher.hard.occ,2,ssm,5,0.8172305583953857,0.012478523956483792
dmc:reacher.hard.occ,3,hacssmv5_fixedbeta_noaux,5,0.8187193989753723,0.011316033615102087
dmc:reacher.hard.occ,4,hacssmv5,5,0.8201306700706482,0.013945165656625999
dmc:reacher.hard.occ,5,hacssmv5_noaction,5,0.8241735935211182,0.012779104179766753
dmc:reacher.hard.occ,6,hacsmv4_two_noaux,5,0.8308597564697265,0.015931722734390683
dmc:reacher.hard.occ,7,hacssmv5_static,5,0.8417529821395874,0.011812309614224569
dmc:reacher.hard.occ,8,hacssmv5_ssmcontrol,5,0.8538765430450439,0.012401400633378351
dmc:reacher.hard.occ,9,hacssmv5_single,5,0.8615310430526734,0.004900299777154401
dmc:reacher.hard.occ,10,hacsmv4_noaux,5,0.8658823490142822,0.009353562591168298
dmc:reacher.hard.occ,11,hacsmv4,5,0.866829264163971,0.010324181272020087
dmc:reacher.hard.occ,12,none,5,1.1752852201461792,0.0019635412330472335
dmc:ball_in_cup.catch.occ,1,ssm,5,0.9644538998603821,0.030640834888195762
dmc:ball_in_cup.catch.occ,2,hacsmv4_two_noaux,5,0.9775278806686402,0.032292836188755336
dmc:ball_in_cup.catch.occ,3,hacsmv4,5,1.0253999471664428,0.01923703044962148
dmc:ball_in_cup.catch.occ,4,hacsmv4_noaux,5,1.0402291059494018,0.014303249334938201
dmc:ball_in_cup.catch.occ,5,hacssmv5_static,5,1.0475677251815796,0.013791378265173003
dmc:ball_in_cup.catch.occ,6,hacssmv5_fixedbeta_noaux,5,1.0548344850540161,0.009960004576283002
dmc:ball_in_cup.catch.occ,7,hacssmv5_noaux,5,1.0568740844726563,0.015007835096206833
dmc:ball_in_cup.catch.occ,8,hacssmv5,5,1.0575377941131592,0.01852422949895993
dmc:ball_in_cup.catch.occ,9,hacssmv5_ssmcontrol,5,1.1270870923995973,0.01847320700404959
dmc:ball_in_cup.catch.occ,10,none,5,1.1573077917099,0.0016538660125608945
dmc:ball_in_cup.catch.occ,11,hacssmv5_single,5,1.1727145433425903,0.02179613334936396
dmc:ball_in_cup.catch.occ,12,hacssmv5_noaction,5,1.1978230237960816,0.015981049844898176
dmc:finger.spin.occ,1,hacsmv4_two_noaux,5,1.1288960218429565,0.014832580189626573
dmc:finger.spin.occ,2,ssm,5,1.2112032890319824,0.018874932763270694
dmc:finger.spin.occ,3,hacssmv5_fixedbeta_noaux,5,1.2632907152175903,0.014766158956608991
dmc:finger.spin.occ,4,hacssmv5_noaux,5,1.2665584802627563,0.01888411557091113
dmc:finger.spin.occ,5,hacssmv5,5,1.274392580986023,0.02679736061715356
dmc:finger.spin.occ,6,hacsmv4,5,1.2754055261611938,0.02179729111130601
dmc:finger.spin.occ,7,hacsmv4_noaux,5,1.2860682964324952,0.016832948937234863
dmc:finger.spin.occ,8,hacssmv5_static,5,1.364289355278015,0.02784698951037281
dmc:finger.spin.occ,9,hacssmv5_noaction,5,1.3894088983535766,0.024422326203215505
dmc:finger.spin.occ,10,hacssmv5_ssmcontrol,5,1.418560528755188,0.018872887558978355
dmc:finger.spin.occ,11,hacssmv5_single,5,1.4943480730056762,0.016201853320754564
dmc:finger.spin.occ,12,none,5,1.814428734779358,0.0012021623284114297
dmc:cheetah.run.occ,1,hacsmv4_two_noaux,5,0.5639344334602356,0.006330870516139319
dmc:cheetah.run.occ,2,hacsmv4_noaux,5,0.5850329637527466,0.011129245739736802
dmc:cheetah.run.occ,3,hacssmv5_fixedbeta_noaux,5,0.5884903550148011,0.015708592686879266
dmc:cheetah.run.occ,4,hacssmv5_noaux,5,0.5908357620239257,0.016287350261973144
dmc:cheetah.run.occ,5,hacssmv5_static,5,0.5981300115585327,0.010397684305871749
dmc:cheetah.run.occ,6,hacssmv5,5,0.6060668349266052,0.013752522701948787
dmc:cheetah.run.occ,7,hacsmv4,5,0.6098006963729858,0.01165513787613518
dmc:cheetah.run.occ,8,none,5,0.6355471730232238,0.004305284629680956
dmc:cheetah.run.occ,9,ssm,5,0.6528962612152099,0.0051667980010529635
dmc:cheetah.run.occ,10,hacssmv5_single,5,0.6933794975280761,0.015767266449433166
dmc:cheetah.run.occ,11,hacssmv5_ssmcontrol,5,0.7730082988739013,0.01931894787392221
dmc:cheetah.run.occ,12,hacssmv5_noaction,5,0.8068104982376099,0.024401797072489288
ogbench:cube-single.occ,1,hacsmv4_two_noaux,5,1.368989682197571,0.022828757383281675
ogbench:cube-single.occ,2,ssm,5,1.4677053689956665,0.019983041370664607
ogbench:cube-single.occ,3,hacsmv4_noaux,5,1.5314651727676392,0.019618193056511666
ogbench:cube-single.occ,4,hacssmv5_fixedbeta_noaux,5,1.5554485082626344,0.026186952514597933
ogbench:cube-single.occ,5,hacssmv5_noaux,5,1.5606716871261597,0.0218557539582515
ogbench:cube-single.occ,6,hacsmv4,5,1.5617331981658935,0.023477298901309812
ogbench:cube-single.occ,7,hacssmv5,5,1.5874472379684448,0.023282884703679996
ogbench:cube-single.occ,8,hacssmv5_static,5,1.6499193906784058,0.02526680678461343
ogbench:cube-single.occ,9,hacssmv5_noaction,5,1.7675956964492798,0.024547033433665908
ogbench:cube-single.occ,10,hacssmv5_ssmcontrol,5,1.7976523637771606,0.01868689763290111
ogbench:cube-single.occ,11,hacssmv5_single,5,1.825635838508606,0.015794796330502767
ogbench:cube-single.occ,12,none,5,2.228041410446167,0.00974284228034991
