candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,paired_wins,paired_ties
hacssmv5,hacssmv5_noaction,dmc:cheetah.run.occ,5,0.6060668349266052,0.8068104982376099,0.24836482392001397,5,0
hacssmv5,hacssmv5_noaction,ogbench:cube-single.occ,5,1.5874472379684448,1.7675956964492798,0.10183215351985922,5,0
hacssmv5,hacssmv5_noaction,__overall__,25,,,0.1109521683931153,25,0
hacssmv5,hacssmv5_static,dmc:reacher.hard.occ,5,0.8201306700706482,0.8417529821395874,0.02571774713837706,5,0
hacssmv5,hacssmv5_static,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.0475677251815796,-0.009664336044192322,1,0
hacssmv5,hacssmv5_static,dmc:finger.spin.occ,5,1.274392580986023,1.364289355278015,0.06577341181935564,5,0
hacssmv5,hacssmv5_static,dmc:cheetah.run.occ,5,0.6060668349266052,0.5981300115585327,-0.013293912167406932,1,0
hacssmv5,hacssmv5_static,ogbench:cube-single.occ,5,1.5874472379684448,1.6499193906784058,0.03779599522111957,5,0
hacssmv5,hacssmv5_static,__overall__,25,,,0.021265781193450604,17,0
hacssmv5,hacssmv5_single,dmc:reacher.hard.occ,5,0.8201306700706482,0.8615310430526734,0.04808824253245504,5,0
hacssmv5,hacssmv5_single,dmc:ball_in_cup.catch.occ,5,1.0575377941131592,1.1727145433425903,0.09796951534369223,5,0
hacssmv5,hacssmv5_single,dmc:finger.spin.occ,5,1.274392580986023,1.4943480730056762,0.1471551985368384,5,0
hacssmv5,hacssmv5_single,dmc:cheetah.run.occ,5,0.6060668349266052,0.6933794975280761,0.12570919430562963,5,0
hacssmv5,hacssmv5_single,ogbench:cube-single.occ,5,1.5874472379684448,1.825635838508606,0.13048656636040507,5,0
hacssmv5,hacssmv5_single,__overall__,25,,,0.10988174341580408,25,0
