design,n_runs,tau_fast_mean,tau_fast_min_across_runs,tau_fast_max_across_runs,tau_slow_mean,tau_slow_min_across_runs,tau_slow_max_across_runs,tau_fast_min_mean,tau_fast_min_min_across_runs,tau_fast_min_max_across_runs,tau_fast_max_mean,tau_fast_max_min_across_runs,tau_fast_max_max_across_runs,tau_medium_min_mean,tau_medium_min_min_across_runs,tau_medium_min_max_across_runs,tau_medium_max_mean,tau_medium_max_min_across_runs,tau_medium_max_max_across_runs
hacssmv5_ssmcontrol,25,3.840607900619507,3.7241880893707275,4.092377662658691,23.806321105957032,22.991079330444336,25.2486515045166,1.4371115922927857,1.3508639335632324,1.5018417835235596,8.786045379638672,8.353917121887207,9.156877517700195,6.810396881103515,6.629848957061768,7.02996301651001,71.22853149414063,66.67990112304688,75.67310333251953
hacssmv5_fixedbeta_noaux,25,3.4413464069366455,3.4413464069366455,3.4413464069366455,22.44293975830078,22.44293975830078,22.44293975830078,1.5000001192092896,1.5000001192092896,1.5000001192092896,7.999999046325684,7.999999046325684,7.999999046325684,7.999999046325684,7.999999046325684,7.999999046325684,63.999908447265625,63.999908447265625,63.999908447265625
hacssmv5_noaux,25,3.555494718551636,3.4728853702545166,3.620803117752075,22.44587173461914,21.87192726135254,23.236469268798828,1.3357248163223268,1.2178659439086914,1.4217206239700317,8.463040161132813,8.058147430419922,9.074874877929688,6.726409034729004,6.463084697723389,6.9949235916137695,67.34036636352539,62.59344482421875,72.20869445800781
hacssmv5_noaction,25,3.748704595565796,3.6431374549865723,3.8325865268707275,23.597405090332032,22.910308837890625,25.046459197998047,1.4498721075057983,1.327189326286316,1.5268850326538086,9.011227760314942,8.455557823181152,9.594463348388672,6.693866100311279,6.277892112731934,6.892792224884033,72.6356591796875,66.74425506591797,78.08184814453125
hacssmv5_static,25,3.6706160926818847,3.595240831375122,3.8062868118286133,22.948391189575194,22.07377052307129,23.708757400512695,1.4780387878417969,1.3280303478240967,1.587410807609558,8.65210838317871,8.285552024841309,9.093671798706055,6.7196407127380375,6.518453121185303,6.935479640960693,69.43721069335938,65.25743103027344,73.70872497558594
hacssmv5_single,25,3.483374614715576,3.378006935119629,3.5678212642669678,22.380975799560545,21.774276733398438,23.258665084838867,1.5707232189178466,1.4718868732452393,1.6260864734649658,7.997884826660156,7.696078300476074,8.27615737915039,6.651761283874512,6.421472549438477,6.825098991394043,68.81396942138672,64.532470703125,72.67744445800781
hacssmv5,25,3.6003334426879885,3.4867098331451416,3.744523048400879,22.76622299194336,21.837745666503906,23.631282806396484,1.4185567474365235,1.2492493391036987,1.5404928922653198,8.635199584960937,8.1202974319458,9.164531707763672,6.641230316162109,6.334094524383545,6.872206687927246,68.82962646484376,64.85855102539062,74.47247314453125
