env,design,n_seeds,trainable_parameters_mean,trainable_parameters_std,val_pred_loss_mean,val_pred_loss_std,clean_mse_pre_mean,clean_mse_pre_std,clean_mse_blackout_transition_mean,clean_mse_blackout_transition_std,clean_mse_deep_blackout_mean,clean_mse_deep_blackout_std,clean_mse_first_post_mean,clean_mse_first_post_std,clean_mse_recovery_mean,clean_mse_recovery_std,clean_mse_late_post_mean,clean_mse_late_post_std,clean_mse_all_mean,clean_mse_all_std,clean_mse_first_post_ablated_mean,clean_mse_first_post_ablated_std,clean_input_mse_first_post_mean,clean_input_mse_first_post_std,last_visible_mse_first_post_mean,last_visible_mse_first_post_std,constant_mse_first_post_mean,constant_mse_first_post_std,persistence_mse_first_post_mean,persistence_mse_first_post_std,val_hier_loss_mean,val_hier_loss_std,val_hier_loss_fast_mean,val_hier_loss_fast_std,val_hier_loss_medium_mean,val_hier_loss_medium_std,val_hier_loss_slow_mean,val_hier_loss_slow_std,val_hier_loss_h1_mean,val_hier_loss_h1_std,val_hier_loss_h2_mean,val_hier_loss_h2_std,val_hier_loss_h4_mean,val_hier_loss_h4_std,val_hier_loss_h8_mean,val_hier_loss_h8_std,val_hier_loss_h16_mean,val_hier_loss_h16_std,tau_fast_mean,tau_fast_std,tau_slow_mean,tau_slow_std,tau_fast_min_mean,tau_fast_min_std,tau_fast_max_mean,tau_fast_max_std,tau_medium_min_mean,tau_medium_min_std,tau_medium_max_mean,tau_medium_max_std,val_hier_loss_bridge_mean,val_hier_loss_bridge_std,val_hier_loss_recovery_mean,val_hier_loss_recovery_std,val_hier_overlap_mean,val_hier_overlap_std,rho_fast_mean,rho_fast_std,rho_medium_mean,rho_medium_std,action_head_fast_norm_mean,action_head_fast_norm_std,action_head_medium_norm_mean,action_head_medium_norm_std,action_head_cosine_mean,action_head_cosine_std
dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,3,851076.0,0.0,0.8396897575590345,0.0208677672583926,0.616392453511556,0.0027976624113002957,0.7847757339477539,0.024192191981501805,1.1045048236846924,0.03644297659998346,0.9760542710622152,0.04070309409259466,0.7837663094202677,0.00274037460614982,0.716780404249827,0.003377564695152083,0.7532524466514587,0.0029161608783596638,1.8883798917134602,0.16638219203263663,0.6929346323013306,0.00409633552650348,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,1.3963467433717516,0.004441644311010297,1.2065901888741388,0.00200198573959377,1.586103252304925,0.010741431536016963,,,1.1561000484890407,0.0021699414044142676,1.2570803292592365,0.0018347050350876202,1.4836652342478434,0.007521945988060503,1.6885412481096056,0.013975160587881662,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv6,3,851076.0,0.0,0.8330049965116713,0.01246558094788807,0.6164875229199728,0.004691693692322629,0.779336671034495,0.024268196036187722,1.0727139711380005,0.016505558733406204,0.9631660977999369,0.023428356282499875,0.7805532217025757,0.005729623526411766,0.7173635164896647,0.0021545287224910476,0.7490193645159403,0.000861064600460627,1.9027308622996013,0.11133238015711003,0.7003671725591024,0.007103239669072577,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.14321700327926212,0.0012004245643087933,0.11826950507031547,0.0016912031775189235,0.16816449476612938,0.000751985443332414,,,0.0785148795776897,0.0010992389501096917,0.1580241291390525,0.0022838364213650327,0.11075310528278351,0.0006406279132645553,0.225575889216529,0.0009355737732992494,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv6_static,3,851076.0,0.0,0.7918746746910943,0.004476533779707746,0.6024975180625916,0.0005284658619335325,0.7248357534408569,0.016695954753389353,1.010767638683319,0.03287603265828592,0.8936890363693237,0.008386243220815914,0.758699377377828,0.0084390573290447,0.7109858989715576,0.0029603401508211443,0.7268343766530355,0.0017036994991080044,1.874646544456482,0.05281425309176455,0.7113812963167826,0.0036543900870756006,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.14550024012724558,0.0014054842109753648,0.11298059516482883,0.0019980820111634443,0.17801989038785299,0.0008288777835182378,,,0.07541809611850314,0.0012390240972181238,0.15054309315151637,0.0027590291441239906,0.11923065341181224,0.0004697798420592662,0.23680913196669684,0.001196362591607411,,,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
dmc:ball_in_cup.catch.occ,hacssmv7,3,852614.0,0.0,0.8148882095019022,0.008503509825831737,0.6115538477897644,0.00648106914390929,0.7501912911732992,0.025628227841413418,1.042832334836324,0.01719685185336345,0.9322319825490316,0.016975322428728245,0.7755478421847025,0.009065166923123126,0.713793675104777,0.0027543894962679207,0.7387101054191589,0.0012630831070558827,1.985220233599345,0.14488290998542128,0.6954636573791504,0.005180879343248296,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.12458916505177815,0.001688988265694832,0.08186180724038018,0.0011750974062138004,0.16731652531358931,0.0022283517775301518,,,0.052922914259963566,0.0007399572171900348,0.11080069969097774,0.0016105578642333536,0.10441049089034399,0.0008396454243030057,0.23022256043222217,0.0036256936258539864,,,2.0,0.0,8.0,0.0,,,,,,,,,0.14903991202513378,0.0017133432178533306,0.10013841913806067,0.0016659002230092305,0.0,0.0,0.6016381978988647,0.004599426825640445,0.5504034161567688,0.003081715071940938,3.655895233154297,0.00044321652613236973,3.4504565397898355,0.038520409632844366,0.6853153109550476,0.007843517460609135
dmc:ball_in_cup.catch.occ,hacssmv7_actiononly,3,852614.0,0.0,0.8248799411455789,0.010048033722114103,0.6146796345710754,0.0009601230087718421,0.7535841464996338,0.03131033735144219,1.0671419302622478,0.02432477608948437,0.9501161773999532,0.020601549960195805,0.7753201325734457,0.008440164454497441,0.7144838174184164,0.003026093328154543,0.743240753809611,0.0002709338698837469,1.9192759990692139,0.19043494566152783,0.7014442086219788,0.00975711660380269,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.14711431211895412,0.001193827038775973,0.10414971109893587,0.0016309470978705632,0.1900789095958074,0.0007698867407487698,,,0.06971388389666876,0.0010326437343264132,0.13858553793695239,0.002229543809810736,0.1164195093843672,0.00033564429427743674,0.2637383098072476,0.0012508074901548946,,,2.0,0.0,8.0,0.0,,,,,,,,,0.14711430999967787,0.0011938244554317425,0.0,0.0,0.0,0.0,0.6077554225921631,0.004757891193478676,0.5517361164093018,0.0033699445823035736,3.580233653386434,0.05040227555326838,3.397817770640055,0.03017014846491472,0.6892388661702474,0.00817389794305884
dmc:ball_in_cup.catch.occ,hacssmv7_noaction,3,852614.0,0.0,0.8999459173944262,0.012574605829161228,0.6140890717506409,0.0036040355027617712,0.7874410549799601,0.04229024288278731,1.088335394859314,0.010327908322601734,1.0909864902496338,0.024011465170842572,0.7793599367141724,0.00946541440422415,0.7197301387786865,0.0035245707209730372,0.7562810778617859,0.003739804367853084,1.843349536259969,0.08059090216359589,0.7090040644009908,0.013602671314485875,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.11253169387578965,0.0006095899953493453,0.07752185993724399,0.0001712942779861842,0.14754152993361155,0.001274175271635215,,,0.0504646400279469,0.00018298089321733873,0.10457908143599828,0.00018723335949856994,0.09733982470300463,0.0004649311159967869,0.1977432327138053,0.0020922369663746165,,,2.0,0.0,8.0,0.0,,,,,,,,,0.13500662207603453,0.0006089142235115737,0.09005676746368409,0.0006108353738304577,0.0,0.0,0.5989643732706705,0.0033317409046841055,0.5602416396141052,0.0021625799968909517,0.0,0.0,0.0,0.0,0.0,0.0
dmc:ball_in_cup.catch.occ,hacssmv7_noaux,3,852614.0,0.0,0.8179702999856737,0.014118133020865049,0.6095027923583984,0.0013341096888693494,0.7540869315465292,0.030243922399625502,1.047410249710083,0.014235510758634046,0.9381400545438131,0.027226687866747357,0.7758183677991232,0.008745974128016159,0.7148550152778625,0.002668730719001414,0.7397896647453308,0.0021929509416507417,2.0157412687937417,0.15054102489640858,0.7018930514653524,0.00940665106385573,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.12496721257766087,0.0018240566255293697,0.08280244188176261,0.0012588674827243745,0.16713198079003228,0.002427712756623102,,,0.0535793119834529,0.0007295462519152823,0.11202557249201668,0.0017904664331559591,0.1045877006649971,0.0008964480795100444,0.22967626339859432,0.003973900114614769,,,2.0,0.0,8.0,0.0,,,,,,,,,0.1501037726799647,0.0018791067881903253,0.09983065072033141,0.001776169306258086,0.0,0.0,0.6029526988665262,0.0021598339000393147,0.5476517677307129,0.002796222928004917,3.617192109425863,0.021257676567077197,3.4259251753489175,0.03347128463903997,0.7313937942186991,0.006198083922783181
dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,3,852614.0,0.0,0.8112838999430338,0.006878889025994302,0.6127443114916483,0.004980859426374242,0.7549379070599874,0.026476419820452003,1.0331337849299114,0.009460188098500334,0.9241219361623129,0.010477735635937218,0.7794914444287618,0.010792659303364437,0.7147645950317383,0.004772326181352175,0.73891282081604,0.0012043889713561258,2.0356947580973306,0.11059305518291807,0.6935529112815857,0.006520323526684419,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.14883539888593886,0.0023755205535637806,0.11456758426295387,0.0021917013008421584,0.18310320681995815,0.00258552077524954,,,0.0741709272729026,0.0013031463485196567,0.15496423807409074,0.0030826164698957055,0.1149088661869367,0.001037276019405892,0.25129755205578275,0.004134077069092481,,,2.0,0.0,8.0,0.0,,,,,,,,,0.14883539888593886,0.0023755205535637806,0.0,0.0,0.0,0.0,0.6010709603627523,0.005375166782566,0.5491217573483785,0.0036867512897097096,3.6713502407073975,0.04657020051101616,3.4120075702667236,0.06512827859781424,0.718901256720225,0.013147580402432812
dmc:ball_in_cup.catch.occ,hacssmv7_noshrink,3,852614.0,0.0,0.8391225335333082,0.01929149380966912,0.6175839503606161,0.002905830022943369,0.7788578669230143,0.03297402075098111,1.0837325652440388,0.027565674799014304,0.9748799602190653,0.036922594845731946,0.7798245350519816,0.006414876182742846,0.716906209786733,0.002680014567961566,0.7505230903625488,0.0016304119483512753,1.9214798212051392,0.04764099341760699,0.702407975991567,0.006310298227598519,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.13014696932501263,0.0009927945040710572,0.08731743938393063,0.0009528710838601593,0.1729765021138721,0.001084547790166338,,,0.05632603249616093,0.0006920816584320274,0.11830884787771437,0.0012153261810643058,0.10630775822533502,0.0005558940747689161,0.23964524739318424,0.0016722233795208653,,,2.0,0.0,8.0,0.0,,,,,,,,,0.1525360627969106,0.0009095738352863698,0.107757881184419,0.0010836078705591706,0.0,0.0,1.0,0.0,1.0,0.0,3.7638885974884033,0.05803992251333232,3.2790420850118003,0.016098765012851724,0.7069550553957621,0.008133733634997847
dmc:ball_in_cup.catch.occ,hacssmv7_sharedaction,3,852614.0,0.0,0.8102097871568468,0.0022122088566834414,0.6124766866366068,0.0008270418128697008,0.7551119526227316,0.027578696367035888,1.0322699149449666,0.012758318608977243,0.923192044099172,0.0009412464937700428,0.771327555179596,0.010601533355188658,0.7140807112058004,0.004303911637464749,0.7378751238187155,0.0027070098743526665,1.9622260332107544,0.16441731266112342,0.6997437278429667,0.008276162127911591,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,0.12386122392283545,0.0018142576471872614,0.08169631120231416,0.001274139564115496,0.16602614124615986,0.002358475617682293,,,0.05264186062746578,0.0007854282738081555,0.11075075894594193,0.0017630428288694072,0.1041481164097786,0.0010815933508645727,0.22790415936046177,0.0036550257496985824,,,2.0,0.0,8.0,0.0,,,,,,,,,0.14831434905529023,0.0018763619216495577,0.09940809736649195,0.0017568968142872864,0.0,0.0,0.6031194726626078,0.0048221463397579755,0.547691802183787,0.0038330494334003805,3.6752646764119468,0.03422014835168416,3.6752646764119468,0.03422014835168416,0.9999999403953552,4.8666988666518094e-08
