run,env,design,seed,trainable_parameters,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16,tau_fast,tau_slow,tau_fast_min,tau_fast_max,tau_medium_min,tau_medium_max,val_hier_loss_bridge,val_hier_loss_recovery,val_hier_overlap,rho_fast,rho_medium,action_head_fast_norm,action_head_medium_norm,action_head_cosine
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s0,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,0,851076,0.8268086218833923,0.6124406456947327,0.8173432350158691,1.08318293094635,0.9540796875953674,0.780109167098999,0.7144599556922913,0.7514117956161499,2.1163387298583984,0.6969016194343567,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3923646608988445,1.2073322931925456,1.5773969093958538,,1.1569530661900838,1.2577115535736083,1.4771433544158936,1.6776504643758139,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s1,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,1,851076,0.8231356994311014,0.6182016730308533,0.7775700688362122,1.0745311975479126,0.9409660696983337,0.786705493927002,0.7215563654899597,0.7509766817092896,1.7238967418670654,0.6872950196266174,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3941306988398234,1.2085853322347004,1.579676014582316,,1.1582264280319214,1.2589442539215088,1.479648240407308,1.679703755378723,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s2,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,2,851076,0.8691249513626098,0.618535041809082,0.7594138979911804,1.1558003425598145,1.0331170558929443,0.7844842672348022,0.7143248915672302,0.7573688626289368,1.824904203414917,0.6946072578430176,2.2903213500976562,1.2641915082931519,16.771806716918945,1.4025448703765868,1.2038529411951702,1.601236832936605,,1.153120651245117,1.2545851802825927,1.4942041079203288,1.7082695245742798,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s3,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,3,851076,0.8472352202733358,0.6117957830429077,0.7857232689857483,1.0898009538650513,0.9904065728187561,0.7759139537811279,0.7206663489341736,0.7524151802062988,2.0062389373779297,0.714291512966156,2.2903213500976562,1.2641915082931519,16.771806716918945,1.403590513865153,1.2103243064880371,1.5968566703796387,,1.1604468488693238,1.2602016957600912,1.4903334061304727,1.7033800029754638,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_two_noaux-s4,dmc:ball_in_cup.catch.occ,hacsmv4_two_noaux,4,851076,0.835442553361257,0.6221016049385071,0.8105859756469727,1.103588581085205,0.9690700173377991,0.7775416374206543,0.7125294804573059,0.7546299695968628,1.722853183746338,0.7096614241600037,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3888092533747356,1.2029920800526936,1.5746264266967773,,1.1516159375508626,1.2543681716918946,1.4769626299540202,1.6722902409235636,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s0,dmc:ball_in_cup.catch.occ,hacssmv6,0,851076,0.8204397980372111,0.6107873320579529,0.8131021857261658,1.061469554901123,0.9421598315238953,0.7744729518890381,0.7156876921653748,0.7480782270431519,2.0591652393341064,0.6985169649124146,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14488129258155824,0.12053820153077444,0.16922437091668446,,0.07997476637363433,0.16110163668791452,0.1116220048069954,0.22682674547036488,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s1,dmc:ball_in_cup.catch.occ,hacssmv6,1,851076,0.8285790522893269,0.6222785115242004,0.7677770256996155,1.0606211423873901,0.9514794945716858,0.7789548635482788,0.7204052209854126,0.7488207221031189,1.8399591445922852,0.6927414536476135,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14267491817474365,0.1177909117937088,0.16755892554918925,,0.07824757784605026,0.15733424146970112,0.11054084102312724,0.22457700908184053,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s2,dmc:ball_in_cup.catch.occ,hacssmv6,2,851076,0.8499961392084757,0.6163967251777649,0.7571308016777039,1.0960512161254883,0.9958589673042297,0.7882318496704102,0.7159976363182068,0.7501591444015503,1.809068202972412,0.709843099117279,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14209479908148448,0.11647940188646316,0.16771018783251446,,0.0773222945133845,0.15563650925954184,0.1100964700182279,0.2253239130973816,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s3,dmc:ball_in_cup.catch.occ,hacssmv6,3,851076,0.8442095867792765,0.6115612387657166,0.7852001786231995,1.0699894428253174,0.9856672883033752,0.7774954438209534,0.7185925841331482,0.7492709755897522,1.7094550132751465,0.715668261051178,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14076943834622702,0.11587419052918752,0.16566468397776285,,0.07695327361424764,0.1547951074441274,0.10932559311389924,0.22200378755728403,,2.0,8.0,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-hacssmv6-s4,dmc:ball_in_cup.catch.occ,hacssmv6,4,851076,0.8204035139083863,0.6199753880500793,0.7964106202125549,1.070325255393982,0.9412087202072144,0.7823020219802856,0.7111631631851196,0.7479644417762756,1.8926031589508057,0.707800030708313,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14290727416674295,0.12010097702344259,0.16571356276671093,,0.07972413271665574,0.16047782023747761,0.11034467816352844,0.22108245372772217,,2.0,8.0,,,,,,,,,,,,
