env,design,seed,level,tau,causal_gate_mean,visible_mean,black_mean,visible_minus_black,visible_auroc,temporal_std,input_std,original_first_post_mse,mean_gate_first_post_mse,mean_gate_relative_change
dmc:reacher.hard.occ,hacsmv4_static,0,0,2,0.8468581438064575,0.8468580842018127,0.846858024597168,5.960464477539063e-08,0.5,5.960464477539063e-08,1.2516975402832031e-06,0.8999018669128418,0.8999018669128418,0.0
dmc:reacher.hard.occ,hacsmv4_static,0,1,8,0.9047560691833496,0.9047562479972839,0.9047562479972839,0.0,0.5,1.7881393432617188e-07,1.0132789611816406e-06,0.8999018669128418,0.8999018669128418,0.0
dmc:reacher.hard.occ,hacsmv4_static,0,2,32,0.9124492406845093,0.912449300289154,0.9124491214752197,1.7881393432617188e-07,0.5,1.7881393432617188e-07,1.1324882507324219e-06,0.8999018669128418,0.8999018669128418,0.0
dmc:reacher.hard.occ,hacsmv4_static,1,0,2,0.8465806245803833,0.8465805649757385,0.8465805649757385,0.0,0.5,0.0,1.1920928955078125e-07,0.8725389838218689,0.8725388646125793,-1.3662345565990108e-07
dmc:reacher.hard.occ,hacsmv4_static,1,1,8,0.9041945338249207,0.9041945934295654,0.9041945934295654,0.0,0.5,1.1920928955078125e-07,1.0132789611816406e-06,0.8725389838218689,0.8725388646125793,-1.3662345565990108e-07
dmc:reacher.hard.occ,hacsmv4_static,1,2,32,0.9118140339851379,0.9118140339851379,0.9118139743804932,5.960464477539063e-08,0.5,0.0,3.5762786865234375e-07,0.8725389838218689,0.8725388646125793,-1.3662345565990108e-07
dmc:reacher.hard.occ,hacsmv4_static,2,0,2,0.8468731641769409,0.8468731641769409,0.8468732237815857,-5.960464477539063e-08,0.5,1.1920928955078125e-07,1.0728836059570312e-06,0.9182857275009155,0.9182856678962708,-6.490860471330961e-08
dmc:reacher.hard.occ,hacsmv4_static,2,1,8,0.9033556580543518,0.9033557772636414,0.9033557176589966,5.960464477539063e-08,0.5,0.0,8.344650268554688e-07,0.9182857275009155,0.9182856678962708,-6.490860471330961e-08
dmc:reacher.hard.occ,hacsmv4_static,2,2,32,0.9112843871116638,0.9112843871116638,0.9112843871116638,0.0,0.5,1.7881393432617188e-07,5.960464477539062e-07,0.9182857275009155,0.9182856678962708,-6.490860471330961e-08
dmc:reacher.hard.occ,hacsmv4_noaction,0,0,2,0.5432477593421936,0.8406882882118225,0.097087062895298,0.7436012029647827,1.0,0.36429259181022644,0.03317975625395775,0.8675361275672913,1.1326805353164673,0.30562925338745117
dmc:reacher.hard.occ,hacsmv4_noaction,0,1,8,0.6072081327438354,0.9048108458518982,0.1608038693666458,0.7440069913864136,1.0,0.36448934674263,0.02649480290710926,0.8675361275672913,1.1326805353164673,0.30562925338745117
dmc:reacher.hard.occ,hacsmv4_noaction,0,2,32,0.6215931177139282,0.9145321249961853,0.18218475580215454,0.7323473691940308,1.0,0.35877686738967896,0.02626810409128666,0.8675361275672913,1.1326805353164673,0.30562925338745117
dmc:reacher.hard.occ,hacsmv4_noaction,1,0,2,0.5437172055244446,0.8409351706504822,0.09789030998945236,0.7430448532104492,1.0,0.3640209436416626,0.032334621995687485,0.8578991889953613,1.122307538986206,0.30820444226264954
dmc:reacher.hard.occ,hacsmv4_noaction,1,1,8,0.6081444025039673,0.9052099585533142,0.16254626214504242,0.7426636815071106,1.0,0.3638312816619873,0.02565937116742134,0.8578991889953613,1.122307538986206,0.30820444226264954
dmc:reacher.hard.occ,hacsmv4_noaction,1,2,32,0.6220129132270813,0.9144657850265503,0.18333369493484497,0.7311320900917053,1.0,0.35818159580230713,0.025510642677545547,0.8578991889953613,1.122307538986206,0.30820444226264954
dmc:reacher.hard.occ,hacsmv4_noaction,2,0,2,0.5426577925682068,0.8411298990249634,0.09494943916797638,0.7461804747581482,1.0,0.3655567765235901,0.03367037698626518,0.875688910484314,1.0346319675445557,0.18150630593299866
dmc:reacher.hard.occ,hacsmv4_noaction,2,1,8,0.6076128482818604,0.906344473361969,0.15951529145240784,0.7468291521072388,1.0,0.3658718466758728,0.026895729824900627,0.875688910484314,1.0346319675445557,0.18150630593299866
dmc:reacher.hard.occ,hacsmv4_noaction,2,2,32,0.6192657351493835,0.9139238595962524,0.1772785633802414,0.7366452813148499,1.0,0.36088234186172485,0.026833180338144302,0.875688910484314,1.0346319675445557,0.18150630593299866
dmc:reacher.hard.occ,hacsmv4_noaux,0,0,2,0.542001485824585,0.844990074634552,0.08751843869686127,0.7574716210365295,1.0,0.37108805775642395,0.03009757027029991,0.8719156384468079,1.4144980907440186,0.6222878098487854
dmc:reacher.hard.occ,hacsmv4_noaux,0,1,8,0.5853468775749207,0.8929072618484497,0.12400653213262558,0.7689007520675659,1.0,0.37668466567993164,0.024169182404875755,0.8719156384468079,1.4144980907440186,0.6222878098487854
