env,design,seed,condition,mask_start,mask_end,n_episodes,first_post_mse
dmc:reacher.hard.occ,hacsmv4_noaction,2,longer,10,19,150,0.8948246240615845
dmc:reacher.hard.occ,hacsmv4_noaux,0,original,10,16,150,0.8725219964981079
dmc:reacher.hard.occ,hacsmv4_noaux,0,early,6,12,150,0.8313015103340149
dmc:reacher.hard.occ,hacsmv4_noaux,0,late,14,20,150,0.8661475777626038
dmc:reacher.hard.occ,hacsmv4_noaux,0,longer,10,19,150,0.9194605946540833
dmc:reacher.hard.occ,hacsmv4_noaux,1,original,10,16,150,0.8574427366256714
dmc:reacher.hard.occ,hacsmv4_noaux,1,early,6,12,150,0.8202833533287048
dmc:reacher.hard.occ,hacsmv4_noaux,1,late,14,20,150,0.8395106792449951
dmc:reacher.hard.occ,hacsmv4_noaux,1,longer,10,19,150,0.9260098338127136
dmc:reacher.hard.occ,hacsmv4_noaux,2,original,10,16,150,0.8786936402320862
dmc:reacher.hard.occ,hacsmv4_noaux,2,early,6,12,150,0.8292309045791626
dmc:reacher.hard.occ,hacsmv4_noaux,2,late,14,20,150,0.8569509983062744
dmc:reacher.hard.occ,hacsmv4_noaux,2,longer,10,19,150,0.9112463593482971
dmc:reacher.hard.occ,hacsmv4_single,0,original,10,16,150,0.8945800065994263
dmc:reacher.hard.occ,hacsmv4_single,0,early,6,12,150,0.8521679043769836
dmc:reacher.hard.occ,hacsmv4_single,0,late,14,20,150,0.8945797085762024
dmc:reacher.hard.occ,hacsmv4_single,0,longer,10,19,150,0.9289762377738953
dmc:reacher.hard.occ,hacsmv4_single,1,original,10,16,150,0.8823825120925903
dmc:reacher.hard.occ,hacsmv4_single,1,early,6,12,150,0.8451690077781677
dmc:reacher.hard.occ,hacsmv4_single,1,late,14,20,150,0.8705630898475647
dmc:reacher.hard.occ,hacsmv4_single,1,longer,10,19,150,0.9195540547370911
dmc:reacher.hard.occ,hacsmv4_single,2,original,10,16,150,0.8972957730293274
dmc:reacher.hard.occ,hacsmv4_single,2,early,6,12,150,0.8527216911315918
dmc:reacher.hard.occ,hacsmv4_single,2,late,14,20,150,0.8891878724098206
dmc:reacher.hard.occ,hacsmv4_single,2,longer,10,19,150,0.9136413931846619
dmc:reacher.hard.occ,hacsmv4,0,original,10,16,150,0.8745564818382263
dmc:reacher.hard.occ,hacsmv4,0,early,6,12,150,0.8332046866416931
dmc:reacher.hard.occ,hacsmv4,0,late,14,20,150,0.8692822456359863
dmc:reacher.hard.occ,hacsmv4,0,longer,10,19,150,0.9201937317848206
dmc:reacher.hard.occ,hacsmv4,1,original,10,16,150,0.8601340055465698
dmc:reacher.hard.occ,hacsmv4,1,early,6,12,150,0.8221144080162048
dmc:reacher.hard.occ,hacsmv4,1,late,14,20,150,0.8454979658126831
dmc:reacher.hard.occ,hacsmv4,1,longer,10,19,150,0.9107170104980469
dmc:reacher.hard.occ,hacsmv4,2,original,10,16,150,0.8802207708358765
dmc:reacher.hard.occ,hacsmv4,2,early,6,12,150,0.8357657790184021
dmc:reacher.hard.occ,hacsmv4,2,late,14,20,150,0.8621179461479187
dmc:reacher.hard.occ,hacsmv4,2,longer,10,19,150,0.9073523283004761
dmc:ball_in_cup.catch.occ,none,0,original,10,16,150,1.155936598777771
dmc:ball_in_cup.catch.occ,none,0,early,6,12,150,1.339845061302185
dmc:ball_in_cup.catch.occ,none,0,late,14,20,150,1.4721319675445557
dmc:ball_in_cup.catch.occ,none,0,longer,10,19,150,1.3706248998641968
dmc:ball_in_cup.catch.occ,none,1,original,10,16,150,1.1602907180786133
dmc:ball_in_cup.catch.occ,none,1,early,6,12,150,1.349796175956726
dmc:ball_in_cup.catch.occ,none,1,late,14,20,150,1.4757683277130127
dmc:ball_in_cup.catch.occ,none,1,longer,10,19,150,1.3682342767715454
dmc:ball_in_cup.catch.occ,none,2,original,10,16,150,1.1569596529006958
dmc:ball_in_cup.catch.occ,none,2,early,6,12,150,1.3392930030822754
dmc:ball_in_cup.catch.occ,none,2,late,14,20,150,1.4768115282058716
dmc:ball_in_cup.catch.occ,none,2,longer,10,19,150,1.3743590116500854
dmc:ball_in_cup.catch.occ,multi,0,original,10,16,150,1.2424081563949585
dmc:ball_in_cup.catch.occ,multi,0,early,6,12,150,1.4599790573120117
dmc:ball_in_cup.catch.occ,multi,0,late,14,20,150,1.8961483240127563
dmc:ball_in_cup.catch.occ,multi,0,longer,10,19,150,1.5805609226226807
dmc:ball_in_cup.catch.occ,multi,1,original,10,16,150,1.2082269191741943
dmc:ball_in_cup.catch.occ,multi,1,early,6,12,150,1.4798600673675537
dmc:ball_in_cup.catch.occ,multi,1,late,14,20,150,1.8320605754852295
dmc:ball_in_cup.catch.occ,multi,1,longer,10,19,150,1.5253030061721802
dmc:ball_in_cup.catch.occ,multi,2,original,10,16,150,1.187524676322937
dmc:ball_in_cup.catch.occ,multi,2,early,6,12,150,1.4086291790008545
dmc:ball_in_cup.catch.occ,multi,2,late,14,20,150,1.8060517311096191
dmc:ball_in_cup.catch.occ,multi,2,longer,10,19,150,1.5599664449691772
dmc:ball_in_cup.catch.occ,ssm,0,original,10,16,150,0.9605134129524231
dmc:ball_in_cup.catch.occ,ssm,0,early,6,12,150,1.3680574893951416
dmc:ball_in_cup.catch.occ,ssm,0,late,14,20,150,1.5874983072280884
dmc:ball_in_cup.catch.occ,ssm,0,longer,10,19,150,1.294730305671692
dmc:ball_in_cup.catch.occ,ssm,1,original,10,16,150,1.0210812091827393
dmc:ball_in_cup.catch.occ,ssm,1,early,6,12,150,1.4711683988571167
dmc:ball_in_cup.catch.occ,ssm,1,late,14,20,150,1.552613615989685
dmc:ball_in_cup.catch.occ,ssm,1,longer,10,19,150,1.2855180501937866
dmc:ball_in_cup.catch.occ,ssm,2,original,10,16,150,0.9510732293128967
dmc:ball_in_cup.catch.occ,ssm,2,early,6,12,150,1.3242394924163818
dmc:ball_in_cup.catch.occ,ssm,2,late,14,20,150,1.687475323677063
dmc:ball_in_cup.catch.occ,ssm,2,longer,10,19,150,1.375855803489685
dmc:ball_in_cup.catch.occ,smtv3,0,original,10,16,150,1.1609759330749512
dmc:ball_in_cup.catch.occ,smtv3,0,early,6,12,150,1.4901577234268188
dmc:ball_in_cup.catch.occ,smtv3,0,late,14,20,150,1.8406140804290771
dmc:ball_in_cup.catch.occ,smtv3,0,longer,10,19,150,1.681485891342163
dmc:ball_in_cup.catch.occ,smtv3,1,original,10,16,150,1.2097129821777344
dmc:ball_in_cup.catch.occ,smtv3,1,early,6,12,150,1.4968699216842651
dmc:ball_in_cup.catch.occ,smtv3,1,late,14,20,150,1.7508736848831177
dmc:ball_in_cup.catch.occ,smtv3,1,longer,10,19,150,1.640066146850586
dmc:ball_in_cup.catch.occ,smtv3,2,original,10,16,150,1.142981767654419
dmc:ball_in_cup.catch.occ,smtv3,2,early,6,12,150,1.4858613014221191
dmc:ball_in_cup.catch.occ,smtv3,2,late,14,20,150,1.7431576251983643
dmc:ball_in_cup.catch.occ,smtv3,2,longer,10,19,150,1.597283959388733
dmc:ball_in_cup.catch.occ,hacsmv4_static,0,original,10,16,150,0.971075177192688
dmc:ball_in_cup.catch.occ,hacsmv4_static,0,early,6,12,150,1.3940175771713257
dmc:ball_in_cup.catch.occ,hacsmv4_static,0,late,14,20,150,1.6190838813781738
dmc:ball_in_cup.catch.occ,hacsmv4_static,0,longer,10,19,150,1.409644365310669
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,original,10,16,150,0.9988017082214355
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,early,6,12,150,1.371185302734375
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,late,14,20,150,1.7180287837982178
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,longer,10,19,150,1.4637364149093628
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,original,10,16,150,0.9714155197143555
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,early,6,12,150,1.339743733406067
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,late,14,20,150,1.6680395603179932
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,longer,10,19,150,1.4350937604904175
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,original,10,16,150,1.097359538078308
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,early,6,12,150,1.366895318031311
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,late,14,20,150,1.7467659711837769
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,longer,10,19,150,1.4307022094726562
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,original,10,16,150,1.1501591205596924
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,early,6,12,150,1.4376150369644165
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,late,14,20,150,1.732362151145935
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,longer,10,19,150,1.4816269874572754
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,original,10,16,150,1.1115634441375732
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,early,6,12,150,1.4287809133529663
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,late,14,20,150,1.6816121339797974
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,longer,10,19,150,1.3961377143859863
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,original,10,16,150,1.0388480424880981
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,early,6,12,150,1.5103894472122192
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,late,14,20,150,1.708873987197876
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,longer,10,19,150,1.4633667469024658
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,original,10,16,150,1.0454378128051758
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,early,6,12,150,1.4900134801864624
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,late,14,20,150,1.7783085107803345
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,longer,10,19,150,1.5013794898986816
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,original,10,16,150,1.0641939640045166
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,early,6,12,150,1.4408551454544067
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,late,14,20,150,1.7048331499099731
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,longer,10,19,150,1.4550551176071167
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,original,10,16,150,0.9844505190849304
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,early,6,12,150,1.4869511127471924
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,late,14,20,150,1.5702543258666992
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,longer,10,19,150,1.3590623140335083
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,original,10,16,150,0.9873605370521545
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,early,6,12,150,1.447858214378357
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,late,14,20,150,1.7218823432922363
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,longer,10,19,150,1.4593758583068848
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,original,10,16,150,0.9788873791694641
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,early,6,12,150,1.3737292289733887
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,late,14,20,150,1.6937010288238525
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,longer,10,19,150,1.4139225482940674
dmc:ball_in_cup.catch.occ,hacsmv4,0,original,10,16,150,1.0093117952346802
dmc:ball_in_cup.catch.occ,hacsmv4,0,early,6,12,150,1.4775638580322266
dmc:ball_in_cup.catch.occ,hacsmv4,0,late,14,20,150,1.8438204526901245
dmc:ball_in_cup.catch.occ,hacsmv4,0,longer,10,19,150,1.573239803314209
dmc:ball_in_cup.catch.occ,hacsmv4,1,original,10,16,150,1.0398101806640625
dmc:ball_in_cup.catch.occ,hacsmv4,1,early,6,12,150,1.4713120460510254
dmc:ball_in_cup.catch.occ,hacsmv4,1,late,14,20,150,1.7900769710540771
dmc:ball_in_cup.catch.occ,hacsmv4,1,longer,10,19,150,1.5241941213607788
dmc:ball_in_cup.catch.occ,hacsmv4,2,original,10,16,150,1.036300539970398
dmc:ball_in_cup.catch.occ,hacsmv4,2,early,6,12,150,1.4079248905181885
dmc:ball_in_cup.catch.occ,hacsmv4,2,late,14,20,150,1.7318115234375
dmc:ball_in_cup.catch.occ,hacsmv4,2,longer,10,19,150,1.498315453529358
dmc:finger.spin.occ,none,0,original,10,16,150,1.8160488605499268
dmc:finger.spin.occ,none,0,early,6,12,150,1.7966972589492798
dmc:finger.spin.occ,none,0,late,14,20,150,1.758729338645935
