env,design,n_seeds,val_pred_loss_mean,val_pred_loss_std,clean_mse_pre_mean,clean_mse_pre_std,clean_mse_blackout_transition_mean,clean_mse_blackout_transition_std,clean_mse_deep_blackout_mean,clean_mse_deep_blackout_std,clean_mse_first_post_mean,clean_mse_first_post_std,clean_mse_recovery_mean,clean_mse_recovery_std,clean_mse_late_post_mean,clean_mse_late_post_std,clean_mse_all_mean,clean_mse_all_std,clean_mse_first_post_ablated_mean,clean_mse_first_post_ablated_std,clean_input_mse_first_post_mean,clean_input_mse_first_post_std,last_visible_mse_first_post_mean,last_visible_mse_first_post_std,constant_mse_first_post_mean,constant_mse_first_post_std,persistence_mse_first_post_mean,persistence_mse_first_post_std,trainable_parameters_mean,trainable_parameters_std,val_hier_loss_mean,val_hier_loss_std,val_hier_loss_fast_mean,val_hier_loss_fast_std,val_hier_loss_medium_mean,val_hier_loss_medium_std,val_hier_loss_slow_mean,val_hier_loss_slow_std,val_hier_loss_h1_mean,val_hier_loss_h1_std,val_hier_loss_h2_mean,val_hier_loss_h2_std,val_hier_loss_h4_mean,val_hier_loss_h4_std,val_hier_loss_h8_mean,val_hier_loss_h8_std,val_hier_loss_h16_mean,val_hier_loss_h16_std
dmc:ball_in_cup.catch.occ,hacsmv4,3,0.8722900655534532,0.006347709723409136,0.6229991515477499,0.0038111952513070254,0.7890203595161438,0.027149936959886094,1.1556978623072307,0.021857819524552367,1.02847421169281,0.013625502421403233,0.8050288756688436,0.004655541820650968,0.7285314798355103,0.0006944583247814386,0.7691238323847452,0.00597545592483472,1.657561977704366,0.07146311662549719,0.730085571606954,0.011063646694181964,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,851078.0,0.0,1.2947119251887003,0.001941371356334943,1.094251275062561,0.00037445544332832885,1.2697407807244194,0.0012831919630127806,1.5201436683866714,0.004657848321651051,1.0558791658613416,0.00048144296116776826,1.1326233953899807,0.0002692880669502367,1.217360724873013,0.0008399931648474905,1.3221208254496257,0.002234475926876153,1.5201436683866714,0.004657848321651051
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,3,0.9187890577316284,0.012353928637274334,0.6159710089365641,0.005607800597949411,0.8427274823188782,0.028970224090687648,1.1556054751078289,0.021034826998505004,1.1196941137313843,0.022308983434181022,0.8026323517163595,0.0074741982395105915,0.7288136680920919,0.0013296454942168412,0.7760804295539856,0.00530194873381842,1.7033976316452026,0.054144883266837994,0.7276301582654318,0.018366725245713915,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,851078.0,0.0,1.3334841383828058,0.003946422497427716,1.086028798951043,0.001091957538227934,1.3387438689337836,0.0028971965957520548,1.5756796338823107,0.01005172950679905,1.0482723763253954,0.0012582367548375469,1.1237852583991157,0.0009351718375606189,1.254006846745809,0.0013383926066988154,1.4234808683395386,0.004580306763900502,1.5756796338823107,0.01005172950679905
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,3,0.8817714256710476,0.004502012361978927,0.6247893770535787,0.0028422527275657325,0.785620371500651,0.014039403532974873,1.1432093381881714,0.012137664415242328,1.0494932730992634,0.01073751178341527,0.7967420617739359,0.01669847520240838,0.7235873738924662,0.002065568769045409,0.7658492724100748,0.0040092860609586565,1.816080133120219,0.05533553985175815,0.7184421221415201,0.01259195830330385,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,851078.0,0.0,1.6703936269548205,0.008739987829428291,1.2130378739039103,0.007162888622451267,1.5663855181799995,0.006875054446509321,2.2317573240068223,0.012683578604847702,1.167926131884257,0.008145044609727198,1.2581496047973633,0.006200937995817197,1.4512741284900241,0.004660771799272335,1.6814968797895644,0.009495341302459872,2.2317573240068223,0.012683578604847702
dmc:ball_in_cup.catch.occ,hacsmv4_single,3,0.8452026504940456,0.0027167448879332,0.6132937073707581,0.0032144772718342247,0.7862335244814554,0.03181182505618098,1.1238031387329102,0.005024346415203132,0.9835660457611084,0.0035151965575458168,0.7988564570744833,0.00567045572074177,0.7217666904131571,0.0012918225364068649,0.7581865986188253,0.004464351272966874,1.646459698677063,0.06022819276402965,0.7329909404118856,0.019368563502621283,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,851078.0,0.0,1.3046119525697497,0.0010999417173522448,1.094704442024231,0.0007394848780133161,1.2750849633746677,0.000662484919835316,1.5440462594562108,0.0034323969933586964,1.0574816444185045,0.0008319191671493038,1.1319272168477377,0.0006749462456162536,1.2134088134765626,0.0009728785591644102,1.3367610963185628,0.001166128473684986,1.5440462594562108,0.0034323969933586964
dmc:ball_in_cup.catch.occ,hacsmv4_static,3,0.8425497791502211,0.006555333206335414,0.6072437564531962,0.0007035968067136573,0.7578384677569071,0.014136387139262817,1.1209011872609456,0.023902843066912496,0.9804307421048483,0.01299089374575972,0.7895262241363525,0.003138901251154316,0.7228610316912333,0.0020939175970606486,0.7532276709874471,0.002126238314007002,1.593731125195821,0.042829565970309465,0.7296244700749716,0.006804172788659103,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,851078.0,0.0,1.3218224377102321,0.00046622782401495614,1.097371818224589,0.00048432960271640346,1.275657942559984,0.0007141166122986336,1.5924373881022136,0.0003690996708626266,1.0577339522043865,0.00039736726781584706,1.1370096672905816,0.0005795806033603453,1.2049277496337891,0.0007817045326273283,1.3463881921768188,0.0006853449212437278,1.5924373881022136,0.0003690996708626266
dmc:ball_in_cup.catch.occ,multi,3,0.9626983131302728,0.009685591457744211,0.6076495250066122,0.006739961636610023,0.8371691306432089,0.033645546984876123,1.1557187636693318,0.03228862660434388,1.2127199172973633,0.022630206514083408,0.7476460536321005,0.0038611863813548834,0.7253850301106771,0.008606945776517539,0.7713871200879415,0.006502213422202442,1.2744645675023396,0.01576485735794588,0.7307878335316976,0.014777206128090522,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,914816.0,0.0,,,,,,,,,,,,,,,,,,
dmc:ball_in_cup.catch.occ,none,3,0.9357983260684543,0.0013040901942048251,0.6089529196421305,0.005716020248095209,1.0407244364420574,0.004637394198484438,1.2538195848464966,0.004694262396490183,1.157728950182597,0.0018590515664101749,0.7902464469273885,0.0041110548448905,0.7244665821393331,0.003120044672927246,0.8035375873247782,0.001161070395462803,1.157728950182597,0.0018590515664101749,0.7334638833999634,0.003395031394659897,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,849280.0,0.0,,,,,,,,,,,,,,,,,,
dmc:ball_in_cup.catch.occ,smtv3,3,0.9486771747801039,0.015266423347034125,0.6243281364440918,0.0036095823016954157,0.8782022595405579,0.034995620278569846,1.3431915839513142,0.01657459760136527,1.171223521232605,0.028190132761282093,0.8052490949630737,0.004173637016999446,0.7345376213391622,0.0034199059140993327,0.805696169535319,0.004281374176087429,2.4131035804748535,0.14516759837616172,0.7330853541692098,0.0085143425748796,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,833159.0,0.0,,,,,,,,,,,,,,,,,,
dmc:ball_in_cup.catch.occ,ssm,3,0.8393449152840509,0.017437580300610243,0.6120660503705343,0.007507300277906151,0.8427457610766093,0.04038127818529168,1.0330297152201335,0.0429103270819193,0.9775559902191162,0.031017420525534755,0.7575882077217102,0.01587486024011239,0.7191449403762817,0.0009354376282943803,0.7501174410184225,0.008124610942988702,1.7281190156936646,0.13794849844192977,0.688610831896464,0.005565107653716406,2.2903213500976562,0.0,1.2641915082931519,0.0,16.771806716918945,0.0,849536.0,0.0,,,,,,,,,,,,,,,,,,
dmc:cheetah.run.occ,hacsmv4,3,0.3969141724374559,0.0053593801161882755,0.15154442687829336,0.0013103487543237625,0.3935575683911641,0.01511205422787775,0.6067047317822775,0.0033139915775169905,0.6065690914789835,0.011066472727543344,0.1944034198919932,0.0008463875334899225,0.17313664158185324,0.0009887342850277646,0.2519913911819458,0.001521378202031214,1.1102080742518108,0.03816394118695401,0.1634234438339869,0.0010405088699110454,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,851078.0,0.0,0.6793599398930867,0.0008045384159302028,0.5578806395000881,0.00035656664692752116,0.683158417807685,0.0004391704033966286,0.7970406860775417,0.0016866993790932159,0.528538822862837,0.00032231927648144364,0.5872224617004395,0.00041244604691544534,0.6611714930004544,0.000341658556944825,0.7051453227467007,0.0005368240346525377,0.7970406860775417,0.0016866993790932159
