env,design,seed,condition,original_first_post_mse,intervention_first_post_mse,relative_change,changed_action_fraction
dmc:reacher.hard.occ,ssm,0,zero_early_blackout,0.8383522033691406,0.8383522033691406,0.0,0.09677419066429138
dmc:reacher.hard.occ,ssm,0,zero_full_gap,0.8383522033691406,0.8383522033691406,0.0,0.19354838132858276
dmc:reacher.hard.occ,ssm,0,cross_episode_early_blackout,0.8383522033691406,0.8383522033691406,0.0,0.08473118394613266
dmc:reacher.hard.occ,ssm,1,zero_early_blackout,0.8058370351791382,0.8058370351791382,0.0,0.09677419066429138
dmc:reacher.hard.occ,ssm,1,zero_full_gap,0.8058370351791382,0.8058370351791382,0.0,0.19354838132858276
dmc:reacher.hard.occ,ssm,1,cross_episode_early_blackout,0.8058370351791382,0.8058370351791382,0.0,0.08473118394613266
dmc:reacher.hard.occ,ssm,2,zero_early_blackout,0.8105696439743042,0.8105696439743042,0.0,0.09677419066429138
dmc:reacher.hard.occ,ssm,2,zero_full_gap,0.8105696439743042,0.8105696439743042,0.0,0.19354838132858276
dmc:reacher.hard.occ,ssm,2,cross_episode_early_blackout,0.8105696439743042,0.8105696439743042,0.0,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_static,0,zero_early_blackout,0.8999018669128418,0.8974717259407043,-0.002700451062992215,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_static,0,zero_full_gap,0.8999018669128418,0.8994331359863281,-0.0005208689253777266,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_static,0,cross_episode_early_blackout,0.8999018669128418,0.8979595899581909,-0.002158320741727948,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_static,1,zero_early_blackout,0.8725389838218689,0.8687502145767212,-0.004342234693467617,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_static,1,zero_full_gap,0.8725389838218689,0.8697894215583801,-0.0031512200366705656,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_static,1,cross_episode_early_blackout,0.8725389838218689,0.8693943619728088,-0.003603990189731121,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_static,2,zero_early_blackout,0.9182857275009155,0.9126074314117432,-0.006183583289384842,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_static,2,zero_full_gap,0.9182857275009155,0.9130890965461731,-0.005659056827425957,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_static,2,cross_episode_early_blackout,0.9182857275009155,0.9160908460617065,-0.0023901944514364004,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_noaction,0,zero_early_blackout,0.8675361275672913,0.8675361275672913,0.0,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_noaction,0,zero_full_gap,0.8675361275672913,0.8675361275672913,0.0,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_noaction,0,cross_episode_early_blackout,0.8675361275672913,0.8675361275672913,0.0,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_noaction,1,zero_early_blackout,0.8578991889953613,0.8578991889953613,0.0,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_noaction,1,zero_full_gap,0.8578991889953613,0.8578991889953613,0.0,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_noaction,1,cross_episode_early_blackout,0.8578991889953613,0.8578991889953613,0.0,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_noaction,2,zero_early_blackout,0.875688910484314,0.875688910484314,0.0,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_noaction,2,zero_full_gap,0.875688910484314,0.875688910484314,0.0,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_noaction,2,cross_episode_early_blackout,0.875688910484314,0.875688910484314,0.0,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_noaux,0,zero_early_blackout,0.8719156384468079,0.8595322966575623,-0.014202454127371311,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_noaux,0,zero_full_gap,0.8719156384468079,0.8572066426277161,-0.016869746148586273,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_noaux,0,cross_episode_early_blackout,0.8719156384468079,0.8680609464645386,-0.0044209458865225315,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_noaux,1,zero_early_blackout,0.8574007153511047,0.8440044522285461,-0.0156242735683918,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_noaux,1,zero_full_gap,0.8574007153511047,0.8397372364997864,-0.020601194351911545,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_noaux,1,cross_episode_early_blackout,0.8574007153511047,0.8524565100669861,-0.005766504909843206,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_noaux,2,zero_early_blackout,0.8786295056343079,0.8660891056060791,-0.01427268236875534,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_noaux,2,zero_full_gap,0.8786295056343079,0.8613948822021484,-0.019615348428487778,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_noaux,2,cross_episode_early_blackout,0.8786295056343079,0.8748031854629517,-0.004354873206466436,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_single,0,zero_early_blackout,0.8941507339477539,0.8884468674659729,-0.006379088386893272,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_single,0,zero_full_gap,0.8941507339477539,0.88470458984375,-0.010564375668764114,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_single,0,cross_episode_early_blackout,0.8941507339477539,0.892992377281189,-0.0012954825069755316,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_single,1,zero_early_blackout,0.8829328417778015,0.8758296966552734,-0.008044944144785404,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_single,1,zero_full_gap,0.8829328417778015,0.8729823231697083,-0.011269847862422466,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_single,1,cross_episode_early_blackout,0.8829328417778015,0.8803507685661316,-0.0029244276229292154,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4_single,2,zero_early_blackout,0.8975134491920471,0.8898054957389832,-0.008588120341300964,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4_single,2,zero_full_gap,0.8975134491920471,0.8864374160766602,-0.01234079897403717,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4_single,2,cross_episode_early_blackout,0.8975134491920471,0.8950441479682922,-0.0027512693777680397,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4,0,zero_early_blackout,0.874364972114563,0.8661959171295166,-0.009342843666672707,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4,0,zero_full_gap,0.874364972114563,0.862947404384613,-0.013058125972747803,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4,0,cross_episode_early_blackout,0.874364972114563,0.8715163469314575,-0.0032579360995441675,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4,1,zero_early_blackout,0.8606797456741333,0.8508411645889282,-0.011431175284087658,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4,1,zero_full_gap,0.8606797456741333,0.849129855632782,-0.0134194977581501,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4,1,cross_episode_early_blackout,0.8606797456741333,0.8560224771499634,-0.005411151330918074,0.08473118394613266
dmc:reacher.hard.occ,hacsmv4,2,zero_early_blackout,0.8807066082954407,0.8688194155693054,-0.013497335836291313,0.09677419066429138
dmc:reacher.hard.occ,hacsmv4,2,zero_full_gap,0.8807066082954407,0.864894449710846,-0.017953945323824883,0.19354838132858276
dmc:reacher.hard.occ,hacsmv4,2,cross_episode_early_blackout,0.8807066082954407,0.8776320815086365,-0.0034909772220999002,0.08473118394613266
dmc:ball_in_cup.catch.occ,ssm,0,zero_early_blackout,0.9603871703147888,0.9603871703147888,0.0,0.09677419066429138
dmc:ball_in_cup.catch.occ,ssm,0,zero_full_gap,0.9603871703147888,0.9603871703147888,0.0,0.19354838132858276
dmc:ball_in_cup.catch.occ,ssm,0,cross_episode_early_blackout,0.9603871703147888,0.9603871703147888,0.0,0.08473118394613266
dmc:ball_in_cup.catch.occ,ssm,1,zero_early_blackout,1.0208358764648438,1.0208358764648438,0.0,0.09677419066429138
dmc:ball_in_cup.catch.occ,ssm,1,zero_full_gap,1.0208358764648438,1.0208358764648438,0.0,0.19354838132858276
dmc:ball_in_cup.catch.occ,ssm,1,cross_episode_early_blackout,1.0208358764648438,1.0208358764648438,0.0,0.08473118394613266
dmc:ball_in_cup.catch.occ,ssm,2,zero_early_blackout,0.9510437250137329,0.9510437250137329,0.0,0.09677419066429138
dmc:ball_in_cup.catch.occ,ssm,2,zero_full_gap,0.9510437250137329,0.9510437250137329,0.0,0.19354838132858276
dmc:ball_in_cup.catch.occ,ssm,2,cross_episode_early_blackout,0.9510437250137329,0.9510437250137329,0.0,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_static,0,zero_early_blackout,0.9702358245849609,1.0133030414581299,0.04438840225338936,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_static,0,zero_full_gap,0.9702358245849609,1.0763731002807617,0.10939327627420425,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_static,0,cross_episode_early_blackout,0.9702358245849609,1.0608924627304077,0.09343773871660233,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,zero_early_blackout,0.9993216395378113,1.0379618406295776,0.03866643086075783,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,zero_full_gap,0.9993216395378113,1.1091694831848145,0.10992240905761719,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,cross_episode_early_blackout,0.9993216395378113,1.1093733310699463,0.11012639850378036,0.08473118394613266
