run,env,design,seed,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,trainable_parameters,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s0,dmc:ball_in_cup.catch.occ,hacsmv4,0,0.8634400081634521,0.62803715467453,0.8177416920661926,1.184591293334961,1.0093116760253906,0.811214029788971,0.7289284467697144,0.7762437462806702,1.749711275100708,0.740932822227478,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.2936933946609497,1.093762084643046,1.269807144800822,1.5175108528137207,1.0552648480733235,1.132259422938029,1.2183881282806397,1.321226110458374,1.5175108528137207
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s1,dmc:ball_in_cup.catch.occ,hacsmv4,1,0.8780179723103841,0.6221389770507812,0.7967275977134705,1.1507655382156372,1.039810299873352,0.7999820709228516,0.7291109561920166,0.7695058584213257,1.6474295854568481,0.7344271540641785,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.2974292055765788,1.0943202431996664,1.2712781302134195,1.5266892766952516,1.0559320783615112,1.1327083396911621,1.2173634672164917,1.3251928615570068,1.5266892766952516
lewm-dmc:ball_in_cup.catch.occ-hacsmv4-s2,dmc:ball_in_cup.catch.occ,hacsmv4,2,0.8754122161865234,0.6188213229179382,0.7525917887687683,1.1317367553710938,1.0363006591796875,0.8038905262947083,0.7275550365447998,0.76162189245224,1.575545072555542,0.7148967385292053,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.2930131753285725,1.0946714973449707,1.2681370671590169,1.5162308756510416,1.0564405711491902,1.1329024235407512,1.2163305791219075,1.3199435043334962,1.5162308756510416
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaction-s0,dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,0.9070586125055949,0.615455687046051,0.8836891055107117,1.1733945608139038,1.097359538078308,0.811531662940979,0.7274472117424011,0.7812647223472595,1.6968101263046265,0.7525768280029297,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.3373589992523194,1.0849499448140463,1.3418638229370117,1.585262975692749,1.0469310983022053,1.1229688596725464,1.255802173614502,1.4279254547754923,1.585262975692749
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaction-s1,dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,0.9358670775095622,0.6230822801589966,0.8229677081108093,1.1673593521118164,1.1501593589782715,0.7932433485984802,0.7306156158447266,0.7781795859336853,1.772759199142456,0.721422016620636,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.328068135579427,1.087525102297465,1.3348838837941488,1.561795352300008,1.049955670038859,1.125094534556071,1.2525900077819825,1.417177759806315,1.561795352300008
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaction-s2,dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,0.9134414831797282,0.6093750596046448,0.8215256333351135,1.1260625123977661,1.1115634441375732,0.8031220436096191,0.728378176689148,0.768796980381012,1.6406235694885254,0.7088916301727295,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.3350252803166707,1.0856113497416178,1.3394839000701904,1.5799805736541748,1.0479303606351216,1.1232923809687296,1.2536283588409425,1.4253393904368084,1.5799805736541748
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s0,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,0.8771766177813212,0.6272358298301697,0.8022732734680176,1.1513572931289673,1.0388480424880981,0.8203201293945312,0.7220370173454285,0.7695693969726562,1.8764729499816895,0.7361976504325867,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.6681688563028971,1.208289623260498,1.5666194089253744,2.2295971457163493,1.1620615990956624,1.2545175457000732,1.453651032447815,1.6795877520243327,2.2295971457163493
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s1,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,0.8802520275115967,0.62632817029953,0.7866570353507996,1.1522194147109985,1.0454376935958862,0.7860996127128601,0.7265066504478455,0.767694890499115,1.828983187675476,0.7107442021369934,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.6609765831629435,1.207662738164266,1.5578508218129477,2.2174163246154786,1.1622724755605063,1.253053069114685,1.4447614924112955,1.6709402020772297,2.2174163246154786
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_noaux-s2,dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,0.887885631720225,0.6208041310310364,0.767930805683136,1.1260513067245483,1.0641940832138062,0.7838064432144165,0.7222184538841248,0.7602835297584534,1.7427842617034912,0.7083845138549805,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.6820354413986207,1.223161260286967,1.5746863238016764,2.2482585016886394,1.1794443209966023,1.2668781995773315,1.455409860610962,1.6939626852671306,2.2482585016886394
lewm-dmc:ball_in_cup.catch.occ-hacsmv4_single-s0,dmc:ball_in_cup.catch.occ,hacsmv4_single,0,0.8452344250679016,0.6137600541114807,0.8096378445625305,1.116707682609558,0.9844503998756409,0.7976446747779846,0.7201817631721497,0.759222686290741,1.5942325592041016,0.7163876891136169,2.2903213500976562,1.2641915082931519,16.771806716918945,851078,1.3035151704152426,1.09574253877004,1.2750596729914347,1.539743061065674,1.058656571706136,1.1328285058339438,1.2145637639363607,1.3355555820465088,1.539743061065674
