run,env,design,seed,previous_window_mean,recent_window_mean,relative_improvement
lewm-dmc:cheetah.run.occ-hacsmv4_noaction-s2,dmc:cheetah.run.occ,hacsmv4_noaction,2,0.5016647023359935,0.5052194641431172,-0.0070859316802060895
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s0,dmc:cheetah.run.occ,hacsmv4_noaux,0,0.3885522180000941,0.3880554709831874,0.0012784562637771317
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s1,dmc:cheetah.run.occ,hacsmv4_noaux,1,0.384059793194135,0.38371227288246157,0.0009048599146065516
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s2,dmc:cheetah.run.occ,hacsmv4_noaux,2,0.39225728754202527,0.3946475907166799,-0.006093712597751334
lewm-dmc:cheetah.run.occ-hacsmv4_single-s0,dmc:cheetah.run.occ,hacsmv4_single,0,0.39725073301792146,0.40215414090951285,-0.012343357693364336
lewm-dmc:cheetah.run.occ-hacsmv4_single-s1,dmc:cheetah.run.occ,hacsmv4_single,1,0.39686813243230185,0.39689729758103687,-7.348826058740552e-05
lewm-dmc:cheetah.run.occ-hacsmv4_single-s2,dmc:cheetah.run.occ,hacsmv4_single,2,0.4037954667011897,0.4019415850241979,0.004591140391290419
lewm-dmc:cheetah.run.occ-hacsmv4_static-s0,dmc:cheetah.run.occ,hacsmv4_static,0,0.38838198761145276,0.3942339457273483,-0.015067532230021979
lewm-dmc:cheetah.run.occ-hacsmv4_static-s1,dmc:cheetah.run.occ,hacsmv4_static,1,0.389777063091596,0.3982361873785655,-0.02170246812337859
lewm-dmc:cheetah.run.occ-hacsmv4_static-s2,dmc:cheetah.run.occ,hacsmv4_static,2,0.38981070880095164,0.39132700101534523,-0.003889816724270267
lewm-dmc:cheetah.run.occ-multi-s0,dmc:cheetah.run.occ,multi,0,0.47586511611938476,0.4848888711929321,-0.01896284213294484
lewm-dmc:cheetah.run.occ-multi-s1,dmc:cheetah.run.occ,multi,1,0.480594162384669,0.4912076046466827,-0.02208400162280516
lewm-dmc:cheetah.run.occ-multi-s2,dmc:cheetah.run.occ,multi,2,0.48292241263389585,0.48537156796455383,-0.0050715296424121235
lewm-dmc:cheetah.run.occ-none-s0,dmc:cheetah.run.occ,none,0,0.40714678502082824,0.4086978160937627,-0.003809513251725976
lewm-dmc:cheetah.run.occ-none-s1,dmc:cheetah.run.occ,none,1,0.40697908314069114,0.4093870938618978,-0.005916792338868742
lewm-dmc:cheetah.run.occ-none-s2,dmc:cheetah.run.occ,none,2,0.4045581301053365,0.40541912511984507,-0.0021282355993795287
lewm-dmc:cheetah.run.occ-smtv3-s0,dmc:cheetah.run.occ,smtv3,0,0.5146115814050038,0.5176417646408081,-0.005888291957074133
lewm-dmc:cheetah.run.occ-smtv3-s1,dmc:cheetah.run.occ,smtv3,1,0.49677705057462057,0.5019037216504415,-0.010319862944334741
lewm-dmc:cheetah.run.occ-smtv3-s2,dmc:cheetah.run.occ,smtv3,2,0.5298725504080455,0.5278090587457022,0.0038943169650027375
lewm-dmc:cheetah.run.occ-ssm-s0,dmc:cheetah.run.occ,ssm,0,0.4038376746972402,0.4120581582387288,-0.020355910447561843
lewm-dmc:cheetah.run.occ-ssm-s1,dmc:cheetah.run.occ,ssm,1,0.40924012808005017,0.4172812993923823,-0.01964902940984128
lewm-dmc:cheetah.run.occ-ssm-s2,dmc:cheetah.run.occ,ssm,2,0.4068203145265579,0.4158199203809102,-0.022121820206608113
lewm-dmc:finger.spin.occ-hacsmv4-s0,dmc:finger.spin.occ,hacsmv4,0,0.8496012195746104,0.8464294295310975,0.00373326917433225
lewm-dmc:finger.spin.occ-hacsmv4-s1,dmc:finger.spin.occ,hacsmv4,1,0.8487962339719136,0.8440721380710602,0.0055656419194359315
lewm-dmc:finger.spin.occ-hacsmv4-s2,dmc:finger.spin.occ,hacsmv4,2,0.8568000368277232,0.849923091729482,0.00802631279487674
lewm-dmc:finger.spin.occ-hacsmv4_noaction-s0,dmc:finger.spin.occ,hacsmv4_noaction,0,0.9310454493363698,0.9305426231225331,0.000540066238651493
lewm-dmc:finger.spin.occ-hacsmv4_noaction-s1,dmc:finger.spin.occ,hacsmv4_noaction,1,0.9300579227606456,0.9251497485637665,0.005277277981042688
lewm-dmc:finger.spin.occ-hacsmv4_noaction-s2,dmc:finger.spin.occ,hacsmv4_noaction,2,0.9384570832252502,0.9310780526002248,0.00786293881406434
lewm-dmc:finger.spin.occ-hacsmv4_noaux-s0,dmc:finger.spin.occ,hacsmv4_noaux,0,0.8408037250836691,0.8400422933896383,0.0009055998104135251
lewm-dmc:finger.spin.occ-hacsmv4_noaux-s1,dmc:finger.spin.occ,hacsmv4_noaux,1,0.8486059621969859,0.84663001704216,0.002328460136799316
lewm-dmc:finger.spin.occ-hacsmv4_noaux-s2,dmc:finger.spin.occ,hacsmv4_noaux,2,0.8590066061814626,0.8552782091299693,0.0043403589968500095
lewm-dmc:finger.spin.occ-hacsmv4_single-s0,dmc:finger.spin.occ,hacsmv4_single,0,0.8529220414161682,0.8534777785936991,-0.0006515685496978702
lewm-dmc:finger.spin.occ-hacsmv4_single-s1,dmc:finger.spin.occ,hacsmv4_single,1,0.8663443638483683,0.8611013038158417,0.006051935294224733
lewm-dmc:finger.spin.occ-hacsmv4_single-s2,dmc:finger.spin.occ,hacsmv4_single,2,0.8715230671564738,0.8668610272407532,0.005349301804404835
lewm-dmc:finger.spin.occ-hacsmv4_static-s0,dmc:finger.spin.occ,hacsmv4_static,0,0.9146610055764516,0.9108681999047598,0.004146679095936165
lewm-dmc:finger.spin.occ-hacsmv4_static-s1,dmc:finger.spin.occ,hacsmv4_static,1,0.9261662735939026,0.9260932447910308,7.885063940879919e-05
lewm-dmc:finger.spin.occ-hacsmv4_static-s2,dmc:finger.spin.occ,hacsmv4_static,2,0.9208928016026815,0.9187380067507426,0.002339897595234552
lewm-dmc:finger.spin.occ-multi-s0,dmc:finger.spin.occ,multi,0,0.9467695357004802,0.9431245469252268,0.0038499219058168443
lewm-dmc:finger.spin.occ-multi-s1,dmc:finger.spin.occ,multi,1,0.9432130057811737,0.9469633314609528,-0.003976117437728742
lewm-dmc:finger.spin.occ-multi-s2,dmc:finger.spin.occ,multi,2,0.9405031000773112,0.9319058740933736,0.009141092659057616
lewm-dmc:finger.spin.occ-none-s0,dmc:finger.spin.occ,none,0,1.086020807584127,1.0855240635871888,0.0004573982316629139
lewm-dmc:finger.spin.occ-none-s1,dmc:finger.spin.occ,none,1,1.0879891640345256,1.0871663312911988,0.0007562876272366337
lewm-dmc:finger.spin.occ-none-s2,dmc:finger.spin.occ,none,2,1.0882285706202188,1.0880989707310995,0.000119092525796718
lewm-dmc:finger.spin.occ-smtv3-s0,dmc:finger.spin.occ,smtv3,0,0.914942950963974,0.9122757139205933,0.0029151949207003734
lewm-dmc:finger.spin.occ-smtv3-s1,dmc:finger.spin.occ,smtv3,1,0.9152716170152029,0.9145243669350942,0.0008164243992898368
lewm-dmc:finger.spin.occ-smtv3-s2,dmc:finger.spin.occ,smtv3,2,0.9290039686361948,0.9272008182207743,0.0019409501749143659
lewm-dmc:finger.spin.occ-ssm-s0,dmc:finger.spin.occ,ssm,0,0.8017014778455098,0.8098351985613504,-0.01014557281059174
lewm-dmc:finger.spin.occ-ssm-s1,dmc:finger.spin.occ,ssm,1,0.7887533347606659,0.7954024072488148,-0.00842985023976665
lewm-dmc:finger.spin.occ-ssm-s2,dmc:finger.spin.occ,ssm,2,0.8102023307482401,0.8221713248093923,-0.014772845753354615
lewm-dmc:reacher.hard.occ-hacsmv4-s0,dmc:reacher.hard.occ,hacsmv4,0,0.5806244750817617,0.5806635590394338,-6.731365856829305e-05
lewm-dmc:reacher.hard.occ-hacsmv4-s1,dmc:reacher.hard.occ,hacsmv4,1,0.5689366987546285,0.5658472441832225,0.005430225503414735
lewm-dmc:reacher.hard.occ-hacsmv4-s2,dmc:reacher.hard.occ,hacsmv4,2,0.5824603950182596,0.5813638492425283,0.0018826100196855386
lewm-dmc:reacher.hard.occ-hacsmv4_noaction-s0,dmc:reacher.hard.occ,hacsmv4_noaction,0,0.5794039545059204,0.5792545955181122,0.0002577804080325556
lewm-dmc:reacher.hard.occ-hacsmv4_noaction-s1,dmc:reacher.hard.occ,hacsmv4_noaction,1,0.5678833846648534,0.5653607772986095,0.004442122158113063
lewm-dmc:reacher.hard.occ-hacsmv4_noaction-s2,dmc:reacher.hard.occ,hacsmv4_noaction,2,0.5802835255463918,0.581650404771169,-0.0023555368446659558
lewm-dmc:reacher.hard.occ-hacsmv4_noaux-s0,dmc:reacher.hard.occ,hacsmv4_noaux,0,0.5755535473028819,0.5747017571926117,0.0014799493709347176
lewm-dmc:reacher.hard.occ-hacsmv4_noaux-s1,dmc:reacher.hard.occ,hacsmv4_noaux,1,0.568306156873703,0.5653346973657608,0.005228624522191403
lewm-dmc:reacher.hard.occ-hacsmv4_noaux-s2,dmc:reacher.hard.occ,hacsmv4_noaux,2,0.5782721939086914,0.5787314875920614,-0.0007942517178034423
lewm-dmc:reacher.hard.occ-hacsmv4_single-s0,dmc:reacher.hard.occ,hacsmv4_single,0,0.5921744845708211,0.5927506731351216,-0.000973004712822305
lewm-dmc:reacher.hard.occ-hacsmv4_single-s1,dmc:reacher.hard.occ,hacsmv4_single,1,0.5815654598077138,0.5784915957053502,0.005285499767093927
lewm-dmc:reacher.hard.occ-hacsmv4_single-s2,dmc:reacher.hard.occ,hacsmv4_single,2,0.5866742446422577,0.5869686844746271,-0.0005018795951217773
lewm-dmc:reacher.hard.occ-hacsmv4_static-s0,dmc:reacher.hard.occ,hacsmv4_static,0,0.594010601123174,0.5935823746522267,0.0007209071187241583
lewm-dmc:reacher.hard.occ-hacsmv4_static-s1,dmc:reacher.hard.occ,hacsmv4_static,1,0.5783930336634318,0.5782107763687769,0.0003151097680074679
lewm-dmc:reacher.hard.occ-hacsmv4_static-s2,dmc:reacher.hard.occ,hacsmv4_static,2,0.5960694093704224,0.5955986542701721,0.0007897655757028634
lewm-dmc:reacher.hard.occ-multi-s0,dmc:reacher.hard.occ,multi,0,0.5680257147550583,0.5685694206555685,-0.0009571853639490283
lewm-dmc:reacher.hard.occ-multi-s1,dmc:reacher.hard.occ,multi,1,0.5730923271576563,0.5721932016213734,0.0015689017173589907
lewm-dmc:reacher.hard.occ-multi-s2,dmc:reacher.hard.occ,multi,2,0.568288203239441,0.5659626981814703,0.004092122702379707
lewm-dmc:reacher.hard.occ-none-s0,dmc:reacher.hard.occ,none,0,0.7255875031948089,0.7267200026512146,-0.001560803419875937
lewm-dmc:reacher.hard.occ-none-s1,dmc:reacher.hard.occ,none,1,0.7262014919916788,0.7271883930365244,-0.00135899065993225
lewm-dmc:reacher.hard.occ-none-s2,dmc:reacher.hard.occ,none,2,0.7253211518128713,0.7260801874001821,-0.0010464820795777054
lewm-dmc:reacher.hard.occ-smtv3-s0,dmc:reacher.hard.occ,smtv3,0,0.5813205089569091,0.5821115872859955,-0.0013608298983049723
lewm-dmc:reacher.hard.occ-smtv3-s1,dmc:reacher.hard.occ,smtv3,1,0.5684806561072667,0.5659839030504227,0.004391975399727471
lewm-dmc:reacher.hard.occ-smtv3-s2,dmc:reacher.hard.occ,smtv3,2,0.5788685064315796,0.5804121605555217,-0.0026666749128535275
lewm-dmc:reacher.hard.occ-ssm-s0,dmc:reacher.hard.occ,ssm,0,0.5545604168176651,0.5665771852731705,-0.021668997806340694
lewm-dmc:reacher.hard.occ-ssm-s1,dmc:reacher.hard.occ,ssm,1,0.5411669348080953,0.5482192042271297,-0.0130315970275146
lewm-dmc:reacher.hard.occ-ssm-s2,dmc:reacher.hard.occ,ssm,2,0.5472013209660848,0.5501402523914973,-0.005370841247648825
lewm-ogbench:cube-single.occ-hacsmv4-s0,ogbench:cube-single.occ,hacsmv4,0,1.1448873523076375,1.153190499464671,-0.007252370410326881
lewm-ogbench:cube-single.occ-hacsmv4-s1,ogbench:cube-single.occ,hacsmv4,1,1.1634921832084655,1.1646833736101787,-0.0010238061062244356
lewm-ogbench:cube-single.occ-hacsmv4-s2,ogbench:cube-single.occ,hacsmv4,2,1.1381832563082377,1.1412096678415935,-0.002658984409217325
lewm-ogbench:cube-single.occ-hacsmv4_noaction-s0,ogbench:cube-single.occ,hacsmv4_noaction,0,1.276802718480428,1.2833293665250143,-0.0051117122090356
lewm-ogbench:cube-single.occ-hacsmv4_noaction-s1,ogbench:cube-single.occ,hacsmv4_noaction,1,1.3084491732915242,1.3099276863733926,-0.0011299736451734538
lewm-ogbench:cube-single.occ-hacsmv4_noaction-s2,ogbench:cube-single.occ,hacsmv4_noaction,2,1.2767823007901509,1.2824164551099142,-0.004412776020059622
lewm-ogbench:cube-single.occ-hacsmv4_noaux-s0,ogbench:cube-single.occ,hacsmv4_noaux,0,1.1316193908055623,1.1403702875773112,-0.007733074249920216
lewm-ogbench:cube-single.occ-hacsmv4_noaux-s1,ogbench:cube-single.occ,hacsmv4_noaux,1,1.1353053410847982,1.1374708875020345,-0.0019074572618209592
lewm-ogbench:cube-single.occ-hacsmv4_noaux-s2,ogbench:cube-single.occ,hacsmv4_noaux,2,1.126554450194041,1.126429268360138,0.00011111920411961867
lewm-ogbench:cube-single.occ-hacsmv4_single-s0,ogbench:cube-single.occ,hacsmv4_single,0,1.1726622648239136,1.181385975678762,-0.007439235589420372
lewm-ogbench:cube-single.occ-hacsmv4_single-s1,ogbench:cube-single.occ,hacsmv4_single,1,1.1834662005106609,1.1893353451093038,-0.00495928366700329
lewm-ogbench:cube-single.occ-hacsmv4_single-s2,ogbench:cube-single.occ,hacsmv4_single,2,1.1607431162198385,1.167235668818156,-0.005593444843732191
lewm-ogbench:cube-single.occ-hacsmv4_static-s0,ogbench:cube-single.occ,hacsmv4_static,0,1.2053585357666017,1.2198315350214641,-0.012007215135916136
lewm-ogbench:cube-single.occ-hacsmv4_static-s1,ogbench:cube-single.occ,hacsmv4_static,1,1.2403544452985127,1.236970603466034,0.0027281248882567366
lewm-ogbench:cube-single.occ-hacsmv4_static-s2,ogbench:cube-single.occ,hacsmv4_static,2,1.205294740041097,1.2072320033709207,-0.001607294270410362
lewm-ogbench:cube-single.occ-multi-s0,ogbench:cube-single.occ,multi,0,1.3126995504697163,1.315201674779256,-0.001906090627245553
lewm-ogbench:cube-single.occ-multi-s1,ogbench:cube-single.occ,multi,1,1.3370487303733825,1.3391050316492716,-0.001537940412474677
lewm-ogbench:cube-single.occ-multi-s2,ogbench:cube-single.occ,multi,2,1.309074901898702,1.3134455092748007,-0.003338699236964622
lewm-ogbench:cube-single.occ-none-s0,ogbench:cube-single.occ,none,0,1.4559393221537271,1.46095396232605,-0.003444264534942827
lewm-ogbench:cube-single.occ-none-s1,ogbench:cube-single.occ,none,1,1.4634128875732422,1.469862448533376,-0.004407205249387305
lewm-ogbench:cube-single.occ-none-s2,ogbench:cube-single.occ,none,2,1.461223541577657,1.4693670377731323,-0.005573066655279024
lewm-ogbench:cube-single.occ-smtv3-s0,ogbench:cube-single.occ,smtv3,0,1.263698662598928,1.2727186403274535,-0.007137759970383337
lewm-ogbench:cube-single.occ-smtv3-s1,ogbench:cube-single.occ,smtv3,1,1.294954427878062,1.2956933840115865,-0.000570642578314783
lewm-ogbench:cube-single.occ-smtv3-s2,ogbench:cube-single.occ,smtv3,2,1.2758461923599242,1.2802814710934958,-0.003476342806939462
lewm-ogbench:cube-single.occ-ssm-s0,ogbench:cube-single.occ,ssm,0,1.1183250791231791,1.1281897598902384,-0.008820942095650444
lewm-ogbench:cube-single.occ-ssm-s1,ogbench:cube-single.occ,ssm,1,1.121361832777659,1.1308590822219848,-0.008469388886547576
lewm-ogbench:cube-single.occ-ssm-s2,ogbench:cube-single.occ,ssm,2,1.1187946043014527,1.122567663192749,-0.003372432148662456
