env,design,seed,condition,first_post_mse,relative_change
dmc:cheetah.run.occ,hacsmv4,0,drop_medium,0.6172446012496948,0.0036814541090279818
dmc:cheetah.run.occ,hacsmv4,0,drop_slow,0.5885359644889832,-0.043000731617212296
dmc:cheetah.run.occ,hacsmv4,1,fast_only,0.5810837745666504,-0.016193455085158348
dmc:cheetah.run.occ,hacsmv4,1,medium_only,0.6553399562835693,0.10952631384134293
dmc:cheetah.run.occ,hacsmv4,1,slow_only,0.8442361950874329,0.4293379485607147
dmc:cheetah.run.occ,hacsmv4,1,drop_fast,0.7229135036468506,0.22393201291561127
dmc:cheetah.run.occ,hacsmv4,1,drop_medium,0.5835630893707275,-0.011995838955044746
dmc:cheetah.run.occ,hacsmv4,1,drop_slow,0.5606962442398071,-0.05071065574884415
dmc:cheetah.run.occ,hacsmv4,2,fast_only,0.6204395294189453,0.010848126374185085
dmc:cheetah.run.occ,hacsmv4,2,medium_only,0.6654842495918274,0.08423701673746109
dmc:cheetah.run.occ,hacsmv4,2,slow_only,0.8542313575744629,0.39175233244895935
dmc:cheetah.run.occ,hacsmv4,2,drop_fast,0.7295699119567871,0.1886482834815979
dmc:cheetah.run.occ,hacsmv4,2,drop_medium,0.6149812340736389,0.001955224433913827
dmc:cheetah.run.occ,hacsmv4,2,drop_slow,0.5896907448768616,-0.03924918547272682
ogbench:cube-single.occ,hacsmv4,0,fast_only,1.5239953994750977,-0.039944201707839966
ogbench:cube-single.occ,hacsmv4,0,medium_only,1.660359501838684,0.045959699898958206
ogbench:cube-single.occ,hacsmv4,0,slow_only,2.0531880855560303,0.29342591762542725
ogbench:cube-single.occ,hacsmv4,0,drop_fast,1.815253734588623,0.14353683590888977
ogbench:cube-single.occ,hacsmv4,0,drop_medium,1.5618715286254883,-0.016083762049674988
ogbench:cube-single.occ,hacsmv4,0,drop_slow,1.504055380821228,-0.05250560864806175
ogbench:cube-single.occ,hacsmv4,1,fast_only,1.5171687602996826,-0.04617461934685707
ogbench:cube-single.occ,hacsmv4,1,medium_only,1.6581010818481445,0.042427800595760345
ogbench:cube-single.occ,hacsmv4,1,slow_only,2.0722267627716064,0.3027835190296173
ogbench:cube-single.occ,hacsmv4,1,drop_fast,1.8259999752044678,0.14798377454280853
ogbench:cube-single.occ,hacsmv4,1,drop_medium,1.565801739692688,-0.015599663369357586
ogbench:cube-single.occ,hacsmv4,1,drop_slow,1.5002427101135254,-0.056815821677446365
ogbench:cube-single.occ,hacsmv4,2,fast_only,1.511488676071167,-0.025581613183021545
ogbench:cube-single.occ,hacsmv4,2,medium_only,1.615642786026001,0.04156389832496643
ogbench:cube-single.occ,hacsmv4,2,slow_only,2.0208070278167725,0.3027630150318146
ogbench:cube-single.occ,hacsmv4,2,drop_fast,1.7737308740615845,0.14347927272319794
ogbench:cube-single.occ,hacsmv4,2,drop_medium,1.5296818017959595,-0.013852966949343681
ogbench:cube-single.occ,hacsmv4,2,drop_slow,1.46804678440094,-0.053587500005960464
