metric,candidate,reference,n_pairs,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_pre,hacssmv8,hacssmv8_static,25,0.024616717181211986,0.031013642720271586,20,0,4
clean_mse_blackout_transition,hacssmv8,hacssmv8_static,25,-0.03729022600582351,-0.00880050918012415,9,0,2
clean_mse_deep_blackout,hacssmv8,hacssmv8_static,25,-0.025438225259520535,-0.008499561358096895,10,0,2
clean_mse_first_post,hacssmv8,hacssmv8_static,25,0.005378937874374636,0.007554459407819447,14,0,2
clean_mse_recovery,hacssmv8,hacssmv8_static,25,0.011352462561042258,0.011600743786206902,17,0,4
clean_mse_late_post,hacssmv8,hacssmv8_static,25,0.02544021042000775,0.033277977638596336,20,0,4
clean_mse_all,hacssmv8,hacssmv8_static,25,0.0031076574874252163,0.019872018025260958,15,0,3
clean_mse_pre,hacssmv8,hacssmv8_levelaction,25,-5.513131337937927e-05,0.0006814885244773449,15,0,4
clean_mse_blackout_transition,hacssmv8,hacssmv8_levelaction,25,0.001984093052158605,0.0009398497048760142,14,0,4
clean_mse_deep_blackout,hacssmv8,hacssmv8_levelaction,25,1.680217964704734e-05,-0.001172508674010922,11,0,3
clean_mse_first_post,hacssmv8,hacssmv8_levelaction,25,0.0044359787503261035,-0.00043996029342566304,12,0,3
clean_mse_recovery,hacssmv8,hacssmv8_levelaction,25,-0.0019864231547210526,-0.0008054421234676777,10,0,1
clean_mse_late_post,hacssmv8,hacssmv8_levelaction,25,-6.162237653484757e-05,0.0005139763555704948,15,0,4
clean_mse_all,hacssmv8,hacssmv8_levelaction,25,0.0006168408123593736,0.00030594347152967087,13,0,3
clean_mse_pre,hacssmv8,hacssmv8_redundant,25,-0.0006770395287175255,-4.341890403097248e-05,12,0,2
clean_mse_blackout_transition,hacssmv8,hacssmv8_redundant,25,0.0002976318260364219,-0.0010226021210079383,12,0,2
clean_mse_deep_blackout,hacssmv8,hacssmv8_redundant,25,-0.0025101503780691893,-0.0033024873231127317,9,0,2
clean_mse_first_post,hacssmv8,hacssmv8_redundant,25,0.0027444557990346976,-0.0008012467848099498,12,0,3
clean_mse_recovery,hacssmv8,hacssmv8_redundant,25,0.00038100805687412803,0.00027854923849759614,14,0,2
clean_mse_late_post,hacssmv8,hacssmv8_redundant,25,-0.00021925061149920662,-0.00010049287185788481,11,0,2
clean_mse_all,hacssmv8,hacssmv8_redundant,25,-0.00021268464691253776,-0.0012448317463651785,9,0,2
clean_mse_pre,hacssmv8,hacssmv8_noaction,25,0.01240791787604402,0.013327573809851568,22,0,5
clean_mse_blackout_transition,hacssmv8,hacssmv8_noaction,25,0.04884305083250788,0.037120761969310474,24,0,5
clean_mse_deep_blackout,hacssmv8,hacssmv8_noaction,25,0.11142911813959447,0.11964233071779759,25,0,5
clean_mse_first_post,hacssmv8,hacssmv8_noaction,25,0.14868605551927075,0.15349195033077623,22,0,4
clean_mse_recovery,hacssmv8,hacssmv8_noaction,25,0.016637831076214856,0.0150566462233307,21,0,5
clean_mse_late_post,hacssmv8,hacssmv8_noaction,25,0.012930492329263807,0.01338319571647524,25,0,5
clean_mse_all,hacssmv8,hacssmv8_noaction,25,0.05273936974018551,0.051751548671163355,25,0,5
clean_mse_pre,hacssmv8,hacssmv8_single,25,0.014081055247726246,0.016057916395848155,23,0,5
clean_mse_blackout_transition,hacssmv8,hacssmv8_single,25,0.037755520859167474,0.03900728237147956,22,0,5
clean_mse_deep_blackout,hacssmv8,hacssmv8_single,25,0.08162139189897621,0.08031633141608466,24,0,5
clean_mse_first_post,hacssmv8,hacssmv8_single,25,0.09337373041510119,0.08651652359155487,25,0,5
clean_mse_recovery,hacssmv8,hacssmv8_single,25,0.019172624087232155,0.016667505458026765,25,0,5
clean_mse_late_post,hacssmv8,hacssmv8_single,25,0.013378024936307005,0.014381712352782737,23,0,5
clean_mse_all,hacssmv8,hacssmv8_single,25,0.03809776507046337,0.04003316644680759,25,0,5
